tag,name,type,clanScore,members,requiredTrophies
#GPRQL982,4/h gurubu,open,6672,7,0
#GYCP2VPU,abood taha,open,10019,6,0
#RCL8LP98,amer dautovic,open,38673,12,1000
#GLY2GQ0P,asmaragulio,inviteOnly,26719,9,0
#RQCJ00UP,aufauf,closed,6053,2,0
#GG8VQC82,BALKAN1,open,93051,49,8500
#G8GLGYJJ,baposnosotros,closed,10943,6,0
#GUUQQ08C,BarakiLand,inviteOnly,20217,6,0
#J02YUQ0Y,bradersi,open,42856,13,600
#2YJPCULR,BRAT ZA BRATA,open,99629,50,10000
#RULY2VGP,brnovac,open,32322,16,0
#GU98LJQV,Chaos Crew,open,83717,33,5000
#2PJL992Y,Clasheri,open,92112,50,6000
#LRRG0Q2R,copshop,open,19014,5,2600
#GLCUQ8CL,cringenieros,open,15681,4,0
#P02VGPJ9,Crna Gora,open,92846,37,8500
#PJLU28LY,Crna Gora,closed,88394,34,10000
#RVCYRJLV,CrnogorskaElita,open,39354,10,5000
#QQ2V9LYC,Crnogorski,open,99662,49,10000
#9P8GJQ,Crnogorski,inviteOnly,98462,45,10000
#G9GQQ9JP,Dabrine,open,47615,13,10000
#GLGGR0CL,DEBELA BUKSNA,open,49794,15,3000
#GQ2RVYV8,Diavolo,open,39903,12,0
#Q0JLQU90,DOLINA MIRA,inviteOnly,99691,49,10000
#GVRCVQC2,Dosadno mi je,open,25562,7,0
#GL2CCRPU,DPS,inviteOnly,94184,46,7000
#QVJQU9P8,Dzoker Team,open,22981,7,0
#RJ88GQP0,elite baller,open,32115,12,0
#290YRCVQ,EX YU CLAN,open,78838,50,0
#GYGUVVVR,Freaky clan,open,47982,14,1000
#RLYPPQYV,gabelji,open,92241,50,0
#GJ9PCGVP,GavraniZTH,open,94062,48,8000
#92VR8R90,GlobalEmpire™,inviteOnly,100000,50,10000
#9YL90Y2P,GOLDWIN,inviteOnly,97144,43,10000
#GYQ2UJLQ,GRETVA ARMY,inviteOnly,18915,7,5000
#QVRGCV2G,gropaf,open,59517,27,2000
#R8YV8RCU,jebemo majke,open,98338,50,9000
#QRVY9Q8P,JIF chill,open,55781,19,0
#QPUL0UGC,Just Two Bros,closed,9150,2,10000
#G9QVG82P,Kel Pica,open,18282,9,0
#PV0CL9JC,Klosari Igala,open,97262,47,9000
#GVUVRP0R,kukus klan,open,36135,10,0
#R0U22GPP,Kurcevi,inviteOnly,17108,5,0
#GYG8GP0Y,KVARTASIII,open,99153,48,10000
#GPYYJG0R,LarigaudiePrime,open,46803,14,0
#GQP9999J,LAZURE,inviteOnly,15737,4,6000
#GYP0JP80,Le Gland,inviteOnly,27361,7,0
#R2R292JL,LEGIJA,open,96905,43,9000
#YLYCV8PY,Leteca zaba!,open,99742,50,10000
#YPUVRPVC,LOCOSQUAD,inviteOnly,14560,6,0
#GYYJLYUP,Lucky,open,7159,3,1600
#G8L0LY9G,LV,inviteOnly,13548,3,0
#RQV0CVUG,M E G A,open,89394,39,7000
#RU0JQV22,madeline mclan,inviteOnly,20185,5,0
#G2RJ8QJ8,Masline1904,open,54266,14,9000
#RQVVRYG0,Micheletto>Anas,inviteOnly,59777,24,3000
#RP82LGGL,MONKEY'S LAND,open,60615,16,0
#QQ222JG0,Mudonje,open,10114,4,0
#RCCYCR98,Mungosi,open,42782,13,0
#GU0QQ88U,NAJBOLJI KLAN,open,96630,46,8500
#GPVU99GP,NANA,open,4772,3,1000
