tag,name,type,clanScore,members,requiredTrophies
#G28CLCJR,#CASA_NEGRA,open,65406,36,1000
#LRYPVUC9,.1ch,inviteOnly,6241,2,0
#R2JUUU2Q,1 ère 3,open,44376,15,2000
#Q920LUG0,13,inviteOnly,3998,2,300
#GCL2U98P,7arraga,open,365,1,5500
#RQ0CUVCU,84city,open,89799,46,5000
#G28CQ90G,9chiban,inviteOnly,16114,8,300
#GLY8UQ2L,9hiwa,open,31837,13,3000
#GQYG8QU0,a7san w9s,inviteOnly,38355,16,0
#RJY8QUGV,A9 team,open,8485,2,6000
#GURLU0PQ,Alansar_59zoo,inviteOnly,12079,7,0
#G9L8GG8G,ANGELS,open,91053,50,4600
#G9CUQLL9,Anti zlayjia,open,91350,50,8000
#GYQJRQPR,Antisocials,open,70303,32,3600
#8CCCU90Y,Arab Kingdom,inviteOnly,100000,50,10000
#QJY0JUQ9,Arouit morocco,open,87749,41,6500
#RL09VVVP,atl3arabi,inviteOnly,14495,4,0
#GPU8PULU,AVERAGE,open,33666,11,2000
#RU9UC0Q8,AXN,inviteOnly,75610,30,0
#QJUU0UU9,BALAS OF MOROCC,open,98730,50,8000
#GQJR2YGJ,bezoul,closed,4113,2,0
#QGVQRRGL,Bibladn_clan™,open,95161,40,10000
#QVL8PCCC,Birrys FC,inviteOnly,55133,13,6000
#G82RL8Y8,BLACK LIST,open,3255,2,1000
#LL2UYYJU,black_fire,inviteOnly,9525,4,0
#GY9V2GGR,BOU RJILA FC,inviteOnly,16681,4,0
#G8VLRLVQ,Cafe lina,open,18926,11,3000
#QJPJGYYL,Casablanca II,inviteOnly,100000,50,10000
#GC2JVVJ9,Choky CORP,open,28218,8,3300
#GJQC8U9U,CLAN,inviteOnly,27672,6,0
#QCJP9QLQ,Clan #QCJP9QLQ,open,94235,50,5000
#LGVG0YLQ,clan fr212mg,closed,3786,4,0
#RGCCCYCY,clash royal,open,96559,48,8000
#G2RPPJ88,CR M9ESSRIN,open,94431,49,7500
#GGYGCJU2,CROWN CRUSHERS,open,8029,2,7500
#GYJ9ULJV,dakje open,inviteOnly,650,1,0
#YYJPPPQY,Destroyers II,inviteOnly,99309,50,8000
#R80JJ90C,doe carta,inviteOnly,8826,2,10000
#Y0Q89P9Q,Dragons,inviteOnly,99400,48,10000
#GPGQR08R,DYPCLANS,inviteOnly,1032,2,600
#G2R2RYJ0,estop monkis,inviteOnly,11206,3,5000
#G8LQYVL9,EZ_KURD,open,8698,3,3300
#R89JLPRL,faitoiplaisir,open,3784,2,2000
#G2VCC9UG,Family forever,open,99211,50,9500
#GC8L9RP0,fatchi,inviteOnly,14816,5,0
#QL2UP80Y,FC Grinta,open,94973,50,2000
#R8YV9QG0,fcb tb,open,551,2,600
#RRU9PUUJ,fchou7,open,37602,13,0
#GU02YQ2C,Femboys,open,13447,6,0
#9R0VUUUQ,FIRELIKE,open,96603,49,7500
#GCR8V9UV,Forchita,inviteOnly,16638,7,0
#GLUR00JP,G-team91,open,35793,10,0
#LGVVG02U,G.R.O.M,open,7197,4,0
#GCJ9GVVG,gaga Fc,closed,10794,4,0
#YJ29LUGL,Gladiator Maroc,open,95370,44,9000
#GRQ0PJ9R,GOON,closed,10393,5,0
#QVGPLPUY,Group very fun,inviteOnly,82006,33,7500
#YV0VJ0QC,GTA V,open,95933,45,9000
#QV99PC9Q,GUERAÇFA’S HERE,open,93817,49,5000
#L89P28QC,Innov'ed ™️,open,98937,50,8500
#GPUL2YCU,JMA3A clash,inviteOnly,12165,3,0
#GPLPVCVJ,jollof fc.,inviteOnly,9810,5,0
#GLRCUU9G,karimwalid,closed,2816,2,0
#G909YYUC,Keitora ON TOP,inviteOnly,2150,2,0
#RG0GL9JV,Kings of dislik,open,10898,6,1000
#GQ8LJLQJ,l7awma,open,6875,4,0
#GLLRP220,LA CITÉE,open,19019,5,1000
#GQYU9080,La Familia,inviteOnly,68629,19,6000
#GYR92QCL,La Ma-Fia,inviteOnly,650,1,0
#G9UC2RGU,le belge,open,18733,5,600
#8C22C0RP,Legend Marocain,open,90560,37,7000
#RR2UGR8C,Legends Caravan,open,41604,17,2300
#YVPLCVC0,Lembaw9en ☆,open,93784,38,10000
#GPP8JU00,les gas sur,open,4804,4,300
#G9QYYPPR,les polémiques,inviteOnly,39784,11,0
#QJP0RCU0,les voleurs,inviteOnly,61549,20,0
#GRP2UJ02,Les Y,open,22344,8,0
#R2LPY2RQ,lhobal,open,12581,3,0
#GUYYYR00,Lmraat,open,9199,4,0
#RC0LULLP,los moros 3000,open,27416,8,0
#J0GRR08U,L’aka3zi,open,6756,4,600
#J0988V0V,L’URSAF,open,39097,16,0
#RURRQ09R,M3ASLIN,open,3466,4,0
#8P0VC0YG,Maroc,inviteOnly,99970,50,10000
#PYPQPG0Y,maroc,open,99706,50,10000
#L9JCU0PU,maroc,open,97881,50,7000
#R8YVP2Q0,MAROC,open,97760,44,10000
#8LG99G9L,Maroc,open,97693,50,7000
#2Q0V02LP,maroc,open,97043,50,6500
#QUUUU8PG,maroc,closed,59218,14,0
#9YGYCQL,maroc flex 1.2,open,96071,50,6000
#Q8VCU99Q,Maroc Maroc,open,98865,50,9500
#PU2QU2GU,Maroc Rabat,open,98369,49,7500
#RLR9Y8V,maroc royal,inviteOnly,100000,50,10000
#QUYJCJ2C,MAROC VIP,open,99079,50,8500
#Q8V0UU0Y,MAROC المغرب,open,99367,50,8000
#92U20VVR,MAROC-WARRIORS,open,99928,50,10000
#RYULUUVP,MAROCAIN,open,95563,50,7500
#G8C2RGY2,Maroco,open,46383,12,9000
#92VRRL2,Marokings,open,100000,50,10000
#8RGGJP98,Marokings ♥,open,99693,49,10000
#GYP8VUUQ,matoooooooooooo,open,1121,2,0
#G9VYCJ28,mindspark,open,16572,6,4600
#RJ2GCJPC,monami,inviteOnly,1154,2,0
#GYLP2PU0,Moroccan duds,open,98405,50,8500
#YLRRJGGL,MOROCCAN SQUAD,inviteOnly,99567,50,10000
