tag,name,type,clanScore,members,requiredTrophies
#LG2GYP28,"""AAYO GORKHALI""",closed,8473,2,3000
#Q28P92LQ,"""NEVER GIVE UP""",open,99789,50,10000
#8VVG0R,#BeLikeNepal,open,96922,50,8000
#YJVYUJ2G,#CLAZ#12,open,98098,50,7500
#QC9U2GUJ,#Nepal,open,99528,50,9000
#8VUPYRJ8,#NEPAL#1,open,93326,40,9500
#YQ82Y98J,#YouNg ForEveR,open,97333,48,8000
#QGPVC0GR,-NEPAL-,open,96394,45,10000
#GVLUCJYC,1003 cocers suk,inviteOnly,42071,16,0
#RGQUY2GG,13th,open,59652,21,4000
#G8VGJ0RV,18th street,open,91630,49,5500
#RQQ9PCL0,2v2,open,96120,41,9500
#GQYRC0RU,2V2 KUHS,inviteOnly,96740,50,4000
#RJGR0CP2,3 idiots,open,3701,2,1600
#GY0VVQQ9,3 NEPALESE,open,97928,50,8000
#Y2CR20QQ,3RD CLASS GUYS,open,97146,50,7500
#G9Y8VVR0,4Th³Throne,open,4262,2,0
#8VU0JP0U,50 top clashers,open,97568,47,10000
#R2R9J2LV,67 is mid XD,open,11897,4,4000
#QCUVJPYP,69 savage,open,100000,50,10000
#G82UVGGV,8848,open,98296,50,8500
#QYLG220C,96 savage,open,98487,49,8000
#GY2R92J2,A.T.K,inviteOnly,98500,45,10000
#YR8Y8J9J,Aalu,inviteOnly,99504,49,10000
#GJQJ2LC2,Aalu Gang,open,14533,4,4000
#J2JLQQQQ,AAU,open,23636,6,1000
#RCUU82GQ,ABKMPS,open,12743,8,0
#GQGQY0YL,ACERS,inviteOnly,3489,2,2600
#QCGUGVR0,Akatsuki Nepal,closed,9454,2,3600
#RCP80JCG,ALBATROSS,open,13466,6,2600
#Q0PUPVRL,Albert einstein,open,97190,49,8000
#G2YP0RY2,Allah hu Akhbar,open,82017,50,5000
#Q2LUJLRU,ANIME ...NEPAL,open,99220,50,8000
#LQGR2Y9Q,Anime nepal,open,63861,21,4600
#QV8YRUVG,AnimeNepal,open,96950,50,7500
#G9YCGVRY,Anti evo verse,open,46121,13,8500
#GY8PR2JP,Apostles,open,4816,1,3300
#YG8ULLY0,AQUA,open,99993,50,10000
#R8QLY8RC,ARA ARA,open,86745,48,2000
#QUC9P28L,Army,open,98754,50,10000
#G9JVC9UP,Asuzus,open,94183,50,5000
#GLG9UCQU,attack on clans,open,92405,37,7500
#Q2YG2L2V,AwkwardAstroNFT,open,94129,50,6000
#800CUGP,BAD INTENSIONS,open,97770,50,7500
#R2GQVUQY,BADSSOFNEPAL,open,1760,2,600
#GG8LVCYQ,Balen,open,99928,50,10000
#Q2PVY0G0,bangephadke,inviteOnly,55690,15,9000
#YLU9JLU2,BATTLEFIELD,open,94504,40,8000
#Q0J2R2GR,Battleground,open,98470,48,10000
#GCRU982C,BBM BOYS III,open,94060,50,9000
#QUPUCVG9,Be chulo boys,open,93251,50,7500
