tag,name,type,clanScore,members,requiredTrophies
#QU0CL80L,ARISE NC,open,36214,12,4000
#P98QC2GL,Arvald,open,99100,47,10000
#J0UYPQ8G,azeee,open,14194,5,0
#LY2LJPPG,Babakam,open,95566,49,10000
#L8JGCJVP,BINKS,inviteOnly,97038,50,6000
#GYYU8U0Y,Brtnrp.1,open,515,1,300
#GYYLPRPL,BTPOYY’,open,41384,13,2000
#9PJ2PY0Y,Caledonie clan,inviteOnly,97537,48,6500
#8YLYVR0U,DreamTeam Nc,open,93591,50,4000
#R0VRR0P0,Enoxan,open,7587,3,3600
#RG2VGVYR,fabinou,open,14182,6,3000
#GP2LCLY8,good goyim,inviteOnly,28318,10,0
#LGRY9UR2,i petes trumbes,open,49993,13,8000
#LRGJVQCG,kanaky,open,37550,11,1000
#J9C2998,kedon,open,5750,2,0
#G9YLVYQP,KITAM,open,16858,5,2000
#QC2LQ9P8,le clan,inviteOnly,18270,5,3000
#QCR2LQ92,les gamer de NC,inviteOnly,56540,31,2000
#2LRC9UY8,nc.cool,open,96464,50,5000
#GCJCL82Y,No idea,open,2921,2,0
#GYV0JJC8,P.E.K.A,open,5994,5,0
#QGRLP2UU,romania davide,open,94613,45,8000
#R20UC89P,SkinWalker,open,3090,4,0
#G89GJYR9,Soul society,open,86895,50,4000
#89QPGGQ,Team CALEDO,open,93405,50,6000
#QJCCLVQV,The Team_Nc,open,99484,50,8000
#R2UG288J,YOZGAT,closed,6802,2,0
#L8YRJYC9,⛩Tsukuyomi Nc⛩,inviteOnly,100000,50,10000
#GJV02800,1v1direct,open,54438,27,0
#GR2Q00J8,2v2,open,58464,25,4000
#RQVVJVJR,3 blue boys,open,1469,4,0
#QVPJQLR8,687 NC,open,36323,12,4000
#8RUG2CU2,6TKILS,open,76586,46,8000
#QVV02G9P,Afk,inviteOnly,11539,5,0
#LVQ8YYPV,AKATSUKI NC,open,74058,50,0
#88800CJ,Alpha killers,inviteOnly,47523,16,2000
#G8RYRQJR,Ankara TIP,open,67876,49,0
#28Q2GLRG,AXIOME,open,58573,16,7500
#2PV0VLP2,AXIOME 2,open,94450,47,6000
#GYCP9LYY,Bisquit,open,36812,11,0
#RYRV09GY,BITOUNE.x,open,26367,9,6000
#RYGJU8U9,Blaise,open,52924,31,0
#LGCCLRJ8,bon lui,open,48249,48,0
#GRRGVJR0,bourle ce clan,open,77633,49,0
#R8L9P9JV,can,open,6191,6,0
#8YRG00P,Clan #8YRG00P,closed,88300,48,8000
#22LLQCPG,clash caledonie,open,45979,49,0
#Q90UYVR8,clash nc,open,29225,18,0
#RR999998,CLASH OF ENKTMR,open,46847,23,0
#LJLJUCJG,CRAB➿,inviteOnly,66978,21,8000
#9QYVRP99,Dat kanaklan,open,48243,45,3000
#G02GQCLG,FC gobelinox,open,78613,49,0
#QLPPPYJ8,FC GOBLINIX,open,30309,32,0
#QCVP2YUQ,Francis saucis,open,85709,42,6000
#G2VGJQQR,Goat,open,14771,7,0
#GUCJQY29,Grababuje,open,72017,50,0
