tag,name,type,clanScore,members,requiredTrophies
#PGU2U8,"""Double Down""",open,97878,46,10000
#YQ9RLPPG,# New Zealand,inviteOnly,87107,41,4000
#G0VJY2VY,#1 Clan (1 Day),open,100000,50,10000
#C0VV2Q,#BRO,open,98046,50,8000
#QQRR9JUY,#KAJ,open,95216,50,8000
#PLRC,#KIWICLAN,open,99751,50,10000
#2L80L9,#NZ,open,99691,50,9000
#P88JPRQ8,#puglife2,open,91132,46,7000
#Q9U2GGQQ,$BREAD,open,78660,35,7000
#290QVV98,(x)Helix(x),open,95258,50,4600
#QYJ9YPUP,-_-,open,95906,50,9000
#YVG09G08,-DarkNight-NZL,open,93451,38,8500
#LGC22UJ2,-Dirty Vixons-,open,99799,50,10000
#LGGVV,-Epic-,open,99080,48,9500
#P8UJG9L,-Epic- Bootcamp,open,99772,50,9500
#Y0Q9VLYC,-Epic- Empire,open,94726,44,7000
#YVCV2G0J,-Epic- Legends,open,99478,50,10000
#2U0QJLQR,-Epic- Thunder,open,99965,50,10000
#LVGRUUJL,-Epic- Victory,open,96811,50,6500
#YYVLGQG0,-Epic-Adventure,open,90472,35,8500
#GPPURG9Y,...,inviteOnly,5126,2,0
#GQP9JUYC,0-2 Breakfast,inviteOnly,44445,10,0
#RLV9VRQY,07,open,11114,5,300
#2YL0RL,100% PURE NZ,open,98985,50,8500
#GLCCR9R2,10TBN,open,9065,4,2000
#RLY8CCLP,135z GANG,inviteOnly,4415,2,0
#JCRPYVL,2 toxic,open,32766,9,5000
#R2UUQP0C,2/1,inviteOnly,36251,10,5000
#G0YRRL2L,273,open,49583,16,6000
#GV9U8LGC,275 CERTIFIED,open,5264,3,0
#RCYQP8V8,2FRYD,inviteOnly,16138,4,1600
#GPP9V29V,2MEKE,open,6064,2,4000
#GL9YRU0L,2nd chance kiwi,open,96469,50,7000
#GLGRJGV2,2on2it,open,1944,2,600
#GL0GQCCL,2smthsmth,inviteOnly,13553,8,0
#QJ9U9GGP,36Dominion,open,94915,50,3300
#2282Q809,4 kiwi,open,95535,50,4600
#GPQ90URL,4 peat,inviteOnly,2494,3,5000
#G9CYLJLV,5018,open,22641,6,5000
#RGPYG8JY,501st Legion,open,79857,40,6000
#RYGQLPCG,67,open,82575,50,4000
#GYJ2PCU0,67Masons,open,7403,6,0
#RRCJYPRV,8B1 Clan 25,open,15916,12,0
#GYPR80PV,9 Hafnium,inviteOnly,14347,4,0
#RGLV2QJP,9/11 Bang,inviteOnly,23825,6,2000
#RU9YP9J2,99 ГСАП,open,3797,1,0
#G9YRCYU2,AClash447,open,86376,50,5000
#PUVCC2PV,Active NZ,open,99720,50,9000
#GPG2GVYR,AGS,inviteOnly,54045,19,2000
#LRLQ2YJQ,AHI TANE,inviteOnly,15818,6,0
#RQC2V28C,AKL,open,36502,12,0
