tag,name,type,clanScore,members,requiredTrophies
#GLGJ2G9R,.::BlackSnow::.,open,81951,34,6000
#GYYPURCC,/\ligg4,inviteOnly,22187,5,0
#G8PL0PCJ,0.5 gpa,open,77664,43,2600
#GL9UUUQP,007,open,22332,9,0
#GU090R0G,013 stavern,open,17957,9,0
#RC8LU2Q9,0vibos squad,inviteOnly,1184,1,0
#G90P8VUY,10 с яйцами,open,90654,49,7000
#RGJ99UQ9,10f barbarii,open,75927,35,1000
#RQ2C8QJJ,1M20 burier,open,11841,8,0
#G9CCPRPL,1v1 yordi,open,38867,13,0
#QC9GV2CL,1v1SamVSJayden,open,94703,50,6000
#QUJGUUGL,204 GOON,open,89428,38,7000
#GQG0P2V9,2EZ clan,open,91574,50,5000
#G98988LP,2Fly,open,72734,36,4000
#GRU80YQC,2gegen2neuneu,open,54008,17,0
#G0QU2Q28,2v2,inviteOnly,39980,10,0
#G0VL0LUY,305grantwizards,open,33728,10,0
#G9C22UV8,3OPW,inviteOnly,52288,19,0
#RLJQVQYJ,4AHEL,inviteOnly,61508,18,0
#LY09VJVL,4changreentext,inviteOnly,95189,50,0
#RJJJCLYV,5d,open,5811,3,0
#GLRRY0JV,6 auf der Höhe,inviteOnly,43291,14,0
#GVURCLL9,613,inviteOnly,12109,3,10000
#G8VY9PCQ,66Kartell,open,38705,9,0
#GV0PGLY0,6cm is enough,inviteOnly,6283,3,0
#GY2JCU8U,7-ElevenZ,inviteOnly,2287,4,600
#GQRP2Q8J,831 log baiter,inviteOnly,52020,27,1000
#R0PJLLC2,8M,open,21311,5,0
#J2GJ2YVV,90 Ver Dangle,open,50167,15,0
#R0JPU008,@s4mm0l on snap,inviteOnly,80143,41,0
#GRYR0Y2R,A NATA,open,61016,17,9000
#GLRUG09J,abcd,inviteOnly,19533,4,0
#GPV0VVQV,Abiler,inviteOnly,33766,10,0
#G8GQQRP9,Abuelitas,inviteOnly,16769,4,0
#G8GUU8CP,Addams Didhouse,inviteOnly,78622,43,0
#RQUY20LU,ae rau má,closed,10848,4,0
#RCUCCCQG,Aglō88,inviteOnly,5997,2,0
#GP99LJP0,ait bro,inviteOnly,3335,2,0
#RY8RYVJ2,Albuquerque,open,22217,10,0
#GLU9Q9RV,Alecs Techera,inviteOnly,10172,4,0
#GQQJYJL8,Allah pidoras,open,17161,6,300
#GRGLCC8R,almeidacarapoya,open,55244,15,3000
#QUQU9GQP,alo,open,89944,42,8000
