tag,name,type,clanScore,members,requiredTrophies
#RJLCYCP9,/VlGGERS,closed,60484,22,0
#PLPG2UCG,117 Unashamed,inviteOnly,99982,50,10000
#LQQ9YU90,2v2 playas,open,22143,6,6000
#Q8YQRJ82,360 LLC,open,99700,49,10000
#GLJ0UP8J,AFK,inviteOnly,344,1,0
#GPPQGPYG,AgouSiti,open,9105,3,1000
#RV80UYP9,Armata w GYATTA,open,55713,20,0
#GYCV9V9V,askim icin,closed,4505,2,0
#LCCGYCP8,BBOYS,open,65282,20,5500
#G8RR8L28,Brr Brr PataPim,inviteOnly,17879,5,0
#GYV0RR8P,Burger Squad!!!,inviteOnly,54281,28,0
#G9VRLLCP,c pollines,inviteOnly,9502,4,0
#L8U0CJG9,chimpland,inviteOnly,69940,29,0
#G2RU9R2V,Clan #G2RU9R2V,inviteOnly,22394,13,3000
#R9Y9JU0Y,Clan #R9Y9JU0Y,open,91989,50,7000
#GY90LGV2,Dream Team,open,23802,7,0
#G9RPY802,FLUX,open,5332,2,0
#RGQCR0QU,Gaslighters,inviteOnly,12524,3,0
#QRQPGG29,Gay Guys,open,84845,31,10000
#GGUL9P0P,GG,inviteOnly,13179,5,0
#GPJVCQ9U,GOATED,inviteOnly,4652,3,0
#QCG2UPL,GoldCircle,inviteOnly,99743,50,9500
#GYVYCYLP,hebron royale,open,14356,5,0
#R2R2VLR9,Hitam society,inviteOnly,4709,5,0
#LG00G2CR,Hollow Squad,inviteOnly,82948,37,7000
#G0YGCP9P,Holy Zap FIRE!,inviteOnly,100000,50,10000
#GVQUPYYQ,IgorekZET0,open,14605,8,3000
#GYVU0CPV,jan cristoph,open,4899,2,2000
#G92G0R92,jepamieccso,open,34019,8,6000
#G8UCPVRJ,jujunchiki,inviteOnly,21137,9,1000
#RQ0L992C,LLLLL,inviteOnly,18839,5,10000
#Q9VJGCCP,Los gays,inviteOnly,43876,14,0
#G8C228JR,mechaija,open,35207,14,0
#LVCJ92CQ,Merc Army,inviteOnly,47278,14,0
#Y89PPUP8,mkvrm,open,11580,4,0
#QQU8R8L8,mordoh,open,25552,7,0
#G9CCV88L,muratınbuzagisi,open,2666,1,5000
#GYCCCGG0,n11ga femboys,open,24090,7,0
#9R2RCJQP,NaijaWarriors.2,open,98012,49,4000
#RG9J0GL2,NAVUČENI,open,8297,4,3600
#Q2Q22C,Nigeria,open,98731,47,8500
#LR0L82YU,nigerian farmer,open,98168,44,9500
#RLUVRC02,Nigerian Prince,inviteOnly,8004,3,0
#GQLQQL0V,NigerianWarlord,inviteOnly,58811,15,0
#GC9UQR82,Nigusianos,open,14676,4,300
#R09VRQLR,OG,closed,7897,2,0
#LQ808LJ8,Omero,open,98883,48,10000
#GYYP889L,Pan Atlantis,open,11200,4,0
