tag,name,type,clanScore,members,requiredTrophies
#GPUP0P9J,Aitana y Squeak,inviteOnly,3821,2,0
#LV0YRJLY,Bros N Friends,inviteOnly,35717,14,1000
#9V8LJCJV,ELETRODOMESTICI,open,17616,6,0
#RUCCU89J,fenda do biquin,open,9588,3,5000
#L282VRVL,gang del bosco,open,93677,48,1000
#G9C82JPQ,isnowborerd,open,95116,48,7000
#QGY928V9,PongHuB,inviteOnly,76375,22,0
#RJ9JP02G,Pros eSports,open,96698,50,7000
#Q0JRPVGU,The Panthers,open,99599,50,8500
#LG99QG8P,ㅇㄱㅇ,open,88255,50,9500
#G8CL080Y,고블린,inviteOnly,33783,9,10000
#QRCYRY88,맥심원준,open,94619,48,4000
#GRC8CLC9,애장국,inviteOnly,16964,5,3000
#GY289UGL,어공,inviteOnly,32065,8,0
#GJQPUGGC,1921-1933,inviteOnly,19628,6,0
#G0G9QUC9,6 7,open,49920,17,0
#QGR2CUG,AUTORITY Jr,open,10503,5,1200
#GGQ2YLVC,BalıkcıSevenler,inviteOnly,32394,11,1000
#VQQVPR,Barksdale Crew,open,62989,47,0
#Q9Q9YJPP,Ben Ben Ben Ben,open,43844,50,300
#GRLCVGGL,Brotein Shake,open,93823,47,8000
#GCJGGYJQ,buttbandits,open,69698,22,6500
#RL0LQCL2,chojim,open,89516,46,1000
#GVY2LLJP,Clan  #GVY2LLJP,open,68084,28,5000
#PR0U2LVY,clanshroyalepro,open,90515,50,3000
#R0VQRY,Edema Ruh,open,92228,50,2000
#GRL88JQR,GOONCLAN,open,92485,50,4000
#GUPRR9YL,HARMAN,open,26948,14,1000
#9PRJV0V9,LoL,open,21911,22,0
#Q82VQRGR,LOS SUPERSERIES,open,19999,6,0
#QV9UP8GU,MATHLETES,open,62886,31,2000
#G2QULVCR,mentality,closed,14442,4,0
#GU2P98YQ,Mt PoppyEverest,open,17696,4,10000
#R9GG0GYV,No is alive,inviteOnly,49763,18,0
#82PJJJG,Norfolk N Good,inviteOnly,53061,17,0
#GRRJQ920,Peg Lovers,open,19009,7,0
#QRGQPJGC,piedini caldi,inviteOnly,36550,10,2000
#RV8YGPRU,qmpoenfusk,open,5426,3,0
#QVCVQ8YJ,RUNICK,inviteOnly,88862,38,5000
#GRRG9980,SAH,open,14340,19,0
#G9UC2GL2,signori brocca,open,69640,33,0
#QR8PUPU9,SJA28,closed,81951,47,0
#QJ0YG8JC,sjokolademenn,open,53172,18,0
#QCY2UPCU,THCANNAIOLI,open,89233,44,7500
#RGPPPCCG,TOTS,open,56853,37,0
#RLVQ8QJV,TULTEPEC GODS,open,14656,6,10000
#GPPPQYGP,Vortex no mercy,open,33179,11,5000
#QRC80VJ0,webos,open,57784,22,10000
#PLG0GQGV,xustas_kgb,inviteOnly,73104,41,10000
#R8C0C9LJ,Zinzin,open,40854,16,1000
#G0UYPYJQ,ñañasotes,open,87119,38,5000
#Q2RQU0G2,Красный Бумер,open,59456,36,3600
#GUR8QQVJ,건형이는 짱,open,17911,7,0
#LUP2CL09,다나와컴퓨터,closed,41512,13,10000
#RR08UUR2,동혁이응디,inviteOnly,46679,18,0
#QUCJGRUQ,벌레충 성,open,69836,27,0
#QPUQGCGU,엄준서아빠엄준식,open,88914,40,8000
#L9Y0Y90G,엘푸리모 길드,open,51084,22,0
#GQC2Q88Y,이야아,open,38968,12,0
#RR2RJPVC,중동2-8,open,66529,24,0
#QUC228JR,쿠마마,open,54461,19,0
#GGJCUP0Y,클랜 #GGJCUP0Y,open,91816,46,0
#QYLQ8JUL,Krsy,open,52792,20,3000
#GGVP2UCG,MK엄마,open,75302,41,0
#QVUYYQJ0,고아원,inviteOnly,44626,17,0
#GQLRPGJL,둔원개고아들,open,63337,27,0
#P99GQ8P,롱빡이,open,50230,18,0
