tag,name,type,clanScore,members,requiredTrophies
#JPC089,670 UP-IN-SMOKE,inviteOnly,80815,35,6000
#9Q2LUUVV,670marianas671,open,90300,50,8000
#GPQ8J0CY,Breaking Bad,inviteOnly,26717,10,0
#202V8Q2R,BUST-A-MOVE 670,open,96200,50,6000
#RVCCUGLV,ChiliWack,open,10391,4,300
#GYRLVG22,clas,open,3716,3,3600
#GLYGLYJL,Dankdadoo,open,19923,5,9000
#GUV8PGCC,Dexter’s Cult,open,24857,7,6500
#LUVJGVLG,Die Flutschis,inviteOnly,94617,50,1600
#GY8V02QJ,eben okul,open,6843,4,1600
#YQGP2R0L,JÃĶŰŁĒŘØ§,open,54387,20,0
#RL9CURLP,Kaduku,open,10776,4,0
#GLUPYRYV,koolklutchklan,open,8974,3,0
#RRVYJQP2,marranolos FC,inviteOnly,3731,2,2300
#GYGJUC89,Pou asado,open,1694,2,0
#G9V9C22G,squad de la f,open,54664,19,0
#GQ0U90QL,Tinian Clashers,open,5273,6,0
#22LRR8C,#BaconSundae,open,90397,45,5000
#QCLLR899,3b,open,52709,18,0
#GQRGQL2,670 ROYALTY,open,70735,41,600
#R8U0VGPY,670Elite,open,64725,38,0
#RLUYJRYG,670SigmaLuta,inviteOnly,55422,22,0
#G2CU8V0G,7777,open,38109,20,0
#2PL920Q0,Aguon,open,49524,29,0
#GY2UQLCV,aloha,open,6109,4,300
#LJU9Q8YC,Anything Damn,open,27581,22,0
#L9CP0VGJ,ARRA,open,73213,35,0
#2YQQUVP,Attan Siderz670,inviteOnly,76853,47,2300
#GPYV8YJQ,bahtboysfy,inviteOnly,18716,6,0
#G0PCJPJY,bigdeckenergy,inviteOnly,21276,13,0
#L8PQ9GL2,BOzOZ,open,59317,30,0
#GRP0UQLJ,chicken nuggets,open,8533,4,0
#L8P0UGYP,clapperfappers,open,80207,50,0
#GPQV929V,COC,inviteOnly,13705,6,0
#G92U9VJ9,colle pelato,inviteOnly,46126,22,0
#LQ0LCQUU,ComeChowUsNow,open,63973,28,0
#QCG082JU,Dandan gamers,inviteOnly,46921,14,3600
#GLVPGG8L,DPAC,inviteOnly,42205,19,0
#G2VLJJ98,Elixir Drinkers,open,24282,16,0
#GR8VL8G8,ENALTABBONAMUK,open,11351,3,0
#GGUYYUC0,Et rent norge,open,92379,48,5000
#GY0G00LL,Fat Langs,open,62455,34,5000
#QCUR9GQG,Fotten gaga,inviteOnly,37686,18,0
#QJY0VVRP,GIPE,open,62128,28,5000
#LG2JRRY0,Guam,inviteOnly,72342,43,2000
#LPLGPQ80,HALO INFINITE,open,39651,16,0
#QL89298P,Hashdobom,open,42914,17,0
#G202VJUV,Havok,inviteOnly,18764,6,0
#GCPC2RJR,Herbz Men,open,26583,11,0
#L8LU9GPV,huts piloot,open,65088,33,0
#L82JUC22,Içee GàNg,open,60363,27,3000
#G9PPLRLU,KNIGGETS670,closed,40664,16,0
#RJLQC0JJ,LocalMotive,open,37934,11,0
#LQVCCJVC,los yiyodores,open,90614,49,1300
#RV9CLPV8,milkische crew,inviteOnly,5091,4,0
#RQ0JPUPQ,ohiotaxfanum,inviteOnly,67973,22,300
#QY82R9UU,papalatong,open,44163,38,0
#QRV098PY,polar pickle,open,81976,40,6000
#QCL9PUY2,Pulu plucker,open,84371,50,4000
#LRL2VLCL,Punjabi Pirates,open,83937,50,0
#QUCGYUVV,Red Gem ♫,open,95891,50,3300
#QV22J0P0,SA_SASALIGUS⁰⁶,open,65271,32,300
#YR02909R,Saipan670,open,58891,23,1000
#GR9YY2JU,Schim clash,inviteOnly,53290,27,10000
#RLQLYJQQ,snoozers,open,19426,6,1600
#R8CQ2C00,SPN670PLAYAZ,open,33314,18,0
#LUQJ9P2R,Steel Curtain,inviteOnly,40552,15,0
#RULRL802,The CNMI Squad,open,1213,2,0
#QQPRVVR9,the humbles,open,64579,33,2000
#LQVLCURQ,Toxka,open,40386,18,0
#QUVLG8RC,turks,open,59600,32,2000
#QLY9V8CC,VIPClan,open,88717,50,0
#QLY0999Q,WHIPPERS WIZARD,open,11299,4,0
#QVCCJCQ9,yatitos,inviteOnly,14386,6,0
#L08RGQC9,ягуары,open,61756,36,4000
#G9GGC9UC,5 piano newton,inviteOnly,24798,9,0
#Q0RCY0LQ,Barnyard,open,28476,10,5500
#LJVPCCCL,Bebe,open,29613,14,0
#GUQG9YRY,CrazySPNBoys,open,14608,8,0
#QP8VUJV9,Isla De MariWa,open,41412,15,1000
#G2PRVVGY,paggots,open,23237,7,0
#20GRJ20L,SRS SPARTA !!!,open,56804,23,4000
#GPQY0PJL,クラクラ,open,18444,4,0
