tag,name,type,clanScore,members,requiredTrophies
#UC9J2R,#H8,open,98911,49,8000
#CRQRPQV,#Legender,open,97812,45,8500
#2UYLGLRR,#Lunch⭐️,open,93910,49,4600
#2GYYUVPR,#NORGE!!!,open,99827,50,10000
#J09G0V,#Norge!☺,open,97526,50,6500
#2C0PPYQ,*UTGARD*,open,99911,50,9000
#LGQPQPJ0,*UTGARD*2,open,94556,50,6000
#Q0YP8J0,159,open,99965,50,10000
#R0GGYVC9,1sta 2v2 ✌️,open,92787,45,7000
#GJGUVYUQ,2012 Gang,inviteOnly,5519,2,3000
#G9C02Y8U,29,inviteOnly,21504,6,0
#RU8YVJCP,2tøa,inviteOnly,13642,4,2300
#GY0QL9,30+og aktiv,inviteOnly,83060,30,5000
#GY2L9LVJ,40år gamle menn,open,5229,5,0
#QUYPLL0C,420 Royale,open,99645,50,9000
#RRY92V9V,4EverGeek,inviteOnly,61458,17,5000
#GP0LUCV8,4papa,open,99823,50,10000
#G2GCRL09,5 netter freddy,inviteOnly,21803,7,0
#GP88P929,50/50,open,91926,50,5000
#G8P8VPRP,67,open,9466,3,300
#GVVUJYVU,68,open,70007,23,5000
#GYPL8C2P,99b,open,1717,3,0
#GQPY88J8,;),open,10388,3,4000
#89Q0RL28,a a a a a a a,open,95768,50,8000
#RVPYRYYC,ABS,open,38856,13,0
#R0YYP8CP,ActivNorge,inviteOnly,99100,47,10000
#GC0RJRVU,ActivNorge 2,open,99400,48,10000
#RCQCLGU0,afterschoolbeer,open,40715,12,0
#9PJC29PJ,Age of Valhalla,open,98172,48,8000
#RUYPUYJG,agurk er gåt,open,12752,10,0
#GULUV20C,Al-Baida,open,22204,5,0
#RU9YGLQY,Alivor,closed,5286,3,0
#RRVYVUP8,Allahu Akhbar,inviteOnly,16290,6,0
#29LUG00Y,ALPHA KINGS 2,open,99775,50,10000
#LURP029V,Alpha Norge,open,96331,50,6000
#9PL0QLVR,Alpha Norway,open,98079,50,9000
#QGLPPV9J,Alt for Norge,open,99149,50,9000
#GJ8Q8JLR,ALT FOR NORGE!!,open,89014,38,8000
#RRLPLQY0,Amalie Skram,open,87004,38,4000
#GG90JLUJ,Ao guttae,open,13935,6,0
#GPPYUVU8,ape,inviteOnly,8108,4,0
#GJRJYULL,apoteket,open,48277,13,2000
