tag,name,type,clanScore,members,requiredTrophies
#RQPCPUUR,(اي شيئ؟),closed,7048,2,3300
#LPPP02J2,-SKULL-,open,41122,19,0
#RVYY2Y9J,12C,inviteOnly,28238,9,0
#RGPY8RRC,2vs 2 brrrr,inviteOnly,8092,2,1300
#G9Q9PYYJ,300BC,open,80204,46,3000
#RVQY2VL2,3mkOman,open,44632,15,0
#G9YV002P,55,open,56655,17,4000
#RGLRQQR9,711,open,18846,5,1000
#G99L8LYL,abqers,open,86867,45,5000
#QYLVU0UQ,AKM,open,87062,44,6000
#PGRUJ2G8,BAWN,open,99633,49,10000
#GQLGV90J,bit$he$,open,67326,24,2000
#GLU02JUR,Clash Royal,open,13123,7,1000
#QCCPPP00,CR7,inviteOnly,98693,49,7500
#QLC8U89V,ExpertsZone OM,open,96066,43,7500
#Y80R8Y9C,Fulaij boyss,inviteOnly,90151,47,3000
#G290P8VC,goon,open,14738,4,10000
#RUGJ09VJ,Haitham_king,open,12579,6,2600
#QJ8JQL2J,Hala Madrid,open,96398,50,10000
#GJ29YY8U,Hellcat707,inviteOnly,50304,17,0
#QUYQV92L,HI PRO,open,8415,3,4600
#QVQR8VPL,Island boys,closed,12357,3,0
#G9UVR0GJ,ISO,open,27199,11,4000
#YVYCLJLP,Joker Oman,open,94373,44,8000
#RR8PLR9V,KnowledgeGate,open,80505,40,7000
#GJY8UGLR,MBC 1,open,9250,4,0
#Q9LUP9CQ,MMM,open,89715,50,6000
#R8L20Y08,Moldova top,open,972,2,0
#GQV28UYP,NANASAES24,open,53424,21,0
#GP0C29LQ,nglr,open,5941,2,3000
#RPJJLJLJ,NOOBS,inviteOnly,72283,24,0
#R29G8J8V,NOT-GG,open,34660,11,4600
#L8R2Y9V2,OM,open,99965,50,10000
#LRURL0GY,OMAN,open,99893,50,10000
#GQVCY89U,OMAN,open,97318,45,10000
#PVY088R9,OMAN,open,96536,50,5500
#L0282L9,oman,open,96148,50,6500
#GGR8PJJR,Oman,open,3338,1,2000
#YR0CY020,Oman 8,open,95829,49,10000
#GVJGUCJR,Oman clan,open,11296,6,1000
#2GV2P92,Oman Hawks,open,64573,18,6000
#R8QUJYY0,Oman Hawks 2,open,95747,46,7500
#QJYU8GLJ,OMAN KING,open,99994,50,10000
#98QQ0RCP,Oman Knights,open,94889,42,7000
#LY8C2GCP,Oman legends,open,99288,50,10000
#GGVRYQ,Oman legends,open,91138,50,2000
#R9P0CQ9G,OMAN Rage,inviteOnly,96702,50,1000
#LCURUUJ0,OMAN ROYALE,inviteOnly,94113,38,8500
#QVY8UG2G,OMAN TEAM,open,97916,50,9500
#8PCQR80C,Oman warriors,open,95797,47,6000
#G8QR09UU,Oman(OM),open,94086,50,7000
#GU909PPR,OMAN7,open,46182,12,600
#22J0PY0,omani crew,open,95430,50,6500
#9CCR0U,Omani Masters.,open,91806,50,4000
#GY8GV8VJ,ONE PIECE,inviteOnly,96808,43,9000
#G909YULL,OnL79,inviteOnly,63322,18,10000
#Q0YVUL80,otaku,open,92248,50,7000
#R20VVVYP,papa,open,30139,8,4000
#GV0GL2LG,PEARL,open,95446,50,7000
#GY0C9QC8,pepe,open,10376,5,0
#GLG9QVQQ,Real Friends,open,3236,2,7500
#QVRC9GJL,siiiiii,inviteOnly,97342,50,8500
#QVLPG8J8,SK ESPORT,open,95279,41,8000
#QG0QY0GC,solo,inviteOnly,89177,50,6000
#RCLL0VLQ,spaty,inviteOnly,27341,8,7000
#J2GVQP0L,tetatores,inviteOnly,4465,3,300
#RCP9YL0R,The Jostars,open,21936,11,0
#RYU2GR9J,TSS,inviteOnly,78780,36,0
#GPC20U9V,UTAS,open,23886,7,300
#RUR8Y8RJ,WARRIORS,inviteOnly,10164,5,0
#QJQVRL82,winter's coming,open,94398,48,6000
#G0VRGGLY,z.b.e.d.e.r,open,80080,37,5000
#GLPQ8G0P,Zai,closed,1569,2,9000
#GVVGQ29V,клитерныйбандит,inviteOnly,19415,6,1000
#Q92GGQPV,أبطال العرب,open,85110,50,3000
#Y2JQLU8,أسطورة عمان,open,94249,50,3000
#QRLYURY0,ابطال رويال,open,96535,44,10000
#G0UG928G,اساطير عمان,open,92459,48,8000
#QUGRVUG9,القبيلة #QUGRVUG9,inviteOnly,98800,46,10000
#8GLCRGJQ,الكندي,open,95570,42,7000
#J2Y92QY9,المخيني,inviteOnly,2392,2,300
#RUQJ9UJQ,الملكه رورا,open,42558,13,0
#QCPV8V2L,امجاد عُمان,open,94392,40,7000
#GYQVG08J,تليتبيز,open,85097,48,5000
#GRQY9YGL,حچيّنہ لُجَج✨️,open,43197,11,2300
#YULLLPRQ,رويال الحر,inviteOnly,71093,27,6500
#PL0L2RU8,زلزال,inviteOnly,10674,3,10000
#99LUL8G,سلطاني,open,98535,50,7000
#2GP2QRC,سلطنة عمان,open,99956,50,10000
#R980Y0JG,سلطنه عمان,open,94137,40,10000
#9RP2LYJU,صقور عمان,open,99177,50,8000
#8YR00CV,عمان,inviteOnly,99685,49,10000
#GQG9L8Q0,عمان,open,94813,50,6000
#QQ0UCRPR,عمان,open,93204,40,8500
#GYVR0Y22,عنصريين اليوم,inviteOnly,33952,10,0
#QQ8LGYP8,قبيلة ستون كول,inviteOnly,39232,14,3000
#G29ULR9J,كاهنات,open,62329,21,7000
#28U990Y0,كلاش عمان,open,97137,49,5000
#PYUVCPL,لحية بيضاء,open,99995,50,10000
#GQ2U8PPQ,مملكة العراقي,inviteOnly,26731,6,6500
#9R2V8RL2,نبض عمان,inviteOnly,89415,34,8000
#GLLCJ2UG,نسور صور,open,936,2,0
#GYL8JGPJ,وحوش عمان,inviteOnly,82530,33,1000
#GJ2VLGGR,《♤☆☬ᴼᴹᵃᶰ☬☆♤》,open,1901,3,1000
#R2LCCC2U,あちゃらかゴブリン界隈,inviteOnly,12502,5,0
#RR9VCLGJ,おかま,open,21358,5,0
#GUVLLCU0,もう受験生,open,54458,17,0
#GVPQGJJ2,ホッケ教,open,45088,10,300
#YJ2UYPVR,日ノ丸乳感良好裏筋絶頂倶楽部,open,19999,4,0
#G2V2GULU,最強たねゆう王国,open,23082,9,0
#GPQU9Y8G,(المنعي),inviteOnly,1452,5,0
#20RJ08R,//SuperNova//,open,94172,50,3600
#G2JC0JUV,10,open,57198,50,0
#GJ8PC0UC,12/1,open,26023,11,0
#QUPJ0PLY,21,open,75051,27,6000
#LR2GPQPY,252 2.0,open,53632,20,4300
#QGVYYVLG,3esh paplo,open,23019,16,0
#20Y9PP20,50 heroos,inviteOnly,94796,43,5000
#QRP8PR20,50 WARRIOR,open,81121,50,0
#GP2VCRJC,515 - LoRD,open,27811,17,2000
#9UV0Y890,5bhh,open,55019,24,5000
#G8QPC0PP,7ayakum,open,29072,13,0
#G2LUQ9JR,9bian,open,78959,50,2000
#GVPLP2Q2,ahmed haramis,open,24720,17,0
#PPPPG0,Al-Sharqiya,open,51366,48,1000
#G0UPQG9Y,ALABDALI,open,54338,26,4000
#QGL0YJ22,Alabri7,open,11808,7,0
#QVVYULLU,Alameen,open,40489,17,0
#QRUPRJQL,ALBADIAH CHAMP,open,86641,46,7000
#QJRR229C,ALFAZARI,open,72346,50,1000
#PYCPC2Q8,ALPHA OMAN,open,53948,50,300
#YRUQ82PG,Alsalmi,inviteOnly,51290,25,0
#Q2QVUJ82,alyahyai,open,48660,16,4300
#LUQ9G08Q,Arab games10,open,35290,41,300
#YR8YQYRR,Arab Z World,open,58147,50,1000
#QVGPUQR,AROOOSH70,open,57549,50,2000
#L2PCC9QL,ARTe,open,87667,50,4000
