tag,name,type,clanScore,members,requiredTrophies
#2VG9YJ,!!pakistan!!,open,99977,50,10000
#QLP2GJP9,#cool ppl only,inviteOnly,10143,3,9000
#QP9L0Y,#TeamPakistan,closed,97686,43,9000
#GLL9Q02J,4:20*_*,open,28696,9,1000
#98Y828L0,50 Stars PK™,closed,99883,50,10000
#822JV02J,786pakistan,open,86724,44,8000
#R2JJ0YP0,804,inviteOnly,98514,48,10000
#LUVLUCYL,8TROVERTS,open,94763,50,6000
#Q2GC8P2J,9T8-FAMILY,open,99219,50,8500
#QQGQPQ80,A FRIEND,open,89861,33,9000
#GYUQLVC9,a wsh clan,open,6303,2,0
#GQ0L2U0Q,aitchison,open,38230,13,0
#Q9VPJJYG,Alek The Man,open,21885,5,6000
#9R8PU888,ALL FRIEND'S,open,94312,50,6000
#YV8JC8R9,Alpha Rune,open,96691,50,7500
#90JYG0,Alpha Warriorz,open,98497,50,7000
#8JJUJ8LC,Angry Ghouls,open,98974,50,8000
#G0VLRLPC,Anime Gang,open,15190,5,1600
#GCGQJ0VQ,Asim Munir ❤️,open,8660,3,4000
#PR2GV2PV,Atom Bomb,open,96650,49,8000
#Y2G2JJQQ,AzTecs Pak,open,98182,50,6000
#QUCLUQCY,ba11 10vers,inviteOnly,84558,37,0
#QLGG2Y0L,BLACK FLAG,open,99632,50,10000
#GR8G8P8Q,BORN TO RULE,open,92054,50,5000
#QLGG82LJ,Bottomed Out,open,10995,6,300
#RP29J980,Bounty Hunterz,open,83833,42,5000
#G28Q8JC8,Broken kites,inviteOnly,30300,8,10000
#G80GP2LG,Bruh,inviteOnly,15495,6,0
#GPYCC022,BSE-1A,open,20076,8,0
#R2C9Y00Y,BULLET,open,94171,50,5500
#L80CYU8C,C___●P@Rty.;♤▪,open,97033,50,7000
#GYQ28LUQ,Cartel Noir,inviteOnly,30581,9,0
#QC0UG0PJ,CBI PAKISTAN,inviteOnly,96183,46,7000
#GVJ8JPVR,Cecytc Valencia,open,40861,18,0
#RGQV09GJ,Cedar Clan,inviteOnly,82204,45,1000
#PPRG8G9R,Champions,open,99766,50,9000
#RGYGUP8Q,chonky,open,3262,3,3000
#GPVQQJCR,chotu gang,inviteOnly,91817,46,10000
#GV092JYU,chowmein gang,inviteOnly,6089,2,5500
