tag,name,type,clanScore,members,requiredTrophies
#88U8LPJ9,!!GATO eSPORTS!,open,100000,50,10000
#PLQ0L08G,!!GATOeSPORTS||,open,99824,50,10000
#LC8PGYV8,"""Pro Tavapy""",open,89057,44,5000
#QVLYCUC9,"""RATF""",open,45250,14,6000
#8PYRJR90,#TererePy.,open,99804,50,10000
#GRG0P9V8,(-),open,3503,3,300
#LPU2GPUY,+595 PARAGUAY,open,99030,50,5500
#RGRRVGVU,+turbando,open,91960,50,5000
#RURYLCVR,...™,open,4549,1,1000
#G8CV0YPQ,029,inviteOnly,22121,9,0
#G0UU2V8C,120,open,96056,46,7000
#82RPU82,13 Tuyuti,open,100000,50,10000
#RY8RQ8JP,1erañotembo,inviteOnly,18393,5,0
#RCG9GR2R,1ro btbodrio,closed,36118,11,0
#GLU0RL0V,1ro SpySp,inviteOnly,17242,6,0
#GJU22RGC,2 contra 2,open,79904,26,10000
#G8VUVLRG,21 city,open,94230,50,7000
#RUC9YG8V,2° BTST♛,closed,3301,2,0
#RUVU9YJ8,420 Py,open,23052,8,1000
#RQYPJ08G,4•N•T•1-F•4•T•S,open,42268,12,4000
#GY02Q0UR,5 DE MAYO,open,2704,2,1000
#R2CY8JQY,50 LIONS,open,91601,45,8000
#RR9G2VU8,5teros locos,open,11733,6,0
#G8VYUG2Q,67,inviteOnly,8562,2,10000
#GP92U0V2,6to gogogo,open,10331,5,0
#RJGVRY29,79,closed,7398,5,1000
#RJJYYVJ2,7mo autistas,inviteOnly,12075,6,0
#GJ20UQVG,8B,inviteOnly,29938,11,0
#GQJYCYJ2,8b eco colegio,inviteOnly,21415,8,0
#RYC9V2GV,A LO YMAITE,open,91919,50,5000
#L02Q2V82,A los paraguayo,open,97665,45,9000
#GYCJGUJL,A&E,open,22631,6,4300
#PU8LUJV0,Abduzcan Py,open,98843,50,8500
#GPJL9GV0,ABSTEMIUS KLAN,open,97626,50,8000
#R2UPJYUL,Abyss,open,99249,50,8000
#RJQRLVPJ,AFK ROYALE PY,open,1076,2,1000
#GPR822J0,AGRONOGLOBLINS,open,11478,4,5000
#G8VPULUR,Agronomia UPE,inviteOnly,36207,11,0
#GY80J8L9,agropete,closed,36322,10,0
#GYQQUVC9,Akame kill,open,2782,2,0
#GQYLG8YU,Akatsuki,inviteOnly,70195,36,0
#G2YUCQQG,Akatsuki爱,open,89378,50,6000
#GP0P9L89,AKAT§UKI™,open,99993,50,10000
#RGQ9L8RY,Alan tu papá,open,89209,50,7000
#QL292YQC,Alan y facu,open,12649,5,0
#Q22LGP9U,Alberdi clashPY,open,96364,50,6500
#G2CQG9UU,Albirroja,open,99100,47,10000
#RCYYPLVC,albirroja,inviteOnly,24649,15,0
#P2V0JU9R,Alianza Py2.0,open,87000,30,10000
#LQG2UGRU,ALLS STAR,open,98937,50,9000
#GY2YULG2,Almiron PY,open,92649,50,6500
#RG89LC0L,AMANCIO FC,open,53115,17,5000
#G2PP9LPG,amarillo cpcc,open,82123,44,2000
#LV0LUJP0,AMERIFARRA,open,95426,50,6500
#G9YVQQUL,ameroyale,open,61421,34,3000
#GQRLP8VC,amiges,inviteOnly,23034,6,0
#QQUCQ9QQ,AMIGOS PARAGUAY,open,88180,50,300
#QG88PGV9,AN10-PY,open,95887,50,5000
#Q20VYJY0,Andreschipita,open,95456,50,7500
#RCPYGU9Y,anguja raity,open,20899,10,300
#GRPYYPGR,Anime's CLAN♡,open,97363,50,6500
#RQQQ98UP,anti chavez,open,94334,44,8500
#GLG0PJ20,anuel brr,open,4326,4,0
#GL92CLQL,APOLO,closed,5594,2,1000
#GPLY28P8,ApostlesOfClash,open,70588,28,8000
#QJ9G28U9,Areguá CR,open,73470,23,9500
#G90QJVV8,ariva,open,5281,5,0
#QV2RGLCC,ASGARD,open,97004,45,9000
#Q2L80V0V,ASPJ TEAM,open,89473,50,1300
#PCG0QVPU,Assasins-Py,open,94421,50,7500
#GLUVJV8G,astronauta,closed,4890,4,0
#LUQ80PY,ASUNCION PY,open,99969,50,10000
#GPC8R20R,Atl Guyur FC,open,22972,6,5500
#RQ8UY220,Attack Legion,open,85006,50,5000
#QCU298RC,AVAL,open,94355,47,6500
#GPULVJPP,Avengers,inviteOnly,91171,50,6000
#GYC8YPLY,AVENGERS,closed,4063,3,0
#PCR9PVRQ,AVENGERS PY,open,92743,50,7000
#2PP8GV,Averno Paraguay,open,97632,43,10000
#GYL9J8UQ,Ayolas-Misiones,open,53685,32,0
#G8GGYVRG,AZAIRUS#025,open,86879,49,5000
#QYLR0PQR,AZTECA,open,78992,29,6500
#RVPGUJ8L,aña,open,752,1,0
#8QUJ0J9,Añamembys,open,72499,50,2000
#L988PPGG,añañin,closed,6776,2,1600
#GY29G9UR,bad boy,open,3597,4,0
#YCCY8JVQ,Bado_SportsTeam,open,95861,50,7500
#R9CCJQ2L,BAJO CHACO PY,open,98795,50,7000
#QGV2Y80U,Baranda FC,open,59952,15,9000
#LCL2J22U,Basurita crew,open,99189,50,9500
#RJJ99LR8,bautistas gang,inviteOnly,77785,34,7000
#GLPUP0GQ,betoño roga,open,27508,10,0
#R88JGV22,bimbumbam!,open,8559,3,1000
#RV2Q9LLL,Biyis,closed,13751,6,1300
#8G9GLQ9J,BLACK CLOVER PY,open,95850,50,7000
#G2U0CQ80,BLACK FLAG,open,99972,50,9500
#QPP9LULJ,BLACKDEMON,open,96841,50,8000
#P2GRQVQP,BloodandBoon,closed,88109,34,7500
#LYR8YLCY,BLOODMAKER,open,89696,38,7500
#LLPQ09YG,Bloods,open,97864,48,8500
#GPVL822U,bocha,open,3134,2,0
#R8V8YLR9,BOLETEROS,open,86689,49,4000
#GL0VQGUL,Boliches coiter,open,91062,42,8000
#R2QYUVLC,Bomba CR,open,52997,17,0
#GQQPVQPU,brasileño,open,3401,2,300
#QVC229CR,Breaking clash,open,99876,50,10000
#8QR9C0G9,BRIGADA Guarani,open,95417,50,6500
#Q0RP8V02,BROTHER SPEED,open,98026,50,9000
#PJRCGU8R,BROTHERS,open,90633,50,4000
#GR9JL92C,BSA 79,open,94408,50,6000
#RRLY09C0,Bstt1,inviteOnly,31246,10,0
#R0V88VVY,BTI Gral. CRECE,closed,3835,2,0
#RPQUPCRR,BTI on Top,open,46764,11,7000
#GRU08V0Q,Bullet club,open,96375,43,8500
#RJ0YL0JL,BULLETPROOF,open,9133,3,3000
#R2UJPQ0G,bym,inviteOnly,12673,4,1000
#GL8YLLJU,C.N.D.M,open,1737,6,300
#QC0L289L,C.R,open,86128,38,8500
#YLUP8UVL,Caacupe Royale,open,98193,50,6000
#QCV0CRCQ,CABALLEROS EVO,open,88679,50,7000
#RJJ2UQQY,CaballeroSpar,open,9387,3,5000
#GL2J0R9Y,CACHURRINHOS,open,5859,3,0
#G0QYJQ0C,CAMPAMENTO ELG,open,87972,48,7500
#RPGY0RRP,CAP MEZA ON TOP,open,87602,50,5000
#LU2U990J,Capiata War PY,open,91489,47,6000
#GCVLGY29,Capibara_Py,open,43395,13,5500
#GY8YG9UY,Cardozo Diaz,open,4429,2,7000
#YUJJUC2R,CASITA TEAM,open,85606,50,2000
#GPU89Q0J,casura de papel,open,92658,49,7500
#QQ9L80L8,Catalyst,open,89757,48,5000
#J09VY2Q2,cañete gang,inviteOnly,1331,1,0
#GYPY8ULG,Ccp,inviteOnly,13570,4,0
#GCUU8URY,CCP 1912,open,95949,49,5000
#QU922P29,CCP PY,open,92144,41,8000
#R9QUUQ2L,CCP92,open,90821,50,5000
#R29RRL9G,CDE_PY,open,97990,50,6000
#GRL8J0Q8,ceiscas,inviteOnly,94121,49,9000
#G0L0RYCR,CERRO PORTEÑO,open,90643,49,8500
#LV8PVVJP,cerro porteño,open,90187,50,4000
#GURV88RR,CERRO PORTEÑO,open,88742,50,7000
#YC2YUQJU,ChetardosPy,open,100000,50,10000
#RRU0L9LY,chipaguasu kp,inviteOnly,3428,2,5000
#RUR0V998,CHIPAGUASUPY,open,38237,10,5000
#LV0J9R8U,Chocolele,open,88661,50,5000
#GY28GYP2,ChompiRoyalTeam,inviteOnly,51639,21,0
#GC20G0VU,chorilambebicho,inviteOnly,4513,3,0
#RRUULY0P,Cielaxie05,open,1374,3,0
#GYR0JGJY,CJGE,open,29358,15,1000
#RC2UCQ0Q,clan,open,14233,6,0
#9PRC0CRV,Clan  #9PRC0CRV,open,94339,42,10000
#G8J2CL9V,Clan  #G8J2CL9V,open,38699,16,3000
#GLP8VL0G,Clan  #GLP8VL0G,open,47643,16,10000
#QQGJRY0L,Clan  #QQGJRY0L,open,72728,50,4000
#QU0G2JVP,Clan  #QU0G2JVP,open,49446,16,4000
#QYPCLY0P,Clan  #QYPCLY0P,open,84708,50,4000
#G2PYL8YY,Clan #G2PYL8YY,inviteOnly,58914,23,0
#LPJ0LCRQ,Clan #LPJ0LCRQ,open,93925,50,7000
#GU0U0U9Y,Clan Akatsuki,inviteOnly,11589,5,300
#GCRUCJ92,Clan Anadie,inviteOnly,26393,7,1000
#Q989UVYP,Clan Azumi,open,88540,39,8500
#RRRJPYPG,CLAN BRAZIGUAYO,open,29431,8,0
#QVC8JQ22,CLAN C.T.N,open,94933,50,7000
#R0Q292RL,clan coaton,open,54705,36,5000
#GYRCU9YL,Clan CriKayi,closed,2365,3,0
#GL0YJR82,CLAN CVD,open,2391,2,300
#R0QPC2JJ,CLAN FBURGUER,inviteOnly,44000,13,1000
#GQV99CP0,CLAN GALLETITA,closed,78770,29,6000
#GQRP2C2P,CLAN GUARANÍES,open,6013,2,0
#GLLYLPCR,CLAN HYUGA 203,open,1118,1,600
#R0VCC9QY,Clan Koree,open,96602,49,8000
#GVVUVVGQ,CLAN MASIVO BRO,open,5108,4,600
#YVJP2VCU,Clan Max,open,86349,50,6000
#GLVY0R29,Clan Paraguay,open,93209,44,10000
#GY8LCL99,clan pollito,open,4593,3,0
#G2YQPQV9,clan pvp py,inviteOnly,47307,16,2000
#RPJJC2CU,CLAN PY,open,17177,10,0
#GCQURV22,clan PY,inviteOnly,3045,2,2600
#G8RRUQ2U,Clan Rotela,open,90733,50,5000
#GY9QLVG9,clan rotela,open,30271,15,600
#G9J0PJ0C,clan rotela,inviteOnly,11108,4,300
#R2LURY2Q,clan rotela,open,1583,2,0
#QU0J0JPQ,CLAN ROTELA!,inviteOnly,92926,42,6000
#GYQUVQP0,clan rotelapy,open,6887,3,4600
#GPYUQGVU,Clan Rotela™LP.,open,12684,6,0
#QL9UP9GC,CLAN ROTELA♤,open,99432,50,8000
#G9YR909C,CLAN SANTA,inviteOnly,33570,14,0
#GJLC0PCC,Clan Senju,open,89574,50,6000
#G8J8V2JR,Clan Sosa,inviteOnly,55909,25,0
#J0PVLGG0,Clan Supercell,closed,4605,2,4000
#G8R0UP22,clan tembo py,open,98737,49,8500
#G2G0Q8Y8,Clan u,open,19316,9,3000
#J0CC8GYR,CLAN VERMELHO,open,11836,10,0
#RLJ00Q0V,clan vibe,open,86148,50,3600
#Y0C2VGQL,CLAN_INFINITY♡,open,48379,18,5000
#LQCGYYVJ,ClanJBL.py,open,89729,40,7000
#R2YYRU80,ClanRotela,open,98615,50,9000
#2R0U92G,CLASH PARAGUAY,open,99900,50,9000
#RRVYCY0L,Clash PJC,open,38026,16,2000
#J0LJ2VCC,CLASH PYY,closed,5535,2,0
#GGR8JR0U,clash revengers,open,40238,14,7000
#2L29QLLL,Clash Royalito™,inviteOnly,100000,50,10000
#GVC9CLC2,Clash Sport⚡,open,97669,50,9000
#LJCU02GG,Clash x moda,open,95220,50,8000
#QJYVVQ9Y,Clash_Masterss,open,97452,50,7500
#QVRUV2JG,Clashito-MRA,open,32003,7,10000
#J2QC929Q,ClashProsPY,open,2876,5,300
#LG9P0U0L,CLUB.ÑANDUTI.py,closed,94938,45,9500
#R8RLLC9V,Cmen's,open,89638,36,9000
#GQ9QY0VL,cocido,closed,9579,2,8000
#G9VQUJP2,Coldsweat,inviteOnly,93556,37,6000
#QC29UJR8,COLEGIO EMD,open,92434,49,5500
#2GL8GC22,Colibrí Py,open,98623,49,8500
#G28YGJL0,Coliformes,open,88939,47,8500
#8LQPQV0,Colonias War,closed,10133,3,5000
#GUCUULCP,COMPAS,open,90574,50,6000
