tag,name,type,clanScore,members,requiredTrophies
#P8U0CPY,! ARRIBA PERU !,open,99836,50,10000
#LCCVR2CG,"!Perú!""",open,99994,50,10000
#LV2GR9UU,!ShocK-13!,open,99640,50,10000
#GJCLLYR2,"""""PERÚ""-3",open,82365,50,4000
#QRYQCULR,"""ARRIBA PERU",open,99432,49,10000
#L8RLYUC0,"""COBRA KAI""",open,96473,50,7500
#9R2VP9RL,"""Família Royale",open,97601,48,8500
#PLR8PPCU,"""liberte jw """,open,52772,14,4000
#PG8G8JV2,"""TEAM PERÚ""",open,97461,50,7000
#LJ2VUU0G,"""TEAM_PERÚ""",open,98384,46,10000
#QQLVC9J8,"""The peruvians""",open,98994,50,0
#GRLYLQCJ,#CAUSA LIMEÑA#,open,94872,43,10000
#89YLC9GQ,#fuerza peru,open,99352,48,10000
#PRJ089GQ,#Impetu Latin,open,98835,50,9000
#QCYQGG89,#Nova Stars©®,open,99979,50,10000
#P8QR09C9,#PERU Royale ⚡⚡,open,100000,50,10000
#YRJRYVGG,#Peru Squad#,open,100000,50,10000
#QUJ2PV20,#Perú Army,open,97681,44,10000
#L0CL2JUG,#TeamCampeones,open,99878,50,9500
#GQQJLLUQ,$DESTRUCTORES™,open,4504,4,1300
#YU0JGVYJ,' Tėam Pokėr ²⁰,open,99086,47,10000
#2C0808,*Peru Elite*,open,97682,50,8000
#LLYCQ0C0,*TEAM_PERÚ*,open,100000,50,10000
#920RURPU,*VillaDark*,open,10000,2,9000
#P00LU8R8,->INDUSTRIAL<-,open,99961,50,10000
#G9YPU2YV,-FIRE BALL-,open,83638,50,0
#LCYP9Q9R,-Neons-,open,99565,50,10000
#QC2RLYPC,-VETERANS-,open,99917,50,9500
#YCQRQYLY,. ＳＥＣＲＥＴ.,closed,99972,50,10000
#QLLJG92Q,..PeruRoyale..,open,99958,50,10000
#Q8YVGG8G,.S E CR E T. II,closed,99154,48,10000
#Y2009G0U,.Team Perú.,open,96339,50,7000
#GP2Y2U02,0 FUNADOS,open,96604,50,8000
#GLCUYJ08,01~23,inviteOnly,7451,2,0
#LG02JLL0,100% PERUANOS,open,99896,50,10000
#YR8RRQYR,100% peruanos,open,99769,50,10000
#PV9URJG8,100% Peruanos,open,98266,50,8000
#G8QP89RR,102,inviteOnly,66259,24,0
#GYGQY9G2,11:11,closed,6139,2,5000
