tag,name,type,clanScore,members,requiredTrophies
#RGGJ882U,6A Goaty,open,14011,7,3600
#LCPQ090L,C-Men,open,98105,50,8500
#R90G0YCP,Diki.pl,open,22101,7,0
#GJUQULRL,KASH CREW,inviteOnly,86497,49,0
#Q2VJ98VV,Manjubas,open,92381,50,0
#R2P928G9,milosz61,open,2203,2,300
#LV0Y8CUU,21MILIONARIO,open,47579,17,0
#GCQCLP92,2c2,open,25788,11,0
#GPRGULR8,48kg pyta,open,75070,40,4000
#G88900JV,AKAL 9B,open,38073,15,0
#R0PU8R0V,ALLGAMESTRUPAFC,open,38188,13,0
#QV2RJQPV,Battery,open,37465,14,0
#G0QQYLQ8,bbc,open,87541,42,0
#RRPC00P8,bbc elementary,open,67095,48,0
#QUV2GYR2,beanbag,open,89468,50,4000
#QR2PCP9Q,BLA BLA BLA,open,13034,15,0
#RPGQLQJU,Bloste F.C,open,83386,36,7500
#GQGUULQL,Clan #GQGUULQL,open,60618,16,4600
#R988U0G9,Dzesikabudzynia,open,48526,25,0
#YUYY8UYG,FiT and trainin,open,87955,49,0
#QV9LQ8VV,garric fone,open,78612,32,0
#GYRVJ29C,gaúchada,open,28547,15,0
#QULQCQJC,GHS C4vin,inviteOnly,60940,25,0
#GU0Y0CQG,Goblin Gang,open,61856,24,1600
#QJJGCLLQ,i 4 mochettieri,inviteOnly,83395,42,0
#89PQPU0,I PRINCIPI,open,23544,9,0
#L08VLG0V,ijosdelagran,inviteOnly,45265,14,9000
#RPJ8CUUU,koпим элиk,inviteOnly,10120,3,10000
#YQVG9URV,LaManchaRoyale,open,69375,46,1000
#QV2YVQGP,nmiri com,open,92344,46,4000
#GG9PGVJY,one piece,open,86993,38,6500
#GPUPVY99,PADRES,open,80602,47,0
#LVUV222Q,partidasenclase,open,87630,38,8500
#GRPGCYP0,POMPIEROSI,open,92945,50,0
#G9JCP00R,Schaafsirui,open,42884,18,0
#G2G09VVP,skigmas de 9200,inviteOnly,51075,16,0
#R2RPLQCU,SkyTeam,open,54353,15,2000
#GY0URRCV,the monkey army,open,504,2,300
#GGR0GYUP,희영이의 2-1 반,open,22507,8,0
#YJJJYLGY,ChungFung Inc.,open,35914,31,0
#LGJ89CJU,el infinito,open,33311,16,300
#R0QR9UJC,GGM,inviteOnly,23941,7,0
#LPR0Q08C,los soplanucas,open,54256,47,0
#LGGC20VQ,white neggus,open,31416,22,0
