tag,name,type,clanScore,members,requiredTrophies
#GJVCRV8R,! FaniWcra !,open,89112,50,6000
#QQGCG2CL,! The Originals,open,96323,50,8000
#8CUUCP8Q,!GreenTeam!,open,99661,50,10000
#PPRU9RG0,!Polish Player!,open,99542,50,9000
#PYYJY0PL,"""wolontariusze""",open,99585,50,9500
#YGUYYVY2,##!!przekliniak,open,98119,50,8000
#8G9Y02LR,#FajfusTeam,open,97035,46,8500
#YU0CJJ2V,#PLAYER,open,99980,50,10000
#P8VYYYGG,#Polish#Shot#,open,99750,50,10000
#P0CCQ8PL,#Polscy rycerze,open,93420,50,5000
#PJPVQLUY,#Polska,open,93231,50,5300
#RRLYULCJ,#ÂCÂB#,open,21670,5,5000
#GJJL8QUC,$¥£,inviteOnly,5235,2,300
#QCV28LLU,(L),open,99577,50,10000
#GCV88RRU,(⁠ب⁠_⁠ب⁠),open,22345,10,0
#GU8LJJ9P,---POLAND---,open,81939,50,4300
#RJJQUJVQ,-Polish Elites-,open,11070,4,5000
#G9LUQ0PP,..,inviteOnly,23456,11,5500
#RQ2CGUG8,...,inviteOnly,9011,5,0
#GVYL9R2G,...,open,4208,5,0
#GCLRP88G,...,open,2240,2,3000
#GUPLYL0J,.........,inviteOnly,3166,4,0
#GPL22JLJ,01MOVEMENT,open,7620,3,0
#G90GCLYV,1 Lb,open,80598,48,5000
#R8YV8C2C,1 vs 1,open,9383,4,2000
#RU929CQY,122,open,22169,10,0
#GUG8VUGJ,123456polska,open,5717,4,0
#GVJL80YV,15 Kompania,inviteOnly,90743,49,0
#G2002LR2,1715,open,97054,49,9500
#R02RPU8J,1A Lotnik,open,98409,50,9500
#J2P8JP29,1aa11aa1,inviteOnly,5983,5,0
#R2QGG8GJ,1b,open,22193,7,0
#G2QCU2UJ,1BEZKITU,open,93368,50,7000
#RUV0Q0PV,1C MECHATRONIK,inviteOnly,27334,10,0
#GYCRJC0Y,1G,closed,13282,5,3000
#R2Q9Q9VJ,1LA,inviteOnly,52123,16,0
#G9229G8Y,1lo,open,93272,45,7500
#QCPCQL0U,1LO BOCHNIAA AU,open,99186,50,8000
#R0V9UGYR,1TINF Bedzin,open,7191,3,0
#G220PRP8,1TP,open,86220,50,6000
#GGGL2YP9,2 cccccccc,open,94544,50,7000
#GY28RGPU,2 złote clan,open,97968,50,8500
#J0LQ82YY,23,open,5669,3,0
#GPLP8V9Q,2337,closed,13819,5,1000
#QRVGUGUV,2ct,open,94655,47,8500
#GQU8JQ9U,2H Esports,open,98133,48,9500
#GRJ2C092,2TI,open,98498,50,10000
#QVRVRRYP,2TI,open,90570,50,5500
#G2G8L0LG,2wheelzboys,inviteOnly,45732,14,0
#GP9C8VYG,3 PYTON,inviteOnly,24957,7,0
#QLJL2JJR,30+Polska,closed,98902,50,8000
#GRCY28V0,3A OPW,inviteOnly,27488,9,0
#RRCJ99UU,3Bolce W Mariol,open,86204,46,6000
#GGGQL922,3G,inviteOnly,10851,5,0
#QQPL0V0P,3koronkiwin,open,96582,49,9000
#G88YRP0U,3TT,open,97731,50,8500
#GGLY28L8,3v3,open,98795,49,10000
#GL8VCRP9,41,open,4408,2,1300
#QU2J89LG,420s.,open,87827,49,7000
#G0RYRGYJ,420Stereo,open,98733,46,9500
#G8JCJR20,4A,open,35043,17,0
#GCPVQV2Y,4aw,open,83721,50,7000
#GYPQQ9RG,4b kamień kraj,open,807,2,0
#GUYRLJPY,4D4M_G,open,96460,47,9000
#QCUQLQP8,4Fun,open,98868,50,9000
#QLCRGJRV,4funPL,inviteOnly,99811,50,10000
#GPQRLR92,5 D,inviteOnly,4607,2,1000
#QQ9P0R2P,50 spartan,open,99985,50,10000
#QJ0P8VQR,50KingsPoland,open,99505,50,10000
#GJCYCGCJ,5321,open,7326,4,1000
#G9CQ8QG0,57 Pułk Ochrony,open,3728,4,0
#R0PRVLCL,5823,inviteOnly,5119,2,0
#RCL28V9C,5a,inviteOnly,3294,2,1000
#GLP8JUJG,5BekerS,open,8810,5,2000
#GVV90VLC,5TEM,open,44118,13,6000
#GQ80VJJR,5tm,open,14379,4,3600
#G98YR9QV,67,open,44623,19,6500
#GUU8QC20,67,closed,22728,13,0
#G9QCPRVL,67,inviteOnly,7835,5,300
#GUY2229P,67,inviteOnly,5629,2,0
#G9UGQVY8,67,open,3392,3,300
#R2JLG0R9,67 67 67 76,open,4578,2,0
#GL0QUQ9P,67 BOIIII,open,16728,6,10000
#GY0200VJ,67 Elixir,open,91551,50,7500
#GYQ9LV9J,67 team,inviteOnly,6514,9,0
#GUR2CYGQ,6767,closed,6202,2,1600
#GLQYVPVR,67_Sigiemek,inviteOnly,3327,4,0
#LQ8VCQRL,69ImpostorsGang,open,93301,42,9000
#RRJRCRLL,7a pl,inviteOnly,4633,2,2000
#GYP2P0LP,7B,inviteOnly,11337,4,0
#GP92JP8R,83-113,open,48167,19,3000
#RYGYCJRC,8D,inviteOnly,14115,4,0
