tag,name,type,clanScore,members,requiredTrophies
#RQRVJ2YU,..,inviteOnly,8275,3,1300
#GYRUJJYJ,0 IQ,open,38522,13,4600
#GCVQLRLP,2022,open,15769,6,0
#RRVPJQPU,3Rb,inviteOnly,22239,8,0
#GRPQ08Q2,506,open,77257,48,5000
#R2P9JYUY,67,open,2552,2,600
#G228UV9Q,AlSayed,open,83467,47,6000
#QCQJV0UC,ALTHANI,open,78190,48,1300
#P2JLVYJL,Art Of Wars,inviteOnly,88907,37,7500
#RJLYJGYL,Atutsbxbh439,open,1362,2,0
#R8LL2Y0G,Bad Gamers,open,90904,50,7000
#LY98GYRY,Bartolo'S Lfe,open,81310,48,5000
#RRJJQLQG,BBC Beserkey,open,72997,50,4000
#RG9GL8UJ,Bea's dark hole,inviteOnly,23896,9,0
#LVLLPLU2,Behr,open,85414,50,6000
#9Y0G80,BiangKerocK,open,72485,48,6000
#808QC0J,Black List,open,99522,49,10000
#QLUJLGJ8,Clan Cuy,inviteOnly,47740,12,5000
#QR9YG828,CLANG,open,7910,4,1000
#RCQQ2GRJ,Compass,inviteOnly,39413,12,0
#RLLLPQYJ,Crow Cartel,open,99192,50,9000
#RUUV0U92,EQP TOP 22,closed,27345,9,7000
#RY9JGGY9,generación nuev,open,5351,2,1000
#G0G0PRYY,gggabis,open,563,2,0
#RJGPYJUG,GLORY ESPORTS,inviteOnly,32667,13,0
#RU02RLRU,hamaming,open,5580,4,0
#GLLPGLU8,Humunukpy,open,4362,2,600
#LQJ0JQ90,Iran CrWarriors,open,71659,50,0
#QRVGYUUQ,ISLQ,open,99369,48,10000
#Y9UPQ08J,Jew Gang FTW,open,99829,50,10000
#QVY8J889,la mocosilla,closed,9089,2,9000
#G9VYUY8Q,Lilou et 0gust1,open,10322,4,0
#RQ0UQ2QY,los eso brad,open,4445,2,0
#R90CGC28,Mahnana,inviteOnly,89036,35,0
#G9Q29QJ9,MEGA KNIIIIGHT,open,44202,17,0
#GCL9RVRU,Mexikaner,inviteOnly,10148,4,0
#J29P928L,mini_P,inviteOnly,2807,2,2000
#RV2VY2LR,nako,open,41426,12,2600
#GU8YCRPV,nogordas,open,20851,5,0
#GGUCLQPC,NOT HUMANS,open,78114,47,5000
#J0GGG9,OOREDOO QTR,open,93372,49,0
#GLQ02L89,OS GOVS,open,10436,8,300
#GL8YQC28,phantoms,closed,44001,16,0
#GQVC280U,plantation,open,42777,10,7000
#QVYP082J,pushing 10k,open,71577,42,5000
#L0CPPU28,QaTaR,open,100000,50,10000
#YRRP0JR,QATAR,inviteOnly,99437,49,7500
#Q9PYUCL,qatar,open,98953,50,8000
#20UYGQ8,qatar,open,97505,50,6500
#9J028L0,QATAR,open,95609,49,5000
#U89LU0,Qatar,open,94380,50,5000
#8L90GP9U,Qatar,open,92366,50,3600
#G0C0L08J,Qatar Wars,open,88896,49,3000
#RP092PV2,QatariKings,inviteOnly,4721,2,0
#PQGU2UCL,qatarplayers,open,97176,50,9000
#GUQR2QLU,qis clan,closed,42347,16,0
#PG8LGGY,QTR,open,97577,50,5500
#LYPQ9C,QTR,open,95344,50,4000
#QR8YLR2P,QTR,open,94080,49,8000
#YQQRGV8,QTR MASTERS,open,89920,35,8500
#YUGYJ9VQ,shabaab6,inviteOnly,83907,33,10000
#R2QJ00CL,shawarma,open,3668,4,0
#GQ88L8CY,team khookekhik,inviteOnly,11075,6,0
#GY2P0CYP,The Caliphate,open,25495,8,3000
#GCL2JGVL,TitAnES,open,4510,2,0
#QCYUCQRJ,TOP QATAR,inviteOnly,100000,50,10000
#QUUCPUYG,TRA ZAMAN,open,61245,22,5000
#GU0808R0,Tspmo ngl,inviteOnly,9708,5,0
#QUU0LQQJ,ummsalal,open,98205,50,8000
#G9J9PYC8,UPZ ROYALE2. 0,open,52340,15,7000
#QJLYU280,W live,open,99656,50,8500
#GLVLLRCP,zezo and baba,open,3657,2,0
#GLYRGY0V,حي عينك,open,8218,5,0
#RRG8JP2P,شباب طارق,inviteOnly,47932,15,0
#C9VCJPU,شباب قطر,open,98291,50,6000
#PPL0J0VJ,قصايد قطر,inviteOnly,91637,35,7500
#QL8VJLUR,قطQATARر,open,87541,47,6000
#QU9R8J,قطر,open,95167,50,5000
#280JQGYC,قطـ QATAR ـر,open,99495,50,9500
#280CP802,قطـ QATAR ـر 3,inviteOnly,78494,25,5000
#QV88R28C,148☔️,open,88872,42,7000
#QULCGUU8,271kreal,open,72466,26,5000
#G2C908QR,30302,open,46644,28,300
#RQCL9200,3GRB,open,71985,50,1000
#GQC8G8L8,4AM,inviteOnly,17267,6,0
#UUGR8Y,4TNT,open,78779,50,3600
#G2GY2GU9,515⚔️,open,44133,15,4000
#GP89YVJ8,7bs clan,open,35659,32,0
#QPUVRLY8,88888,open,77540,50,2300
#QLCCLUQP,974,open,93566,50,5000
#GJJLV08V,974,open,48852,30,2300
#G29U9G82,974,inviteOnly,11994,5,0
#GLL89LRQ,ABK,open,34522,8,6000
#G0CUYYLL,abo mohammed,open,15293,17,0
#G8CQPGRR,abood clan,open,55878,50,600
#GUC20PLJ,abxxd67,open,45670,47,0
#GRQ98V8J,aggieland,inviteOnly,54722,18,0
#RLJRR0QC,ajz,open,43423,50,0
#GYJP8Q0G,Ak206 bois,open,15022,15,0
#GUYLUPUU,AK’S CLAN,inviteOnly,59263,36,0
#YCYVVG2C,AL WAJBA,open,67808,50,0
#9LQYLG2,Al wakra,open,92196,48,7000
#QJURR80U,ali 1234,open,46230,50,0
#RUYVQC0L,ALK974,open,16259,12,0
#GPGLL0YJ,alkaabi23,open,6956,3,0
#GYUYRRJU,ALMARKHiYA,open,5120,5,0
#Q9YJU2QQ,Almarri55,open,51801,50,0
#20JJ8QG,Arabs,open,91644,50,4600
#QPGPL9CJ,Arjunalmostdied,inviteOnly,25355,11,0
#800Y08YP,ASD E-Sports,open,18326,40,0
#2U89022,Balbon Clashers,open,70217,50,2600
#LCUVLQL0,Banda del Titi,inviteOnly,44615,14,8000
#QY0YJY82,bhangi,open,56317,44,1000
#LY0PYQV2,bloushi clan,inviteOnly,20557,9,0
#GUCLLGUG,Bomba,open,27154,13,0
#R8YUQLQ2,Bonaparte,open,21235,11,0
#LVU8JQUJ,Brods Night!,open,58128,50,1600
#J02QR0Q9,BroQTR,open,19418,11,1000
#G8CJUQY0,bros,inviteOnly,5995,5,0
#G2QCYGQP,Bruh moment,open,56162,16,9500
#G928G0UQ,chapalo,open,69955,33,8000
#GCLV0U8L,cheeky geeks,inviteOnly,35232,10,2000
#R9VYPRR9,Ching,closed,15214,5,0
#GLQ898U9,CIRCLES,inviteOnly,36851,13,1000
#GQGQL0JJ,CKJB,open,17561,8,0
#2P98ULU2,Clan #2P98ULU2,open,94620,50,7000
#Y9G9C892,CLAN NZF,inviteOnly,82053,33,3300
#G8LC09Y2,clan of clasher,open,51672,49,0
#PPVL00LQ,Clan of Qatar,open,45944,50,0
#GCJL9099,clanclan,open,46025,50,0
#RC2LRVPC,claney,open,59189,50,0
#2L0YYP8G,clash bros,open,23725,14,6000
#QJUVP8YR,CMUQ,inviteOnly,79226,34,300
#GY8CG828,Cops,open,7513,4,0
#Y28Q2U98,Crew974,open,42697,48,0
#GYRCP2CU,Culiacán Sinalo,open,14405,4,0
#2PRRG2U,D1G,closed,82874,35,9000
#Q9L282PQ,D777,inviteOnly,748,2,7500
#Q2G29JGJ,DaProGamarz,open,70568,50,3300
#YC88PR82,Death$,open,93922,48,9000
#GPQ9VVQU,DERİN DİVAN,open,10708,4,6000
#R8QVYCP8,Dew,open,44022,50,0
#G9RJVPGG,DOHA,open,39338,13,9000
#RJ8J99LG,Dr Moyo,open,58046,39,4000
#GUJQR99L,ECHS,open,57889,50,0
#G920Q808,EL IMPERIO,open,89287,43,5000
#RRJLYVVL,Elixer Totr cln,open,53332,48,300
#9UCL8VYY,Emoji Lords,open,36199,50,400
#J2GLJQ08,Evo Spit,inviteOnly,18151,10,0
#GRQYYGV0,EZDAN31OT,open,44668,50,0
#29JUY29,F.C.B QTR,open,52994,20,6000
#GLJCRL9P,f.y.t,open,26390,11,2600
#QUJ9CGRJ,f16 555,inviteOnly,15549,7,0
#QLJGC9C8,FAA,open,74315,46,2600
#LC9P2VVC,Family group,inviteOnly,90772,46,0
#RGPLPLLL,Finny clan,open,47266,49,0
#QVQJY8Q2,friends,open,13560,5,0
#RL2VP829,Gaands,open,81676,50,3000
#YVR20PLV,Gamer.qa,open,93004,50,4000
#YURPLU29,ghost and the w,open,32581,17,4600
#L9PLCVJP,goat,inviteOnly,47582,20,0
#LY2U299G,gorkhali nepal,open,57372,20,1600
#GL0992RQ,GRand Warriors,open,91701,50,7500
#R288LU09,HBKU,open,41511,16,0
#QUQP2Q82,hell eye.,open,71103,50,1600
#J292GQ8Y,homies,inviteOnly,23159,11,300
#GRJ8GP9P,Hormone Cartel,inviteOnly,70639,22,8000
#QGPR0RCU,Influence Rage,open,6729,3,0
#GV92LGVU,ITIS NOCERA,open,70771,41,0
#QGPUY0VG,JMR,open,22257,19,0
#LU20RVVV,JQR_clan,open,55476,50,0
#GPRURJLC,JR EsoTilin,inviteOnly,34619,11,0
#LJ09C0RL,just fun,open,60647,50,300
#QJ0P0LPY,Kaido,open,68033,50,2000
#8CJV0CY0,Katara,open,91102,50,5500
#GCJCPYPY,KCD,inviteOnly,48361,27,0
#RQYP0PP0,Khan of Khans,open,43975,49,0
#QVULY0J,kings,open,14105,11,0
#QUUUYCPP,kings of qatar,open,50317,49,0
#PCJ0R2LY,kings of royale,open,73158,50,3000
#LJJPUQJ9,kobold armee,inviteOnly,41047,15,0
#LRLL0P8P,Los abortos,open,61429,47,300
#Q90JYRVJ,los mayte,open,28612,17,0
#GL002LPJ,los pekka 2.0,closed,3918,3,0
