tag,name,type,clanScore,members,requiredTrophies
#PP0QVGP8,""""" ORDYSSII """"",open,96820,50,6000
#8YGLYL9G,"""Razbunatori 2""",open,98491,50,8000
#8UUURJCQ,# SUNTEM BOŞI,inviteOnly,22759,6,2400
#PR2LUR8Y,#100AniRomania2,open,99903,50,10000
#PU889YYY,#100AniRomania3,open,99844,50,10000
#YU0C8RCQ,#1Romania,open,99932,50,10000
#L08QJRVQ,#1❤️,open,92079,44,5000
#QQ9PJ8PQ,#50 Family,open,100000,50,10000
#9JJRP228,#Asasini,open,98219,45,9500
#YCCQYG8C,#BLACK_SQUAD❤,closed,78366,23,9500
#GQJJGG8J,#Bucuresti,open,94985,50,8000
#2UQ0J2G0,#CM#,open,94257,50,6500
#QYULJLV8,#Dacii 2,open,98893,50,8000
#2L2PCY9P,#ElderRomania,open,99952,50,10000
#QVUVYRR8,#FLAITE,open,91435,47,6500
#YCR999LC,#Fortnite,open,94675,40,9000
#9PU80QUR,#Fortza Romania,open,99890,50,10000
#90QCURPY,#Fortza Romania,open,99844,50,10000
#Q29YJ09G,#FortzaRomania,open,97168,45,9000
#8JP0P08G,#FriendsPower,open,96799,50,6500
#8299QCJR,#Holy Squad,open,98449,49,9000
#9L8V2QQ8,#HÂTZ,open,95074,50,7000
#P9RJ0Y20,#iRomania☆,open,64629,50,1000
#V2RUGC0,#Light Kings,open,94513,50,6500
#9L89QG80,#mai,open,92988,50,5300
#G99CRYVP,#Producatorii,open,88537,50,7500
#PGPRRC8V,#ReKt-TheM,open,90816,50,7000
#Q8J88L9G,#rezist,open,100000,50,10000
#YL9U0C9U,#Rezist Academy,open,90232,50,8000
#YLYURYCU,#RO-ELITE,open,92392,40,7000
#YUG00822,#Ro-Power#,open,99749,50,10000
#VJRLU0R,#RoElite,open,100000,50,10000
#L2CYCR2R,#ROLegendele,open,95401,50,6000
#L8GL92Y0,#Romania,open,96733,44,8000
#GQY0G0P9,#Romania,open,93550,50,5000
#PY9JGUCG,#Romania,open,91409,50,5000
#Q2VGJP9,#Romania INT,open,98399,50,8000
#Q8LLVLJJ,#Romania#,open,95595,50,6000
#QCUP9292,#RomaniaFreaks,open,100000,50,10000
#PJGLU9YL,#RomaniaSuprema,open,93006,38,10000
#8PJC80Y0,#RomaniaWarrior,open,97257,46,10000
#GC9CCP89,#RomâniaMare II,open,89220,50,7000
#G9Q0J2P0,#RomâniaXD,open,96821,50,9000
#PY9P2JR9,#RoStar☆,open,70410,19,6500
#LYLP9L,#Royal KingS,open,99586,50,10000
#22UPUJP9,#Spartanii,open,99803,50,10000
#Q2RRGRP8,#THE WOLVES,open,99125,49,9500
#L00L2000,#WarFamily✌,open,96322,45,9500
#G8R8C0UR,#WarZone,open,99330,49,9500
#Q89JU0PR,#Zeii⚡,open,99891,50,10000
#R0CGGCLL,$ BrotherHood ¥,open,87283,44,8000
#GLVUU9RV,********,open,81879,33,5000
#GL8GPUYL,***ROMANIA***,open,100000,50,10000
#8L9GVQY,***Romania***,open,97595,42,10000
#GVRLCRU,*HASDATE*,open,98504,50,8000
#GR8JV092,*Pitesti PoWeR*,open,57796,21,3000
#PVCGJU0,*RoManiaClash*,open,94474,49,10000
#8YR9Y8JC,-ExPloZiOn-,open,95223,50,6500
#PJRRVCQL,-Puiutz●Gang-,open,90233,50,6000
#PCCJL20G,-Romania-,open,96310,50,6000
#8GG9PV09,-RoStars-,open,99700,49,10000
#LL9VGRRL,.::ZeroZone::.,open,99842,50,9500
#GJ2GUGR8,.ag,open,97394,50,9000
#2UG90RQU,09999,open,99916,50,10000
#G808RR2L,10 Lei,open,95080,48,9000
#GRLPCPQY,10 lei victoras,open,86018,41,7500
#GJGPUL8U,101 dalmatieni,open,47873,28,2000
#GCVULCR8,104B labile,open,17560,5,1000
#GULP9YCU,108,inviteOnly,41007,10,0
#RJRGQ9GL,10B CNNG,open,18760,6,0
#GCCY8LQY,10E,open,91375,49,7000
#G09CJRUP,11 mate info,open,83062,50,0
#QCV900PL,11 mi1,inviteOnly,73106,26,0
#QCVPU9PY,11C,open,87946,35,9000
#QU92UYLC,11C Cara,open,86595,47,4000
#GUGQ9Q9G,11E,open,52412,22,2600
#QCL00UYJ,11MI,inviteOnly,82917,39,0
#QU9QLYLC,1234,open,100000,50,10000
#G92YG0LR,1234,open,12582,5,0
#8VJ928VC,13 ianuarie,open,88743,50,1000
#R0Y98RVL,13.06,closed,4442,2,0
#GRLLY0U9,13D Țăpos,open,94336,49,7500
#GV9C9VGL,14 EFS,open,59594,18,4000
#RYC2G9VP,14 hp,open,82724,36,7000
#GRLPJ09L,14ani-18ani,open,93982,47,8000
#28V2RJJ,18+ INFRACTORII,open,95239,49,7000
#22V9Q9R9,18+ SB-ROMÂNIA,open,96367,50,7500
#G0G9Q9J9,19 pipera,inviteOnly,20228,6,300
#QUY8PPPP,1HOOD3,open,99191,50,10000
#GQV08809,1p3ople,open,85005,35,5500
#LQ0VUUVC,1st mordor,open,97048,50,8500
#G0GUCVQC,1st RO EMPIRE,open,48046,12,6000
#G80Q9CJU,1v1 8007,open,95047,46,7500
#RYU980YP,2 Puli,open,86693,50,9000
#GGJ0C2UG,2 v 2 malu Roșu,inviteOnly,16317,8,0
#QLVJURJQ,2024 Romania,open,95776,48,9000
#R2G08Y9G,20CM Records,open,92787,50,7500
#RYYJJG8Y,20CMRecords,open,100000,50,10000
#GQPLYQJ2,20CMRecords 2,open,99700,49,10000
#G2G20GCY,20CMRecords 4,open,99700,49,10000
#RJG2UYU8,20CMRecords 5,open,99624,49,10000
#RJYCUUY9,20CMRecords 7,open,92825,49,8000
#RC0YQ9YY,23August,open,96268,50,9000
#YLPCLVCG,2k21,open,98628,50,9000
#GGLLV2QP,2v2,open,18290,4,5000
#QUYQ0GC0,2v2 intre tapi,open,90674,48,5500
#G802GL9P,2’10Ploiesti,open,98110,50,8500
#8J88L0LP,3 Pe Deal,open,98938,50,8000
#RJ920UL8,3 PE DOLMA,open,66705,28,4000
#QUURPPR8,4 Ventilatoare,open,95592,45,8000
#LU9JVYC2,5 LEI,open,89101,35,7000
#2GJQQYGJ,50 King's Ro,open,87160,50,4000
#R0P90CRY,503A,inviteOnly,21550,6,0
#2R9RGRC9,5c Best,open,95924,50,7000
#J2CP2U8R,5c mártonffi,open,6968,4,300
#GG9YQJRQ,5PM,open,97611,46,8500
#RJRR2Y98,6000 doar,open,12356,4,6000
#GPYPYGUV,67 and 61 & 41,open,4670,3,0
#GP0P09RV,67 labubu phonk,open,15792,6,1600
#R0PRQVJJ,67 salam,open,12205,6,0
#R2LJJG9L,67 tați,inviteOnly,3336,2,5000
#RRQULU2G,676767,inviteOnly,2639,1,4000
#GLRLVCRV,67nistii,open,63976,23,3000
#G99QY0U9,7C KINGS,inviteOnly,15894,8,0
#LL0VPJPC,7C la misto,open,90102,34,8500
#GLPC9YG9,8 B regii,open,94433,50,7000
#QLQVPU29,8A MAFIA,open,87802,42,5500
#RVJC89PV,8C,inviteOnly,26687,9,0
#QCLQPYGR,9 ani de clash,open,93585,50,5000
#G2UR2JQ0,90 pă luncă,inviteOnly,95734,47,8000
#8PY8CCL0,90's CREW ROCKS,open,98107,50,8500
#GJGV8RJ0,9B Suceava,inviteOnly,20399,6,0
#LLRVY2JY,9B7,open,97998,50,8500
#RCQ2VUP2,9e,inviteOnly,41985,11,4300
#G2UYJR00,9Fraieri,open,91060,42,8000
#QP0V9QPP,9m,open,85064,50,2000
#RJ98UUC9,9W DIVISION,closed,96897,46,8000
#QLQCU9LL,9W REVENGERS,open,100000,50,10000
#G20GGQP9,9W VENDETTA,open,98797,50,9000
#G8RLQPY0,::::ROMANIA::::,open,99960,50,10000
#G28UQU29,:P,open,85218,45,8500
#QQL80GG9,<3,inviteOnly,8722,2,0
#8JU9Y0YQ,<@RoMania@>,open,97953,48,8500
#PLP98UPP,<PRO_Romania™>,open,97902,50,7000
#L2CQQCL9,_joacă la War,open,92229,43,8500
#8GQ89PRC,_TheLegends_,open,98180,50,8000
#GYVYLR28,A Â,open,91732,50,6000
#GRJY2YPY,A.I.A Gang,open,48434,13,5000
#YVY88Q09,A.S.A.P,open,99150,49,10000
#Q2PQG9Q2,AB Titans,open,100000,50,10000
#R029JPLC,AB TITANS,open,90232,50,6500
#G0JC0L08,abcd,inviteOnly,28223,9,0
#2Y092RC,Above the Law,open,99678,50,10000
#988VUUVP,ACAB,open,96837,50,7000
#GJYLUG8C,Academia Berii,open,55000,12,5000
#RC0RGCC,AcAdemia cu Ași,open,99696,50,10000
#G8UUR9CQ,Academia PCR,open,91931,50,3300
#P0Q80PVQ,ACADEMIA ROMÂNĂ,open,98450,45,10000
#QY8992J8,Academia Royala,open,98951,50,9500
#QVCUYG9J,AcademiaRO,open,88358,49,6000
#G2LPJ,Academy,open,87608,34,7000
#G2C9GG9V,Academy PM,open,96415,47,8000
#GPQUPRRP,Academy Română,open,99100,47,10000
#QU0QV8Y9,Acarici,open,99058,47,10000
#8QLVG9L2,activ clan,open,98697,50,7000
#RJ99RQJY,adadadadaddad,open,5410,3,600
#G92C90JJ,Adi de la Vâlce,open,7192,5,0
#2UY8Q00G,Ady's Clan,open,98497,48,8500
#2CVRQY0J,Aeronauts_[RO],open,94793,50,8000
#L9GCVPPG,Aeroport,open,99822,50,9000
#G9PYPC92,AFeTe,open,70395,24,5000
#L809VJRG,Affective,open,90848,34,9000
#LG0LV2RQ,Agb RoKings,open,100000,50,10000
#90ULG9C9,agenti 007,open,29202,8,4000
#QY8JYYCC,"Ahoy, Romania !",open,85480,50,5000
#G0GLQQYG,Ai mai buni :),open,99241,48,10000
#G80GRQPQ,Airbus,open,76748,35,3000
#YV0Q99QG,Ajan Gunitzu-RO,open,96912,48,9000
#R0U8CJG0,Ajax-Ceair 04,open,39371,23,600
#GYRJQG9J,AK47 Power 2,open,86387,50,7000
#LRULJ9JG,akaRo,open,69562,44,4000
#8P2Y028R,Aktiv Romania,open,97521,42,9000
#82YVCCL,Alba Iulia,open,99882,50,10000
#GYCPLUGV,Alexoteam,open,66464,22,4000
#GPUCVC2U,Alfa Black 67,open,36662,11,4000
#8YJR080L,ALIEN,open,94684,50,7000
#LY0VCP2P,AlienWarLeaders,open,97410,43,9500
#RU92922P,Alkemi,open,84975,50,5000
#GYUUJGL8,All Star Ro,open,100000,50,10000
#G8CG992Y,ALL Star TH,open,97504,50,9000
#LPCJGLRJ,ALL STARS RO,open,100000,50,10000
#9JQVVJ8G,Alliance,open,94239,49,10000
#GCYCYUC8,AllLegends Ro,open,97900,43,9500
#GYY98282,AllStar,open,99383,48,10000
#GGRL2YLR,AllStar,open,92140,50,7000
#QUCGV2LG,AllStars,open,96768,41,8500
#8JUQPJ9L,AllStarsRomania,open,98184,45,9500
#RGQLG98P,AllTrophies,open,86235,50,6000
#QQPPRUQV,Alpha Players,open,92729,50,0
#8CJG0V9R,Alpha Wolves,open,24000,8,3000
#QVPL9U8Q,AlphaSquad,open,100000,50,10000
#P08JYQVV,AlphaTeamRo,open,90315,50,4000
#Q20UCL08,Aluna J,open,96469,48,10000
#GVCU2L9C,ALUPIGUS,open,13654,9,600
#GQ00UPCV,AM,closed,7812,2,0
#GJLUCL89,AM 1 HP VERE,open,88858,50,7000
#QUPYQ9RR,Am bani multi!!,open,97020,45,9000
#QQ2Y9PQ2,AmazingPower,open,7997,2,4000
#G0GRJ0PC,ambreiaj,inviteOnly,41333,11,0
#Q8G0R822,Amicii,inviteOnly,99100,47,10000
