tag,name,type,clanScore,members,requiredTrophies
#QRCYCPGP,beans,inviteOnly,41141,16,0
#QVGJYJQ2,crna Picka,open,58453,21,0
#GQ0JQGJ8,FISHY'S BEADS,open,11454,3,0
#RLC9L9VJ,FrenkiPopaganda,inviteOnly,72771,28,0
#GVG2VVRC,graces army,open,24455,9,0
#GR22Q9CP,hotel rwanda,inviteOnly,97573,47,7500
#G88PPVUP,Jew5,inviteOnly,46141,13,0
#GQ8YJRP8,My4uTelIb,open,4550,2,0
#RRLLJQYP,садик,open,1165,1,0
#RUCRQGL0,(БпС),open,2414,5,300
#L9VRP0JQ,2 Men 1 Clan,open,64419,44,0
#RYRU2P0R,2500,inviteOnly,30449,9,0
#LJG2ULYG,_Пуш_макс._арен,open,24613,12,0
#QQC0RPCG,balls are round,open,23541,9,10000
#QQYYCG20,bbc clan,inviteOnly,54788,20,5000
#GRCJ8VPL,Bisski’s Gumbo,open,86021,37,5000
#RV9JV8C,c8 form,inviteOnly,55840,23,0
#QYRY2GPP,Curry Crusaders,open,94502,44,8000
#GVRJR9CC,gooberz,open,27303,9,0
#G2P09RPG,GZ,open,78345,31,9000
#QGG988QR,Hobgoblers,open,83230,38,10000
#QUGPLLG9,Homeless,open,44873,19,0
#PG80UJ,Kigali Goblins,open,46446,36,0
#QL98CVGP,Klaudia kret,open,52910,22,0
#YR00GGRP,Kyle's Khoc,inviteOnly,73336,35,0
#LJY0PJUY,Michael Jackson,open,5506,5,0
#L02J2UUP,pigsty,open,91447,50,300
#LY0G0929,pointless,open,77133,46,0
#9JPQLUUV,Potato Sauce,open,92762,45,8500
#QUQU9YU2,retigger,inviteOnly,66936,23,0
#LG0PU0PL,SerratosChicos,inviteOnly,70918,26,3300
#R90G89VP,Snow bunny,open,53277,29,1000
#GG9UG8RU,SRBENDE2,open,43995,27,0
#L9GQGYYY,stilman team,open,27912,7,3000
#RJJLY98R,Varga Richard,open,25735,9,0
#LRJ2Q29P,WATUTSIS,open,36357,11,0
#LR80Q29C,yo mama SO FAT,open,18514,9,0
#G9LGQC20,П8ШЛАЯ М8ЛЛИ Z,open,76666,46,2600
#RG8YLVQ0,⠀⠀⠀,open,7711,3,0
#GPV2RJRL,おあずけブラザーズ,inviteOnly,13650,3,0
#L2RYCQYR,Mugiwaraxx,open,19056,8,2600
#PYCP2G9U,Santa Lucía,open,39459,28,1000
#GPY9C9QJ,uchiwa,inviteOnly,15521,26,0
