tag,name,type,clanScore,members,requiredTrophies
#G8QVUUVJ,angel shot,open,38519,16,0
#G0QVJ9CU,BROCHACHOS,open,60352,18,5000
#RCUQ8VC9,GRCI,inviteOnly,94649,45,7000
#J2LYCGLY,groupchat 4.x,inviteOnly,12430,4,1300
#GQGRRLV0,GÁNSTER'S™ RV,open,9036,4,3000
#G80LYYVP,k-Antille,inviteOnly,10321,3,0
#GP09U2GP,NEKENS SNÖGUBBA,open,28955,8,0
#G0RY99QG,PIONEL PESSI,open,33825,7,5000
#R88Y0LJ0,Purple Darius,open,98769,50,9500
#GYQCYVR9,Soggy Goblins,inviteOnly,10027,3,300
#G0GR2220,☆ NOVA ESPORTS☆,inviteOnly,40692,10,0
#QG9CURUU,ぼくはまけないよ,open,57358,19,0
#RVLQ0PUY,67 fan club,inviteOnly,5332,6,0
#LQV8R2J0,Atlas fc,open,61159,39,0
#GJCGC82P,Babath Block,open,74102,40,0
#GPVGYPRU,Bacterios,open,50994,14,0
#QGVPQQRC,CADREGA CLAN,inviteOnly,85418,36,0
#YG0V09RQ,Clan #YG0V09RQ,inviteOnly,96231,48,600
#G2LL9CJV,Clanker clipers,open,22438,12,0
#LPQLJRRL,coureur de bois,open,73494,23,7500
#9RGP2,der oppgraderin,open,54341,26,0
#GG9Y8PUJ,Dihhdy Party,inviteOnly,53440,19,0
#G8U9VRC2,D’LOS EJIDOS,open,58139,22,3000
#GUUCYPLG,FEARNOT,open,64957,19,6000
#QU9JLV0U,florge,open,35687,13,0
#GJY02PG,GANJA FRIENDS,open,83963,37,4000
#G2P9CVPC,Lets SMASH,inviteOnly,47197,12,0
#RLP9YQJY,Los Del B,open,43465,29,0
#R2GCLQ0J,los pitufos,open,15878,9,600
#GYLQQCV2,monkeyfishdog,open,44167,32,0
#QYRQCYP8,north,open,94884,50,5000
#RG0PJRL9,penil,inviteOnly,74115,50,0
#2PCJYU9,saezland,inviteOnly,14776,10,0
#LR90LY2Q,terzo piano,inviteOnly,80332,41,0
#GPUCUU8U,TGANG,open,41183,16,0
#L902CRQU,THE KLAN,open,67515,26,0
#GLQQGU2V,White Snow,open,32572,10,0
#LQCYUCLG,Wingdingers,open,50725,38,0
#LUVLQU8C,YoungMoneyClan,inviteOnly,36974,23,10000
#G02C9VG0,Фадеев и Таймаз,closed,55717,18,10000
#LLVLULCR,クラン #LLVLULCR,inviteOnly,39774,13,0
#LV9QLPQV,サン・サルバドル島民,open,55967,19,0
#GJG22UCV,Anti-Marcoccia,open,19718,10,0
#GGUUURLG,Caribbean Clash,open,13565,7,0
#QCQJ20LL,elbruzbaba,inviteOnly,48821,20,1300
#G2URQQQQ,Fc Sbh,inviteOnly,35503,22,0
#YCGUUUQ9,xbaleia#remix%,inviteOnly,23854,15,0
