tag,name,type,clanScore,members,requiredTrophies
#LYP088Q0,DADDY,open,97835,45,10000
#GUQVUGG2,Girthinators,open,69569,26,6000
#GCV00J,Loot Crew,open,95606,50,0
#RGQ20RC2,Phantom Taxer,inviteOnly,50379,12,0
#GCUCY82P,savage kitties,open,11322,3,3000
#G9VRRUVY,讚控制而言一樣,inviteOnly,13375,4,0
#G9Q8PP2U,ALTUNLAR,inviteOnly,5443,4,0
#GUQGYUV0,Bienchen,open,21699,12,0
#QL2CLRYP,Clan #QL2CLRYP,open,49450,16,600
#RL9CC9CV,Clan #RL9CC9CV,open,64217,32,0
#GRYVCJ89,COCDOC,inviteOnly,49710,15,0
#GY0UUYCR,evil si papi,open,8928,4,10000
#LQC89Q2P,EZZZZZZZZZZZZZZ,open,88405,48,2000
#GP9V00UG,FINCA FC,closed,42225,14,0
#G9QJP88J,gassy tsunderes,inviteOnly,59301,23,0
#GPLCU99V,GETSENDY,open,2193,3,0
#GCJYG0RC,gssid goon clan,open,15669,5,2000
#YVUJ8URQ,GymSob E-Sports,open,78768,30,4000
#RRJ8VYLR,La puissance DZ,open,38567,16,600
#G9YCRQGJ,Lck sp club,inviteOnly,91348,49,0
#GPL80J0V,MP2I Joffre,inviteOnly,76194,31,0
#GUR0CJUC,mvc.,open,21286,7,0
#Q8YQQVY0,NURFC,inviteOnly,60890,24,0
#R2092GQP,obermais1,open,57661,25,0
#G2YUCPUV,Plan à 4,inviteOnly,27220,9,600
#8RUY90Y,Ritz-Carlton,open,50426,26,2600
#GVJRGQGL,RKT OHS,inviteOnly,50639,21,0
#G90RQGCY,Special Forces,inviteOnly,11943,5,1300
#LGYRJ8GR,The Fat Dings,open,83128,40,4000
#RPJUP90R,vo baasjes,open,73701,27,0
#QV2LPG29,Yeto nerde’,inviteOnly,90617,43,0
#GUJCGR29,ziggy clan,inviteOnly,39159,13,7000
#G2LUQCQG,Ля хочу делать,open,51739,25,5000
#GLL9U0RU,⚜️ Ze Fellas ⚜️,inviteOnly,32587,13,0
#LRU2CGY9,小さな巨人,open,25353,8,0
#GR9VRQU9,桐谷と愉快な仲間たち,inviteOnly,39228,18,0
#922QC0P9,請幫我粉絲頁按讚，謝謝,inviteOnly,67491,43,3600
#QYPLU9RJ,I invite people,open,19654,10,0
#GLUVJG20,Sausage Factory,open,51696,21,0
#GC2Y9CC0,ئيلسيد عم شوبان,inviteOnly,11354,6,0
