tag,name,type,clanScore,members,requiredTrophies
#RYVLG9CG,13,inviteOnly,9212,2,1300
#LULCP09Q,Aussie Mighty,open,96917,47,9000
#RQR0L9QU,GBP,closed,80555,32,10000
#GC9J0R9U,arka sira,open,19112,5,0
#L92QJL8V,BootyRaiders,open,65679,22,3000
#G92Y80VL,Cheans,open,65103,19,0
#YU8VG0P0,Clash King,open,68694,30,0
#QG2CYYUR,Clashers 758,open,77515,35,4000
#GGQYL92R,FNB Royale,open,84866,41,8000
#GL0Q8L9,forgottenwonder,open,91105,48,1600
#RGRRGUYY,Loosa,open,18063,6,0
#J8GLQUJ,Lucian Empire,inviteOnly,84722,36,5000
#G2GP9GPC,Moysey towers,open,42466,13,0
#GYU8VQRC,Niupi,open,42449,18,0
#L899UYQU,PeppaPig,open,13060,6,0
#LU8Q9L2U,pistinita,closed,13952,5,0
#LUL8GGVC,Saint Lucia,inviteOnly,52105,16,0
#QUCGYLP2,SMC BATERS,inviteOnly,44487,21,0
#GLGCQJYQ,smd_mugiwara,open,54007,22,3000
#GPV8228Y,St.lucia on top,open,5093,2,0
#LYUG8U8L,Wilson,open,65822,49,0
#RYPQ2QQY,Клан:  #RYPQ2QQY,open,55061,28,2600
#G0LL0Q0C,•546•,open,50684,21,1000
#Q99YQV08,エリゴレマスター〆61,inviteOnly,69111,38,6300
#R8VUCVP8,기!,open,45002,17,0
#Q09GY2P0,beffendebever,open,38565,10,2000
#Q22PRL9G,LMNTS,open,25528,10,300
#L2Q0GCGJ,the homies,inviteOnly,58603,25,3300
