tag,name,type,clanScore,members,requiredTrophies
#PYLY8Q,!!الحجاز!!,inviteOnly,98252,46,9500
#LP2Q82RG,!-!-!,open,100000,50,10000
#R02CQV2C,!KSA!,open,91939,50,8000
#9UL02QPV,""" Black mask “",inviteOnly,99951,50,10000
#LPYCLGCP,"""""...""""",open,98849,50,8000
#LJLPGJ2,""".The End.""",open,99880,50,10000
#R2QYLRVY,"""KSA LEGENDS”",open,14585,6,2300
#QU9G89UL,"""The end""",open,98505,50,8500
#JG9UL9J,# إتحاد _ العرب,inviteOnly,99700,49,10000
#Q2UUUYCU,#0 no mercy,open,99844,50,9500
#CJYYQ2,#1,open,96332,47,10000
#RGVQ2G02,#freexodri,open,49197,14,0
#VGL9GYL,#revengers~,open,99464,50,9000
#PG922C,#SaudiArabia,open,99959,50,10000
#GQJC09,#Swwag~,inviteOnly,97884,48,8000
#9JQQULQU,#اساطير_رويال,open,99724,50,9000
#G09CLG2,( بسم الله ),open,95986,50,6000
#G2QJJY8V,(:,open,80522,50,4000
#88UGPVVQ,(Wp) Clash,open,87759,50,6000
#VL8VJRG,(اساطير رويال),inviteOnly,99661,49,10000
#2YPQLCY,(خلصانه بشياكه),open,99164,48,9500
#2VV90GP,*FURY*,open,99415,50,9000
#QPQ8JLJ0,- وحوش كلاش -,open,99927,50,9000
#YVCC9UVR,....,closed,11171,6,1300
#GLYGJC2Y,..z..,inviteOnly,11953,4,5000
#QVCUCCCR,// عشتاار //,open,94851,48,7500
#QG2C0R20,1-1-1,open,99447,50,9000
#G9RCCQCG,115,open,99895,50,10000
#GV2U9RPV,17:31,open,90723,50,5500
#QQ008VGY,187,open,99522,50,10000
#LP9URJRP,1SA,open,86612,38,7500
#GGPLRPVR,1v100,open,96704,50,8000
#GY8GQGLC,2do A,inviteOnly,12238,4,0
#RRPUQ8CC,3/B,inviteOnly,30202,10,0
#G2LR89PP,303,open,28443,8,2000
#QCCQGQJV,305,open,91742,41,8000
#8GGRR090,33xx,open,99902,50,9500
#G2YGYJUP,3beed,open,79581,34,5500
#G8LYURQU,3omr,open,3750,3,0
#QLG9UQ08,3RAB,open,97995,50,8000
#RPCR2PUC,3RB,open,99299,50,9000
#LVRCVQCG,3RB,open,99144,50,8000
#89LCQYGC,3RB KSA,open,99836,50,10000
#QYU8JULV,3RBX,open,79631,50,4000
#G2GQLCC2,3RIKAH,closed,12981,4,0
#L2JLQRVY,3TB,closed,99406,50,8000
#9PCUGG8,3wam,open,99878,50,10000
#GC2JVRCL,3z,open,17812,4,6000
#JULP8G,4Ever,open,97127,50,6500
#L8RQRGJU,4ever,open,94897,50,6500
#RYPCJ8J2,4eveR,open,90873,44,5000
#QV89PGYV,"5,0",open,90656,50,6000
#QULRG9UQ,503,open,96016,50,7000
#GCQ8RQY0,506,open,3305,4,3000
#LL0URVQP,507,open,96425,50,6500
#9UGUPC0,56R,open,46705,14,6000
#GYGRRQGG,5ber,inviteOnly,89572,38,6500
#GYQ8VLCP,5leha 3la allh,inviteOnly,6116,2,0
#J920CR8,6NzZ,open,98257,50,9000
#GYU2J2L2,6RM,open,98025,50,8000
#GYJPVVRR,7/3,open,16342,7,1000
#QUVURR2L,707,closed,50674,14,0
#L2V9R8PP,77,open,96796,50,6000
#G99CVGRC,77 sh,open,67888,50,3600
#9RJR0QQ,777Squad,open,92599,50,5000
#G2YRUYQL,7auuuh,inviteOnly,27162,7,0
#R2VQJPYV,7kaka gang,inviteOnly,6242,3,0
#RRQQLRCU,7nateesh,inviteOnly,14157,4,0
#28VCYGP,7rf,open,99881,50,10000
#GPL2CPVG,7RF_E,inviteOnly,11518,3,0
#G0YCCQV0,7SA,inviteOnly,55902,18,9000
#LUUUYYQ2,7sn 7,open,82554,50,6000
#QJ9GGG0G,7zm,inviteOnly,99700,49,10000
#GQR2VRP2,7َٰٓ0َٓ7َ,open,57654,16,6000
#9CC89CGU,8d4M,closed,92855,43,10000
#GLR2VG9R,8Monsters,open,93314,49,8000
#QUYUJ0LQ,8rd land,open,98936,50,9000
#Y9YLR9LR,90,open,95848,50,8500
#LCJ92RV2,911,open,99408,50,8000
#J02UQ0RG,999mm9a9o9,open,5049,5,0
#GY8CUGC0,9ya7,open,23476,10,0
#G8VGVPYV,:),inviteOnly,34997,8,0
#GPC2GC9U,<={cute boys}=>,inviteOnly,26048,10,2300
#RP0YCYCL,_X_,inviteOnly,56641,17,9000
#RU2Y2QQL,A A S,open,14555,5,3000
#LYJ0Q00Y,A relatives..,open,99796,50,9500
#YPU0RGGV,A!,open,95487,39,10000
#G9U0GJG9,A.,open,82969,32,5500
#9U8L8Y8Q,A.H.A,open,94116,50,7000
#QR8GQ29U,A2-R7,open,98572,50,9000
#RG8L9YJ8,A5,open,49744,14,7000
#YVRVLVYG,A7BK,open,90608,41,7000
#GYQVY8VQ,AA/25,open,6884,3,2000
#Y8C9PVGL,Aa912,open,71215,21,5000
#GQ0VLYQ8,Ab35,inviteOnly,4763,3,0
#GVC9V9QG,Abbas,open,17057,11,0
#GU2U2QQQ,Abdalah,inviteOnly,1686,3,300
#Q909PUR9,Abo Majed .,closed,9681,3,10000
#GPGCLLRV,Abo1Khlaid,open,40381,9,10000
#8GVP990V,ABONA,open,93757,50,7000
#R28GR9LJ,Affliction's,inviteOnly,18540,5,0
#GPU9LLGY,Ah ah ah,open,40860,17,0
#LUPUQCQP,ahhh,inviteOnly,4489,3,0
#YVQ22Q,akom,open,97930,49,8000
#QY8UUG82,Al 7akmi,open,97563,50,7500
#J2J0UGG0,Al Swaml,inviteOnly,4821,2,0
#JGYJ8J8,Al Z3EEM,open,99374,49,9000
#GYG2V0LL,Al Zo6,inviteOnly,16812,5,0
#G9VRJYLL,Al-baha,inviteOnly,16128,6,0
#J08892Q2,AL-BAHUMID,inviteOnly,5366,6,0
#GJUPUG8L,Al-Baik,open,90196,50,8500
#R8GU9JJQ,AL-MOSSAR,open,8897,2,0
#YYJQYC2L,AL-QADE HUOS,open,98740,50,8000
#QRP0G8GR,Al-Qassim,open,84945,50,5500
#R8U9VV9U,al7baib,closed,64803,24,300
#GLPJLV99,Al86na6f,inviteOnly,9642,4,0
#QLRLCCG9,ALA7SA✨.,open,95720,50,7000
#G9UVRYCU,AlamedaGang,inviteOnly,41557,17,0
#LLLPJQ8,ALDOB.NET,open,98825,50,8000
#R2Y99L28,Alf7ol,open,5340,2,3000
#GYYPCP9R,alfrahan gang,open,1830,2,0
#GYRJ9LRL,Alfredo,open,3656,4,0
#GGJ992L9,ALG,open,99501,50,8500
#RL8JRRG8,AlGoshin,inviteOnly,44461,15,0
#L2PJJVCV,Allahuakbar,open,94362,43,8000
#90Y8QY8V,Alnarjesyah,open,98932,50,8000
#QY98UR8L,Alpha Noobs,open,90005,47,5000
#GLYCUR09,alphas unite,open,6283,2,4000
#RJRG892L,Alrayan,open,14845,7,0
#GR9L08Q9,Alre7ili,inviteOnly,41158,14,0
#RUPQ2V22,ALROOMI,open,46002,22,0
#28J8LGVP,Apatchi,open,97046,49,7500
#R2QCY8GU,apo12,open,93197,48,6000
#LY002JRG,ar7bo,open,17236,10,0
#R2J00Q,ARAB,open,99804,50,8500
#QP8YP0JP,ARAB,open,98147,47,9000
#YUUUVLQ9,ARAB,open,97217,43,9000
#YCGJ8J0C,Arab,open,96525,50,7500
#2P89Y9Y,arab,open,95255,50,6000
#YGPL0CY0,ARab,open,93032,50,6500
#8GUP8V,ArAB BOSSES,open,99945,50,10000
#PPGQURPG,Arab Fighters,open,99763,50,10000
#QG9RPPGQ,ARAB FIGHTERS,open,94072,50,7000
#2QG02LRP,ARAB FORCES,open,98724,50,8000
#290CYQ80,Arab Harmony™,open,99791,50,9500
#9VYP90UY,Arab Hawks,open,96214,50,8000
#LV2LUUVR,ARAB KING'S,open,99830,50,9500
#PCRJQCLC,ARAB KINGS,open,99692,50,10000
#2RJGCV92,Arab knights,open,99992,50,10000
#2LG22GY2,Arab leaders,open,99801,50,9000
#Q0J0CY0Y,Arab leaders ②,open,94357,50,8000
#Q8Q2VGQP,Arab Legends,open,99944,50,10000
#2UVL0CGG,Arab legends !,open,96087,50,0
#J2G9L98L,Arab Legends♕,open,18812,8,0
#Y0QV8YQG,Arab No War,open,99731,50,8000
#P2LL8PUQ,Arab riSt✨❤️.,inviteOnly,98198,49,10000
#R2QLLCL,Arab Royal,open,99900,50,10000
#GQ9GLUVG,Arab Royal,open,96961,44,9000
#LYL80YUY,Arab Shield,open,93794,50,7000
#2LRRQY,Arab united,inviteOnly,99892,50,10000
#GUGJUUVG,Arab Unity,open,99676,49,10000
#QRJ292JC,ARAB VIP,open,83335,48,4000
#JJUJQ8,arab war,open,97734,50,8000
#QRC8Q0Y,Arab Warriors,open,99538,50,9000
#L9C2C0UU,arab*,open,95011,40,9000
#QJCYPG8U,Arab_campion,open,99700,49,10000
#R2JRPRYR,ArabHeroX,open,73875,35,3000
#RV0V2UUU,Arabia,open,5480,2,0
#2L8PC0PJ,Arabian Heroes,open,93470,50,4000
#LJQULPQ2,Arabic warriors,open,95689,50,6500
#8890P2PC,ARABS,open,99917,50,10000
#QRQLQPU2,Arabs,open,96877,44,9500
#20YRLVG8,Arabs Attack,open,98978,50,9000
#Q9CG0PC,Arabs Royale,open,98461,50,7500
#PU2VJJ0,Arabs Royales,open,99609,50,8500
#QUQ82822,Arabs Warriors,open,98482,45,10000
#LVR9JC2L,ARAB’S GLORY,open,99784,50,9000
#GYG9Q888,ARK,open,97677,49,9000
#YUP8RYVC,Army,open,93070,50,5500
#GCJJCP0U,arra11,closed,3920,2,0
#8LGULCQ,AS ONE,open,98535,50,8000
#GPUCLYVQ,Asd,open,1799,3,300
#GUJP8CY9,Ashen_ones,open,38683,13,3000
#QJJ0CYCR,ASM,open,95587,50,7500
#LR8LUQCJ,ASSD,open,99571,50,10000
#QC28PCRL,Atoto,inviteOnly,97749,48,9500
#9CYY8VVU,Audi.KSA,open,98517,49,9000
#G2U0VCRY,AURA,open,87919,50,5000
#RJ99YQQG,aura,inviteOnly,11550,4,0
#GRCQJ0C8,AWAKE and ALIVE,inviteOnly,75166,28,0
#Q09U9CUG,azo,open,94340,50,7000
#G09GURQ0,A—B—C,open,99342,50,7500
#L0Q090VJ,Ba3o9,open,96906,50,7500
#LP9CV9PL,BABLUS بابلوس,open,98257,50,8000
#PG2RRUJ,Bank group,open,92800,50,5500
#GUVLQVQ9,Barang ha,open,10017,4,0
#GLQ9QG8Q,Barbarossa,open,71106,22,3000
#RVGR28CY,basil_0777,open,1249,2,1000
#Y9YVU08L,bawd,open,96638,50,8000
#G0G2YGPP,BB,open,89643,50,7000
#G8GR0LLL,berserker,inviteOnly,41971,21,2000
#RYLJVLJV,Best,open,76116,29,6000
#YP0L0CUU,Best friend,open,95050,50,5500
#G8V8YVJP,Best friends,open,99460,50,0
#QP2GL28Q,Better cal saul,open,99464,49,10000
#QVVG2CY9,BeZk Familia,open,88808,50,7000
#GGU28RY2,BH-kingdom,open,96732,50,7000
#YJJ22800,Big Island,open,86338,50,600
#L92L2YRL,bijw,inviteOnly,74899,32,8000
#PRYLL20,Birds Battle,open,93758,40,7500
#90Q0C82J,Birds Battle 4,open,98872,48,9000
#928PRR2U,Birds battle 5,open,91429,50,5500
#P9QVQJV0,Birds Battle 8,open,95845,50,6000
#G98VQJ2R,bismi,open,29687,8,0
#LYQU99QV,black knight,inviteOnly,12397,9,0
#GVL9G2L,BLACK LIST,open,97398,49,7000
#GYRYV0YQ,BLACK List,open,33790,9,4000
#QJ2VQYR0,Black sword,open,98115,45,9500
#RQ9J9UYC,BLATNIE,open,11081,3,0
#G98P20U8,BLOOD,open,86548,43,5000
#G2GJPRLJ,blood brothers,inviteOnly,1674,2,0
#G9YGP2VC,BloomStrike,open,47095,12,5500
#80QJ8QG,Blue Sharks,open,99376,50,10000
#Q2PRC98U,blue sky,open,84189,34,7000
#Q82ULRP0,BM,open,84087,35,7000
#QCUG988P,Bo ksa,open,98835,50,8000
#YCV2P0J9,Boom Ba☕,open,93927,37,10000
#9RQ98LY,Born Beard,open,89277,50,6000
#RRGY0P0G,Boys sa,open,79499,50,4000
#R2VJY20C,brainf9ukrs69,open,6128,4,0
#G9JG2RGC,Brdib Homies,open,91176,49,7500
#GLPJ9G8C,Break,open,13316,5,1000
#QYQU990L,Breezes Jeddah2,open,93242,47,7000
#GJ9Q9Q2U,bros,open,87511,50,5000
#G0JLVVC9,BROTHERS,open,37172,11,7000
#QQGG0YGY,BSJ,open,88607,50,5000
#R0LRRVQG,BTD,open,7694,3,3000
#GYURJ9Y8,Buenos pujs,open,17648,4,0
#QR0P22RV,Bury The Light,open,90251,50,6000
#QUGR89YJ,butterflies,closed,2040,4,0
#GRJRQGGY,C H A M P I O N,open,91319,42,10000
#GYR29L88,caca,open,5376,4,0
#RCYCG02C,Call KSA,open,82872,45,5000
#GVUVVRLP,CAMPETTHUB,open,36782,8,0
#J0PV9J20,capitães rauls,inviteOnly,29610,10,0
#G090YUJV,CEEC,inviteOnly,27634,10,0
#QYRYCRPV,Challengers,inviteOnly,97799,47,9500
#YULRPJPV,Champion,inviteOnly,99018,50,8500
#88RY9U88,CHampions1,open,91333,36,9500
#RG99G088,Chaos,open,69559,37,5000
#QVYVPJCY,chd squadd,open,97642,50,7000
#G88P8U02,Cheeto,open,95744,41,10000
#QU9U0LJV,Chill guys,open,90569,40,8000
#R8QJ90YG,chopapimonyanyo,open,94543,50,7500
#QGP880RQ,Citizens,open,97122,50,6500
#G080L9VL,Clan,open,91757,49,4600
#9YC0U8RL,Clan #9YC0U8RL,open,98220,50,8000
#GULCVQGJ,Clan #GULCVQGJ,open,99207,50,10000
#L8UV8Y8L,Clan #L8UV8Y8L,closed,79503,32,4000
#R2GUUQUP,Clan #R2GUUQUP,open,94511,48,9000
#YRJYJCCV,Clan #YRJYJCCV,open,88576,36,8000
#R0R0GV8P,CLAN AJEDREZ ♟️,open,11039,6,1300
#RCVPQ0PJ,clan alhelwee,inviteOnly,3216,2,0
#GPQ8C9JL,clan name,inviteOnly,4955,2,0
#RUU08PUY,clanasini,open,8265,4,0
#L9GCPQL2,CLAN•4X,open,95400,47,8000
#G9P80PVR,clash dasis,open,92553,45,9500
#QRLUQJU0,Clash RoYale,open,99753,50,10000
#2LG09CJV,Clash..Syria,open,95297,45,8500
#G280CVPY,CLASS OF 2026,inviteOnly,12572,4,0
#LPCPJ9VU,clor-,open,59613,22,6000
#GLQ08V29,club tranqui,open,6700,2,0
#J2290LPV,Clã dos Crias,inviteOnly,14376,4,0
