tag,name,type,clanScore,members,requiredTrophies
#GVRURL9R,Alva,open,5623,2,0
#GQJQ2VRP,assasino capici,open,89780,46,5000
#J2LY9YLV,cafajestes,open,23145,7,3600
#G2RU9QCY,CCIVS,open,18756,5,0
#G0GY99YQ,eslab siken,open,37505,10,0
#Q0GQUQ89,Fiveok,inviteOnly,18956,5,2000
#RRYU0YGG,gggggggggg,open,10476,5,0
#RJQCPVJ8,kobane genclik,inviteOnly,29213,7,5000
#GCVYQGJL,kuklos,inviteOnly,16337,6,0
#RLG0QRY0,Küfürspor,open,19151,7,0
#GL90PJG2,Los Morenos,inviteOnly,58358,18,0
#QG8V8PGG,royal,open,99651,50,9500
#GQ8RU0QC,RUM,inviteOnly,48664,12,0
#LGCYV9GY,Soul-universe,open,49614,17,3000
#L2QUYJCV,STRACT,open,94248,49,6000
#GYRC9CUP,trisoland,open,22795,5,5000
#RGVL2LJV,ñ en ñ en ñ,open,13238,8,0
#GRRVV28Q,アンチいのてぃー,open,34352,8,0
#GV99QJG2,aboubakar,inviteOnly,57690,30,2000
#PUVJPJ2,afrik'n,open,40287,26,1000
#LJ8CLUCL,Anhthuslees,open,36939,15,0
#GVPYRQPJ,artezanalle,inviteOnly,36986,11,0
#QU282GU9,ASSANE DIAO FC,open,55469,25,1600
#RG22RRLR,B16$× 6AN6,open,41250,19,0
#G0J0R9CG,Bertrange fc,open,85221,50,0
#GRGPV0PR,cachorro dip,open,12310,3,0
#GPV2YJR0,chilling,inviteOnly,31892,10,0
#QGLPY2U8,Conceito,open,41767,17,0
#LJG9Y8P0,Dark Side SN,inviteOnly,88868,33,9000
#GGY8ULQG,Die gang,open,48502,14,0
#RYP8P29P,digggggedy,open,18283,9,0
#QL02GYRJ,DONESDONESDONES,open,84380,49,0
#PRQY2VU2,E.T.A,open,87328,50,5000
#QUG8LP0L,FAMIGLIA BIO,open,46877,14,0
#QUVUJJV0,FR ET DZ 2,open,69929,26,5000
#8GUYCYRC,Galsen Legends,open,99599,50,10000
#2UPPJYVJ,ghost family,open,36230,43,0
#LGYRLGUL,GLANDS ROYALE,open,71077,48,0
#LPQJLV0C,Labužníci,open,43507,18,0
#QPY9QLRP,LaRnoKap,inviteOnly,88312,42,9000
#R22PL29R,les fashion,open,7365,4,0
#QUPYLGPU,Lobotomisateurs,inviteOnly,39781,21,1000
#LQV8YLC9,Mali puissanci,inviteOnly,89842,47,0
#YJVL8UUP,Matundi,inviteOnly,47178,18,0
#LJJLJYQU,mermoz,open,90709,40,8000
#GCRQR82R,N1GG A,open,23990,6,0
#GPCJ2G2J,r3ich sn,open,42777,13,6000
#RRQG28JY,randolph orton,inviteOnly,32944,12,0
#RQL00L2Y,RavDanAnt,inviteOnly,34737,12,5000
#G8C2029Y,selevac u ❤️,closed,54908,18,0
#209C8P0,SENEGAL CLAN,inviteOnly,92356,50,5000
#9PYGCGV0,senegal force,inviteOnly,84415,41,7500
#QVJQJJYY,slayberri,closed,52869,16,10000
#Q2PGJ0P2,SN E-Sport,inviteOnly,75057,23,7000
#QLLRY0VV,Syxgötts,open,80983,43,7500
#QVQV0JV9,The Great Lørds,open,50202,11,8000
#GC0VJU9V,timouss gang,open,27357,7,600
#RJG2RRVC,trap sn,inviteOnly,32461,14,300
#RRCQ2QYC,Öyle İşte,closed,14343,5,0
#QVGUPL20,şahintepe21,open,29916,11,0
#RQGPYV82,סיירת רוכבים,inviteOnly,47108,11,0
#QPR20UQQ,لعيبين جداً,inviteOnly,54045,18,0
#RVCCGYRU,ふぁかTを求めて三千里,inviteOnly,37094,8,0
#LLLGLGQU,AKATSUKI,open,29362,13,0
#QY898CJU,frileuse sc,open,18405,44,0
#PPYQ8LY8,GALSEN BOYS,open,32685,50,0
#9R8RY2JC,Galsen Clashers,open,32917,18,3000
#80G2J0VJ,GALSEN ELITE,open,74466,50,4000
#LVPV82QV,Los Pibardos,open,60369,38,0
#Q0R9CRVC,Loïc FC,open,8488,7,0
#G2QG99UL,munderskbaba,open,20655,8,0
#YUVQVC00,oupsland,closed,11741,9,0
#LY2RC0G9,SPORTING FC,open,48690,30,5000
