tag,name,type,clanScore,members,requiredTrophies
#98JJCJ9Y,"""SRBIJA""",open,95363,50,6500
#Q00P2J2Y,#HPL,open,88422,44,6500
#9LC0VR8V,#JUNACI#,inviteOnly,99881,50,10000
#28GY0CPU,#Nemaime (2),open,97407,49,7000
#PQV0Y0GC,#SAMO JAKOO,open,98389,49,9000
#9JV2R2GJ,#SRBIJA#2,open,97140,50,7000
#R2G9J8RC,#srbijadotokija,open,96311,50,8000
#2J9QV898,#ulazite,open,96611,50,8000
#LLJLJ8VC,$$$SRBKINGS$$$,open,92747,36,10000
#G9R02J00,***** *****,open,9632,2,0
#28PJ9UUP,*SRB*,open,97965,50,6000
#Q2JGLPVG,*VRANJE*,open,78013,32,7000
#RUVUY9U2,+381,open,92612,47,8000
#9CGUGG9Y,+Srbija+,open,99947,50,10000
#2CVYRPCL,-= SRBIJA =-,inviteOnly,90554,44,5000
#LGGC0U8V,-LUDI SRBI-,open,98800,46,10000
#98PJG8VQ,-Zvizd-,open,65207,17,6000
#GL2YLJLL,...,open,26590,7,2000
#QGGLV8YP,00:01,open,95923,46,8000
#GL9J02U0,035,open,97001,49,10000
#9YLGPL8P,100%Hetero,open,94772,50,7500
#QUVUVR92,11030,open,92236,42,7500
#GPJV9VQG,11080,inviteOnly,63465,35,4000
#9298V0,1300 kaplara,open,93085,43,7000
#GUPYCVGG,1608,open,9977,3,3300
#GC8R9UVP,18106,open,64032,18,6500
#GRJY2QVQ,192,open,95289,49,7000
#QVJG20YR,19250,open,93450,48,8000
#QURJGJCJ,1HRT,open,69663,34,4300
#GULPC0VP,1vs1,closed,4553,2,600
#G09CULRU,2.6 ciklon,open,88417,38,8000
#RP82YPP8,2/6 najjaci,open,22105,6,4000
#G9UCRQPL,2014,open,7825,4,2600
#QUJC0V9Q,217zj,open,91171,41,10000
#QU92CY88,24413,open,98039,47,9000
#QV8VU09U,29. Novembar sm,open,96599,47,9000
#QULQY0P9,2v2,inviteOnly,68110,22,0
#G2L8VR98,2v2gang,inviteOnly,18541,5,10000
#8G8U92CC,300 SPARTANACA,open,97248,50,7500
#QCUL0JYL,31230,open,96861,46,8000
#Q0UJC2UU,4 PROMILA,open,98102,50,7500
#GLGVVJVR,4/4 najači,open,4687,6,300
#GVYU0J88,4323,open,78742,35,5000
#89RCJCP9,488 familija,open,91008,50,5000
#QGY0009C,4e3,inviteOnly,43282,11,0
#Q80PPV0C,4TeCh,open,99670,49,10000
#RJ8LC2QY,5/1 masivci,open,29511,14,300
#R2UV0JQJ,5/2,inviteOnly,13615,6,0
#GLQ90G8L,5/5najj,inviteOnly,8694,4,3000
#J0J9R20P,5/7,open,9557,6,300
#80GPVPLC,50 careva,open,89491,35,8000
#PVLUGR89,50 DELIJA,open,97071,50,7000
#GJRPGL8C,50 Lucidnih,open,93948,45,9000
#2UGRV9GV,50 LUDAKA 2,open,87684,49,1600
#8YLUCCC9,50 Ludih Careva,open,97581,45,9000
#9Q0RLQCV,50 Ludih Srba,open,99259,50,9000
#GCYC8LYL,50 ludih srba,open,93336,39,8500
#QVL29UC2,50 MUSKETARA,open,95473,49,9000
#QYP9GGUC,50 Namrštenih,open,99997,50,10000
#2Q9CRJGY,50 razaraca,open,98195,50,8500
#G0C8RJ8V,50 viteza,open,83811,45,7000
#R8PJCV8U,500din,open,5761,2,4000
#G90GVYC8,67,inviteOnly,19967,10,2000
#G9GP9JP8,67 pro gang,open,20097,11,3000
#GQ0RP28G,683klan362,open,2661,3,300
#QJYR08JP,69Doktori,open,100000,50,10000
#GUVJV8Y0,77,closed,5285,2,300
#R99V9U9P,8/3 GANG,open,96202,49,6500
#GQV0RPRP,9. zmaj,inviteOnly,12896,6,0
#RJ0CUUU2,a može sprite,open,22774,9,2000
#GLL8UUQC,A.T.O.,open,93331,50,5500
#GGUJ80JP,a31,open,12605,4,6000
#QGQPRCPR,AAAAAAAAA,inviteOnly,5128,4,0
#RGP0PPP2,abaraća,inviteOnly,1715,1,0
#GLLL0JLP,Abudžaba Dabila,inviteOnly,98739,49,9000
#GRQJ9LQP,Aco Flamingo,open,96487,43,9000
#G9RQ9Y09,AcoiNikola,inviteOnly,11311,7,300
#99PLYGYJ,ADA,open,91699,49,7000
#G98JVGGP,Adam Smit,open,63114,22,4600
#G9R80U8G,Adamevidibabo,inviteOnly,18563,8,0
#QVVU9V0C,Adaševci Mahala,closed,54701,18,5000
#QUYLCJPC,aezakmi,open,93875,49,7000
#GQG80G82,AeZaKmI,open,93003,48,4600
#QV0P0YPL,Afrodizijak,open,99259,49,10000
#82R0UYR9,AJKULE,inviteOnly,93484,42,6000
#GCG2JYY9,Ajvar & Arrows,open,30805,7,6000
#G8VGVJUG,Ajvar in chains,open,95732,48,7000
#L9GY8GQC,AKATSUKI SRBIJA,open,95003,49,8000
#QCJRGUJ0,AKCZ,open,70426,29,0
#GUVY9VQ0,Akmacici,open,96687,50,8000
#YGCQCGJG,Aktivni Srbi,open,98511,50,8500
#998PQURC,Alan Ford,open,98233,50,8000
#RUQLRL2V,aleksa army,inviteOnly,40806,14,3300
#LYUGVGLU,Alergija™,open,97623,49,3000
#28VP8CCQ,AliBaba,inviteOnly,94182,39,8000
#YLGY80QV,Alkoholičari,open,93127,50,6500
#QRU29GQQ,All For One,open,98979,50,9000
#PJV2QJRY,Alliance SkillS,open,100000,50,10000
#P0GUQRGP,Alliance TitanS,open,93293,49,5000
#GPRPJL9C,Alooooo,open,93583,49,6500
#QVCV9VV0,Amstel,open,94125,50,7000
#G892PQCR,Amsterdam,open,90196,50,7500
#8GURYUL0,Anarhija I,open,99109,48,9500
#GV00989Y,Andjela i Vasa,open,24894,8,0
#GJGQLJ9C,Andrej10000,open,1970,2,2000
#QCVU0J0P,andrijaking,open,8647,2,600
#GUCQQ8R2,Anti Kiflica,open,94983,49,7500
#GU0QJUYJ,Anti Luka verse,open,80085,50,5500
#RGPQ9UQP,Antiprotivno,open,36407,11,3000
#LCG00LUJ,Antisocial™,open,100000,50,10000
#GYPRQJ0V,anty medo verse,open,11473,4,5000
#LGLCJR2L,Apollo™,open,94076,49,7000
#G89YCQL2,AR,open,7897,5,0
#QQQ9L08J,Arduino Uno,open,92240,43,7500
#RJYC2Q29,Argentina,open,56624,17,6000
#R0UG28QU,Ariljska braca,inviteOnly,94651,45,7000
#980V0G9G,atomske bracale,open,92202,49,6500
#QVP8JRJ2,Aura.,inviteOnly,98395,46,9500
#PR2PUQVQ,AVETINJE,open,99861,50,9500
#QJLGL2LU,Avramovi junaci,open,99834,50,10000
#2JUQ009Q,AXE G Elite,open,95039,50,7000
#R0YYRQ8P,B2 Clan,open,30833,7,6000
#Q02J8PJ0,Babaroga,open,99457,50,8000
#GQ0V9PYL,Babina sarma,open,2645,3,600
#QJV890LU,BABUNARIJA,open,89919,50,6000
#GYQCV9LQ,BABURICE,open,1516,1,1000
#R8YYG9GR,Bacetovo Sokace,open,98760,48,9500
#2Q9VCUL,Bacinci Serbia,open,92400,41,7000
#LRPPVCLP,Badnjari,open,84291,45,4600
#GJP2YPQJ,Badnjazi,open,68116,21,4000
#GY8L9Q8G,bakieva banda,open,11325,6,600
#Q0VGULJ0,BAKINE SARMICE,open,95931,50,8000
#2LQQ0RVQ,Baksuzi 3,open,74882,24,6000
#G2LP280R,Balata,closed,60573,21,2000
#YYJ829GR,Balavi,inviteOnly,100000,50,10000
#QC299CYL,Balavi 2,inviteOnly,99700,49,10000
#QVGQQQQJ,Balavi 3,open,99401,49,10000
#2RUCPLVJ,BALCAN ARMY,open,95841,45,7500
#G00JQGYL,Balkan,open,98131,50,9000
#YUCC2Q82,BALKAN,open,97119,50,8000
#QJ29YVGQ,BALKAN,open,97080,46,9500
#YC9RGQRC,BALKAN,open,94281,40,8500
#G22RVR8G,balkan,open,93549,49,7000
#RLRJ8VYL,Balkan,inviteOnly,85513,37,8500
#PUGCGC9J,Balkan,open,73252,49,3600
#L9PUYRV9,BALKAN ALKOS,open,99772,50,9500
#QQPLPR98,BALKAN ALKOS #2,open,71138,37,6000
#PLJRCVRG,Balkan Alliance,open,99378,48,10000
#QC8UUL0C,Balkan Bet,open,99691,49,10000
#QUGQR9YJ,Balkan Chill,open,93848,40,8500
#QUR8ULYQ,Balkan Daddys,open,78326,28,7500
#QC220R80,Balkan Devils,open,45098,10,6000
#QU298YLU,Balkan Dream,open,99700,49,10000
#28290R2L,Balkan EXTREME,open,100000,50,10000
#QQYGUJUG,Balkan family,open,98440,47,9500
#2RJPLLLQ,Balkan Family,open,94862,50,7000
#LPC0VP0U,Balkan King's,open,94490,50,6500
#L0LPL8VY,Balkan Kings,open,89900,49,5000
#YRPLPRVQ,Balkan Knights,open,99057,50,8500
#89PCP2C0,Balkan Ninjas,open,99763,50,9500
#U80JU2Y,Balkan Power,open,93549,50,6000
#8G99LP,Balkan Riders,open,96947,50,7000
#LRVL9QJJ,Balkan Royale,open,97641,50,8000
#L00R88GG,Balkan school,open,94976,50,6000
#9LGJQVGQ,Balkan Squad,open,99809,50,10000
#RPCPJQYP,Balkan Squad,open,95956,49,8000
#G0Y22R88,Balkan States,open,98233,50,8000
#2Q8LQL0Y,Balkan United,open,91302,50,5000
#QVRRRRRV,Balkan Warriors,open,99534,50,10000
#R8L9YCVR,Balkan Warriors,open,98861,50,8000
#GPY2982Y,Balkan Warriors,open,97900,43,10000
#LU89PYGR,Balkan-warriors,open,99422,50,9000
#GJ0RU2UP,Balkan2.0,open,82704,50,3600
#QUR00L2G,Balkan_CR,open,99184,48,10000
#RLJ9YGR9,Balkan_cr2,open,90533,46,6000
#RL9920UL,Balkan_cr3,open,76639,45,6000
#Q9U9JYPQ,BalkanArmy,open,99775,50,10000
#RJ80QUP0,BalkanBet,open,96858,49,9000
#RR8PCVJY,Balkanci,open,90293,46,8000
#YCGLUUCL,Balkanci,open,86256,49,5000
#YQ8UJCVV,BalkanEmpire™️,open,84479,50,5000
#L80200GJ,BALKANSKA BRACA,open,93046,41,8000
#QURRLPVP,Balkanska Garda,open,96926,49,9000
#22JQRPJJ,Balkanska Krv,open,98390,50,7000
#QVLVGULY,Balkanskaarmija,open,95701,50,8500
#P2Y8800P,BALKANSKAARMIJA,open,81061,27,8000
#G8GGYQ2V,BALKANSKE UBICE,open,98612,50,9000
#L9GL8YC8,Balkanski Crnci,open,98509,50,10000
#QJRUPVJV,BalkanSkillZ,inviteOnly,99700,49,10000
#G9YRRLQG,BalkanskiTitani,open,97636,50,7000
#Y9J8CR8C,BalkanskiZmaj,open,97650,43,9500
#QG289UY8,BalkanX,open,96221,50,8000
#LP9J90CJ,Bambi SRB,open,87622,33,9000
#RJVJCLUY,Banat Bagljas,open,78937,49,4000
#G0GGGQG9,banda perutmena,open,90259,49,5000
#R0LQYU8V,Banda Šid,open,1199,1,1000
#GR0VQCJC,Banderaši,open,43800,12,2000
#G9RV88VQ,BANE,open,97484,47,9000
#G8Y2VCYR,Banjica,open,27677,10,2000
#8PJUYQJ9,Banovo Brdo,open,95148,50,6000
#QQ8CYPVP,BARBARIANI,open,85825,44,6000
#GLLJVPY8,bataja,open,2747,3,1000
#G0L89Q9J,Batajnica,open,7515,3,1000
#R82VCQ9R,Batajnicani,open,5254,2,5000
#VV289V8,Bataljon,open,94243,50,6500
#GPUURU9J,Batinasi,open,93919,48,8000
#GLY89R20,BATINAŠi,open,93437,49,8000
#R892PGRQ,Baške,open,97715,50,9000
#GRG2G8RG,BBR,open,90024,43,6500
#GYVUYV9L,BE11A,open,90997,47,6000
#RPCC8JY0,Becej geto,open,93248,46,8000
#GJQQ8UQU,BeeGeePrti,open,35387,8,6500
#LVJUQPYQ,BEJTULE,open,86193,47,9000
#QLYR2UPV,Bela Ladja,open,98672,46,9500
#QVQULYPG,Bela Ruka,open,89380,48,0
#R0CY0QLJ,Beli Cerak,open,67088,46,4000
#GYYQQCUR,beli medvedi,open,6781,4,0
#LUQC2GR0,BELI VEŠ NA 90,open,90397,50,5000
#RJ8P0RY9,BeloGuzani,open,79614,33,7000
#G82U9PVP,BELOŠEVAC,open,44544,14,6000
#G0RQ0URR,bem ti mater,open,10437,3,3000
#JVL0R00,BEOGRAD,open,94998,50,7000
#22CYCQ9V,BEOGRAD,open,94493,41,9000
#8292Y0CQ,Beograd,inviteOnly,84803,32,7500
#LGRRYP0L,BEOGRAD +18,open,97994,50,8000
#Q2CU2LJV,Beograd 18+,open,76140,50,0
#98PJRLU,BEOGRAD BRE 007,open,86299,49,5000
#LGQVQRPV,Beograd Srbija,open,96502,50,7000
#UL2RJ0,BEOGRAD SRBIJA2,open,99490,50,9000
#QCGLPC2R,Besni pilici,open,89285,37,7000
#Y9YGC2PV,Best klan,open,98967,48,9000
#Y0LJ08PC,BestKillers,open,99495,50,8000
#L0CCY8JC,Bettyno sokace,inviteOnly,99905,50,10000
#9CLCRVJ8,Bez kretena,open,98261,47,10000
#QURR0LGG,BEZANIJSKA KOSA,open,98282,48,8500
#9J8GP8Q8,Bezimeni,open,78899,47,7000
#GCU2V8R,BGD 011,open,98207,50,8000
#R2PLQC0U,big boom,open,3809,2,2000
#Y0UPJJ28,BIG SERBIA,open,95872,42,8500
#R89QCYQL,bisal,closed,25437,6,1000
#G9VCV9U8,BIZNIS CENTAR,open,93398,49,9000
#GG0UQJUY,Biznis Mafija,open,37385,16,2000
#YVRV0C9V,BJandTS clan,open,88763,50,4000
#Q9VR8C2G,BKVLegende,open,92333,50,7000
#G0RLVYU9,Black Ruby,open,72486,50,3000
#GYP0PGPG,BLACKWOLVES,open,22255,5,0
#GCYG0PG9,Blato blato,open,86560,49,5000
#Q0Y2R9QG,blinda,open,96233,47,7000
#RG9YR0Y9,Blok1Blok38,open,96164,48,8000
#G88J0U02,Blok70,open,86152,41,6000
#RRLV8JYY,Blue Lion,inviteOnly,9873,3,0
#RQQJYC8J,BN-Clan,open,88350,50,6500
#GPYR2PLC,BnBoys25,inviteOnly,15478,4,0
#RRJC9GV0,Boah oh woah,inviteOnly,5541,3,0
#8LL029PY,BOGATASI,open,98765,50,7500
#GY8LGCR0,boisovi350,open,9799,3,6000
#GU2PRVCY,bojenepa,closed,15149,6,0
#R2CG9P0C,braca bambalici,open,2874,5,0
#LU9C29VL,BRACA BEZ GACA,open,62371,17,7000
#GCL0VL98,braca najjaca,open,2019,4,0
#8RYJQ9QV,Bracala XD,open,89943,50,4000
#QUJUC2GL,BRADONJE-SERBIA,inviteOnly,9659,2,5000
#QCJQVYG2,Brandjusi,open,90677,43,8000
#J28J8RP9,Brat Toma,open,61129,22,0
#RQ8LQL98,Brate Ludnica,open,93877,41,7500
#L0QVC8UV,Bravari,open,94611,40,8000
#QRCCU98J,Bravari,open,65687,20,4600
#RJYJUYVY,BRAZILAC I VASO,open,92518,47,9000
#R28J22RU,Braća Kizić,inviteOnly,1976,2,0
#9L9UG28C,Braća Srbi,open,84759,48,3600
#GLVQ82C8,BRDJANI,open,96972,49,8000
#QQCVV08G,brdjani,inviteOnly,95669,50,7000
#GLGVRVQL,Brdska Goveda,open,96804,48,8000
#R0GQRRY,Bresnica,open,87582,50,3000
#GV0882C2,BRICE,open,85237,42,7000
#GLPQGQGG,Britke Sablje,open,7756,2,0
#GJ0YYGJC,Brkan™,open,60325,20,4000
#P9GQ28JV,Brkati vitez 11,open,94427,39,8000
#L2YC8G8Q,Bruddas,open,96489,49,8500
#GRQYQ982,Bruno Tatica,open,81130,49,5000
#GY2PRRLJ,BRZE GUZZE,open,84205,49,2000
#GY82VQPL,buda,open,5470,3,0
#G88URUGU,Budini sinovi,open,98307,45,10000
#G2Q8LYG2,budja,open,61130,27,4000
#2VQPC090,BUDJAV LEBAC,open,99280,50,8500
#88P02Q09,BULDOZERI,open,98207,50,8500
#RG2J98GC,Buljarice,open,91277,48,7000
#QCGQPYCV,BUNUŠEVAC,inviteOnly,82582,46,6000
#YP0PLJGU,Burek sa sirom,open,95609,43,9000
#PG2G0QQV,BurekAlliance,open,98858,47,9500
#GJQ820CU,Burice,open,46954,19,1000
#G0Y82JP0,BUSHARI,open,89063,44,5000
#L89J9YY0,Buva,open,96028,45,10000
#RLU2CQLP,Bv gang,open,89147,46,4000
#GJPR9GY8,cacilend,inviteOnly,79356,34,0
#GGU2LG8C,CAFFE BOLERO,open,90248,37,8500
#GYRG8Y98,calvin clein,open,40046,17,1000
#QULJGQCP,camuge,open,53760,19,6000
#2UPJQRGU,CAR DAVID,open,95972,50,8000
#Q8P08G8Q,Car Dušan,open,91069,49,6500
#GQUJ9P02,CAR DUŠAN SILNI,open,95181,47,9000
