tag,name,type,clanScore,members,requiredTrophies
#GR809R29,cage tuffnuts,open,36823,12,3000
#QJUYPYUL,Grizzlies,inviteOnly,97765,48,10000
#GJUYCR2C,Jamaican Man,inviteOnly,94820,50,9000
#GVCP08R0,JISUSCRIST,inviteOnly,21924,7,0
#QVLCP0G8,le rugby,open,7072,3,0
#LQGLGJRQ,ROYAL GUARD,closed,12425,4,10000
#2QJU8JYJ,Silky Mitts,inviteOnly,98468,50,10000
#GJJQRY92,67 triton elite,inviteOnly,91858,46,4000
#GY2GU8LJ,Bober,open,39116,13,0
#GJPYCQCL,botezlive,inviteOnly,62590,29,0
#G2G29VCJ,butt diggers,open,55654,24,0
#QY9LY88V,cfele pl,inviteOnly,49919,19,0
#GLC8R98V,Chonk nation,open,33167,15,0
#G2J8GRYL,dunster esport,inviteOnly,54693,18,0
#GYVVUCCJ,FETOCULAR,inviteOnly,70897,26,0
#LURRRJJ8,Gex Club,open,90919,50,0
#GPRJUV00,GLODARSKI LAJF,inviteOnly,66995,22,0
#Q9LLC0PR,Harriet tubman,open,44281,12,6000
#GYGL8YYG,Ice,open,44204,19,5000
#GUCR0QJC,Inshala ça pass,open,46625,18,0
#PP8VCPGJ,Japan,open,63254,50,0
#QQQ9G8Y8,Jonah and frien,open,7168,7,0
#GC20YLL2,KAiZ,closed,31147,9,8000
#RGCL2CJ0,lasos,inviteOnly,12655,8,300
#RQRC8CGV,mother Base,open,86068,43,5000
#R8QR8P09,nwjsjsns,open,33104,9,5500
#GQR2J2GV,Officina Royale,inviteOnly,21812,6,0
#Q9PCPJ2L,Outer Heaven,open,50421,15,5000
#QUU8RYJC,Pax and Magnie,open,45879,19,0
#RYLC0VRQ,PITILLEROSLOCOS,inviteOnly,11520,3,0
#QC80P90Q,Pitsch Kush,open,51635,16,0
#QY9P8CRG,Sakura,open,33438,14,2300
#G8UCL2PC,serbiaguis,open,34141,12,1000
#P8CCJJGL,Sey Academy,open,90415,46,7500
#J2QRYC,SEYCHELLES.CLAN,open,57282,30,0
#GPJV2QQY,Sixers~,open,1796,2,300
#L020V9J9,SUGMA,open,38585,10,5000
#G9L9LJ0J,takamaka,open,95945,50,7000
#RG0JQ9VY,TheHeartPirates,open,90633,39,5500
#QU9YCQYR,TORTUGA,open,41113,12,300
#PRRQVVPY,ZHLonGz,inviteOnly,83310,35,0
#GG9V980P,Гремлины,open,25121,12,0
#G0YPPGQ0,ивановскиебоссы,inviteOnly,29102,9,1300
#GLVCV2GL,쉐한부,open,10820,3,300
#G98VGLQ0,huevonesFC,open,12712,7,0
#G9LGPUGG,I blackest ones,inviteOnly,41091,10,7500
#RGR0PQJL,madys milk,inviteOnly,51235,19,0
#R2CRYJ08,pubas,inviteOnly,25468,7,0
#YU909UC8,TRNDSTTR,inviteOnly,38780,16,0
