tag,name,type,clanScore,members,requiredTrophies
#2C99PRPY,! SLOVAK GANG !,open,99439,50,7500
#8CLUQ0YV,! SLOVAK GANG !,open,91500,42,6000
#9YV2VGGU,!!! S.V.K !!!,open,98284,49,8000
#R2L8RYV0,!!SLOVAKIA!!,open,11912,3,0
#P9Y9R92P,!SLOVAK ARMY 2!,open,100000,50,10000
#8UVQ0JCL,!SLOVAK ELIT!,inviteOnly,99707,50,10000
#PQJQ9R0V,!SLOVAK ELIT!,open,95425,50,5000
#YV9LQU2Y,!Slovakia!,open,90180,50,4600
#GQPQ8JLQ,#fearthebest,open,97669,50,8000
#8Y9Y09RU,#Master Squad,inviteOnly,99759,50,9000
#PLURUY,#RAVENS#,inviteOnly,93942,50,0
#J0GVCY9,#RoadToTGE,open,83759,50,2000
#2CRLLUY,#SLOVAKIA,open,84621,50,3000
#2Y80J0QV,#Slovakia Elite,inviteOnly,99906,50,10000
#L9YQQUP8,#som v dielni,open,93438,50,6000
#2VUC9LRL,#SVK Kings,open,99532,50,9000
#9U9YQUR8,#SVKPRO,open,99083,50,9500
#PJLV0GQV,#WANNABE,open,93471,50,5000
#9VYURCPU,#ČESKOSLOVENSKO,open,91738,50,8000
#GPVRP0PR,$exoši4A,inviteOnly,50812,18,0
#YGP20YYP,$lovak Clasher$,open,99758,50,10000
#GLR8VG9Q,$lovak crew,open,73933,20,10000
#L020QU2Y,$lovakia♤☆kings,open,98286,45,9500
#GVQC2929,-K R P-,open,3309,2,2600
#8PVGRC9,-slovensko-,open,94488,41,9000
#GQC2G8QY,-Slovensko-,open,90931,50,3000
#QR2GYPYV,......NAKA..sk,open,90648,40,7000
#QY0YRC8L,._.,inviteOnly,43021,12,5000
#QVGRJ99V,00NULY00,open,74117,34,5000
#QVCG22VP,04015,open,94000,47,8000
#QV8LYC8C,1.A SPSE,open,95510,50,3300
#GGQ0RL,1.coc Slovakia,inviteOnly,98597,48,9000
#RLQ0GYGY,1.SC,inviteOnly,60128,21,3000
#J09QCJJP,1011,open,25622,9,0
#RLUVVQ8J,105/6,open,89529,49,6000
#GY2RJU22,1100,inviteOnly,49241,15,0
#GV08892Q,12 Wins Surely,open,98617,50,9000
#R2822LPJ,15-16 Tesco,open,37959,14,0
#RL0UG88R,2.A Bossovia,open,95721,50,1600
#QJVLJJG2,2.B sosha,open,96058,50,8000
#G9U9VVLJ,27 pecer,open,92462,50,7000
#G2YR0JP2,2nd tower down,open,93947,50,5000
#82QQG2VR,2v2 večer,inviteOnly,98495,45,10000
#RUYLV0JC,3.C bardedžov,open,6594,3,2600
#9CYGVGGL,300 Hrmenych_SK,inviteOnly,99694,50,8500
#20L2CY9,3KY (kakačky)SK,open,89908,47,5000
#G0G8CCU2,3či15,closed,1455,2,0
#QUURUCGG,4.BA,open,37327,9,5000
#G8QC9VC9,4c,open,4583,3,0
#R2GJ9QP8,5.A,open,6558,3,2600
#GQ80RYPU,500dmgungabunga,open,7879,3,2000
#RYPG0988,600,open,96775,43,10000
#GVVQCCVR,67tuff gymcadca,open,43943,14,3000
#9VVY99P2,7 Rota,open,89874,50,6000
#RR8J8L0Y,7777,open,88373,38,7000
#G92J80LP,:D,inviteOnly,11713,4,0
#G9QC00RY,;),open,4172,2,2600
#GGVVQUUU,__Legends__9__,inviteOnly,25032,10,0
#GY290J89,_PALENKA_,open,20810,7,2000
