tag,name,type,clanScore,members,requiredTrophies
#LL00LPP9,!!TRST JE NAS!!,open,91646,50,3300
#9PCR9LV0,#monsterSLO#,open,89094,50,5000
#8C0YVU,#SLOVENIA CLAN,open,94968,50,7000
#QVP9YR9J,(ФωФ),open,87618,35,9000
#JJUYPV,-= Clannabis =-,inviteOnly,98867,47,10000
#RYCQV00Q,1.bt/sers,inviteOnly,42333,14,2000
#GQYQV8UC,1.Eb ISKRA,open,88379,49,6000
#QCRY8P80,1.NT,open,76501,46,0
#Q2992QQY,1.TA,open,96021,50,7000
#G9YQ9U98,1b wood,inviteOnly,58918,21,3000
#YJVLL298,2021 Slovenija,open,99700,50,8500
#QCY2JRL0,2v2,inviteOnly,54235,16,8000
#GQRJCR20,2v2 GOONERJI,open,95806,50,7500
#GVLL2VC9,6230,inviteOnly,96083,47,8000
#RUYPVJ0J,67 GUYS,open,3748,2,2600
#GLYQYVP2,67 pheperons,open,6721,3,600
#RJ989VLL,alfa 5,open,1103,2,600
#QR92U9CV,Aligatorji,open,98438,50,9000
#RR0PJLQJ,alkohol,open,48320,15,0
#RU2C2VQJ,antipockilizaci,open,61984,23,0
#GCUY9Q0G,B58,inviteOnly,5521,2,0
#2L88CJV8,babnce,open,94941,45,9000
#LJ9QYUU2,balkanci,open,97595,50,7000
#RL8CL2CC,Bar Trst,inviteOnly,63990,19,2000
#GP8JRV9V,bauštelarji,open,12226,6,0
#R0PULJQY,BAWLING,open,7408,2,4000
#L9VPQC9C,BEASTS,open,96961,49,4300
#G08LL9PV,Bele rože,open,87844,38,6000
#GRG89UQC,bezigrad,open,81512,50,3600
#G8UJLG2G,Bier Partei,open,96359,49,7500
#G8CL9RRJ,bigidigi clan,inviteOnly,11326,3,2600
#GJUL22Y9,Bojevniki,open,92191,44,8000
#LQ08G0L,Borci,open,86704,49,3000
#RUJ2RVG8,Boti,open,15575,5,3000
#QC22VPJ8,Božoti,open,97394,46,8500
#2RPLVP8Y,BROKENWINGS SLO,open,89986,50,1300
#GU2222V2,budala,inviteOnly,8216,2,0
#G9RPR88U,Bureki,open,18658,7,6000
#Q8C98GUU,Chillando,open,84980,35,6500
#GP8RL0GP,chipmomK,inviteOnly,58660,20,0
#GRUUVJCR,cigani,inviteOnly,41598,14,6000
#RC0VUVRR,cigani,open,28701,10,0
#RPGYYL9R,cipice,closed,6864,2,0
#G92C29V9,claas tracktors,open,22955,8,0
#GC0G2VPL,Clan #GC0G2VPL,open,99700,49,10000
#QG208RYQ,Clan #QG208RYQ,inviteOnly,76161,27,0
#2VQ0CRRG,Clannabis ll,inviteOnly,99458,50,8500
#R2GG8YCR,CLASH GC,inviteOnly,12560,4,0
#G2JL28JY,Clash Slovenia,open,97560,43,9000
#LUP9VCUC,CR Dečki,inviteOnly,97359,45,9000
#Y0JYQYJ,CR Slovenija,open,97702,50,6000
#G09GPV9R,CrispyChildren,inviteOnly,15473,6,0
#J28J82LQ,cukribel@,open,11059,4,0
#L9R9G9LP,CyroPro,open,92037,48,4600
#R229YL8P,Debeli Mroži,open,6924,2,5000
#GCG2PUP9,dejan,inviteOnly,25666,9,0
#Q98VPVQC,delavno,open,11360,5,0
#G290VGUQ,Destoyer Royale,open,11451,5,2000
#GRRUC0YV,Devičniki,inviteOnly,27351,6,6000
#L2R2YYQQ,Dečki,open,96809,50,6000
#GRQLPC2U,Diamant Esports,open,100000,50,10000
#GPQP28QP,dif,open,76428,29,0
#G2UL9J8Q,Divji Bobri,open,92506,42,7500
#YC22JRVC,dog water,open,96882,48,9500
#R2L08L2R,DOMOVINARJI,open,41532,12,3000
#G9L8J0VV,Driskica,inviteOnly,4265,2,300
#RPRJY9YU,Drva,open,16577,6,1600
#LGGRG9JG,Einstein,open,88950,50,5000
#GUP90VRY,ESMS,open,44506,16,2000
#2LR8VJL,EsportSlovenia,open,99039,50,8500
#RJ2LQJP9,Ex Clashers ✌️,open,66111,20,5000
#G92PPRQ8,fajr,open,742,1,0
#2YP90L99,Fallen knights,open,97554,45,8000
#QCU9Y2VY,FALLING KINGS,open,13444,5,3000
#QV0PGLUG,FECEG,open,46504,14,5000
#LY2GUCRJ,FENIKS,closed,4886,2,300
#RUGRPLCL,filip mocic,open,35026,15,0
#RLY9J0G8,FNX // Reborn,open,15815,4,0
#G9JLJCRV,FPP,open,19834,6,0
#GPU9LJQP,FRI,open,34316,9,0
#RYU8RPYQ,FRONI NAVIJAČI,open,95672,50,10000
#Y2PQ0YJY,FS_Clan,open,89169,48,6000
#QGCQP820,Fusion love,open,98739,47,8000
#QJP8JYGY,G.O.A.T,open,98243,48,9000
#GJYG0UJQ,GaBi,open,10583,3,0
#GLC0P2L8,Gajba,inviteOnly,52501,14,1000
#GV92UC8C,Gazde,open,71860,26,4000
#QCRC00PP,GazissRaziss,open,25053,7,0
#G9YRYPVR,gejmeri,open,31111,9,2000
#QLGJYY0C,geps piran,inviteOnly,96461,50,3000
#G0CGURGV,Gimna Ptuj,open,92143,46,9000
#G0QYQQY2,GIMŠIŠKA,open,97121,45,9500
#RJC2RJQ0,glavni na kurcu,open,21243,5,0
#G89QYUU9,GOBLINEXPRESS,open,95884,46,9000
#RC2RQUPU,Goonerji,open,37474,20,1000
#LRQ9QGYP,Gorse smrdi,open,98786,50,8500
#GQPPYJLL,hej,open,27701,12,1300
#GR89G09Y,homeboy,open,88618,37,7500
#QPLR0J9Q,HROŠČI,open,98596,50,8000
#R00JYGYV,hudinja,open,99285,48,10000
#9RP9YCV2,huliganiSLO,open,69019,18,8000
#G820URPG,HÜGØ,open,92654,42,6500
#RC9G2P09,inolinkslovenia,open,49917,16,0
#GL29J0LU,Irena polinom,open,87496,35,7000
#QP8J9V28,ivan sega,open,85920,34,9000
#RGCYJC8V,ivančna gorica,open,32698,15,4000
#RRC9CUJ8,Izlaške Žoune,open,20901,7,0
#YVYJPVGG,Izola je OTOK,open,94817,50,6500
#G9JL9YP9,JABADABDU,open,18059,7,600
#LUL800UU,Jazbeci,open,98748,48,9500
#GY08GQRL,JELINČIČ GANG,open,32340,7,5000
#8GCQL9LG,JESUS IS LIFE,open,96003,49,6500
#GPGQJGY9,Jão sem tunico,open,8227,3,0
#R8PCU2JP,Kevin i Tade,inviteOnly,20309,7,0
#QLJV8R9V,KIDNAPPERS,inviteOnly,29474,8,0
#RL9P9RY2,klan,open,25189,7,3000
#QVGRJ808,Kmečki Fanti,open,89358,49,5000
#GQ2RP8J9,Knee surgery,open,92803,50,1000
#RYC9C0UR,konjice ghetto,inviteOnly,93565,41,0
#GP999JQQ,Korotanska,open,18178,6,300
#GPPQLUJP,kurac na mostu,open,20249,5,3000
#QULVGPUU,L1E,open,82159,44,6000
#RJQ2GU0J,legends,open,88607,49,5000
#R0U099VU,lestor da moles,open,78766,36,6500
#QUQ0RLGU,lil gang,open,96550,50,8500
#28C88JLR,Lokostrelci,open,95914,44,7000
#YUVUL2GP,LOLEKE,open,99198,50,10000
#YGJ8LQ0G,loli,open,9141,2,3000
#L8V90V2R,Lopatarji,open,99987,50,10000
#GYYQRVCV,luka + mila,open,86873,38,6500
#GQUCV9JL,lulika,closed,9824,3,0
#LLU2PCV2,M Commando,inviteOnly,99700,49,10000
#YVJ9J8VU,makolski gang,open,95190,50,7000
#LVCCCJ,mala slovenija,open,100000,50,10000
#G2G2VC22,marcelbrecko,open,88210,44,7500
#GYGY88RQ,marjetice,open,4440,4,0
#G0QRP998,MDC420,open,91049,44,7000
#J29L2P8C,MEHATRONIK_BOYS,open,22645,8,2000
#R20V2Y2J,Meskuzi Kapisko,open,95051,45,8000
#GU8CVUPY,MigranteStran,open,96087,49,8000
#RPRGVQC0,minc,open,94553,41,8000
#J09J209V,mito,open,5094,2,1000
#R20RY2GY,MoeLesterji,open,29066,10,0
#QUYG92V9,Mojster Miha,inviteOnly,54902,18,7000
#R0PVQPPQ,moste,inviteOnly,24658,10,0
#GRGQV02Q,mr savage,open,12742,5,1300
#GPG28GQ0,mr. niganejc,open,33662,18,600
#LJY88VCP,Muskar clan,closed,11622,4,1000
#QLYQQJC9,mutau grd,inviteOnly,67767,25,0
#RU88CY2Y,Naggers,open,52561,23,0
#GPGJ0Q9P,NATO Team,open,99571,50,9000
#YVLYCL9V,ne aaaa,open,97293,48,8000
#GUJV29RV,nemaramo_gejov,open,17812,6,0
#G9R2QYGL,Nerf Miner 1.Ga,open,43869,18,0
#RC9PL0V9,nigrska votlina,inviteOnly,24224,9,0
#Q2L0VGU9,nižerbqllz,open,98749,46,10000
#LUJU2R00,NK-SečovljeXD,open,91132,39,8000
#QY2PPRGY,No Mercy ™,open,97092,43,9000
#RCYCGJGQ,not aleks,open,91798,49,1000
#9CQQCYGG,NOVA SLO RASTA,open,96425,45,8500
#9LC9G9Y2,Nova | Slovenia,open,97920,45,9000
#9VLGU9V8,NovaLegends,open,97419,48,8500
#GPUP0G9P,OBR KLAN,open,56522,20,0
#QL82V9CL,ODPISANI,open,94651,47,7000
#R8U2CQLQ,OJ Goat,open,87611,42,5000
#G8UUPPQY,Only Don’s,open,60943,18,0
#RL2UR8JY,opasan,open,100000,50,10000
#RUL0V2YU,optiki,open,52271,18,0
#QQJPRYRV,orazmovi,inviteOnly,5421,2,300
#R88UJUPC,P+R gheto,inviteOnly,7538,3,0
#GQ8Y2GGP,Pajdaši,inviteOnly,95209,50,0
#GLCJCJVV,Pancakes,inviteOnly,17087,6,0
#QG0L99V0,PandaBuyClan,inviteOnly,96789,48,0
#GU2RVG9U,panterss -1-B,open,31512,10,300
#GP2LU8UL,Papki na 2,open,61498,22,6500
#LJ90C8RL,PEAKY BLINDERS,open,96249,46,8000
#QU0Q9LLQ,Pezde,open,6258,2,4300
#QCG0C8Q2,Plaširkaa,open,96811,50,8000
#GR9JU00Q,pobalini,inviteOnly,15818,4,0
#G8CLP9LY,Podbablje Royal,open,31805,8,0
#G9JGUGY0,Podlbelčan,open,16481,10,0
#GQ999PLQ,PODLI FANTJE,open,98431,45,10000
#GPQU8PVQ,podli ribić,open,91134,49,2000
#298UQ0R,POKAJ,open,92697,44,5000
#QV29GVJ0,PoredniPrinci,open,95438,47,8000
#QCPGRGPC,PRIMORSKA,open,94330,43,7000
#GPRLGCJR,Princess,closed,6404,2,0
#QURVLPGV,Princi Fuzinci,open,84931,50,3000
#GR0QYQGQ,private clan,open,6276,2,600
#J2902GGQ,prodam krompir,open,30037,8,0
#GJRCJQJ2,ProTeam,open,96670,46,9500
#LCCL89CL,PTT Mafia,open,96851,50,7500
#R0LJ0CLP,pz lent,inviteOnly,15216,4,0
#QPCPGUVL,R1A,open,95961,45,9000
#G8PL8YLJ,RageQuitSquad,open,36076,10,4000
#GJQU0CL9,Rap_mafia,open,95760,45,9500
#G0VPGL2V,Resni klan,open,94921,50,7000
#GPQVVUCL,RK Kočevje,open,34442,14,0
#GJ0YCRR8,scpet warriors,inviteOnly,8002,2,0
#G988LJQQ,Sej ti pravm,open,47621,12,4300
#G9CJ2U8L,sezana najača,open,12614,9,1000
#Q0G9VV0R,SGLS Postojna,open,29512,11,2000
#GYPCRRPG,Shkiberdiff,inviteOnly,12855,5,0
#Q22PYGGY,Skill issue,open,84686,47,5000
#G082VQCR,Skill issuers,open,94113,50,7000
#G0UY08UU,sladkorni ateki,inviteOnly,58017,14,0
#Y922QV0Q,SLO,open,91047,48,3300
#9UPGQQ8C,SLO Alliance™,inviteOnly,100000,50,10000
#R8LPUG,SLO army,open,88406,48,4000
#9LLUJQ,slo clan,open,79880,49,600
#20LUPUJ,SLO CLASHERS,inviteOnly,99933,50,10000
#G8GPYGCY,slo clashers,inviteOnly,78154,32,0
#LG0C0GL9,SLO ELITA,open,99786,50,9500
#QJ22VGCC,SLO ELITA II,open,92174,50,5000
#YVJLQ2L8,SLO ELITE,open,91791,50,6000
#QPVYGYQ0,SLO EMPIRE,open,97843,50,7000
#2J0Q29U,SLO FIRE,open,97061,50,7000
#8YYG89YU,SLO horda,open,98212,50,7000
#Q2Q9J8QY,SLO KLAN,open,100000,50,10000
#QQVGYYCP,SLO LEGENDE,open,98997,48,9000
#2RQGL0LU,SLO PRO,open,96737,50,5000
#Y2PR8R08,SLO raptors,open,96182,48,8000
#2002RP9,SLO TOP,open,97757,50,8000
#L9QY0GV8,SLO Trophy,inviteOnly,100000,50,10000
#GV0VY2VR,SLO Trophy II,open,97747,45,8500
#GQUQVV8R,SLO Warriors,open,97563,49,8000
#LPCJJUGL,Slo winners,inviteOnly,99920,50,10000
#YU98VUQ9,slo world,open,90524,50,5500
#8LRRYVCL,SLO. št.1,open,86015,50,2000
#RGQY98RJ,SloGamblingPro,open,39331,11,5000
#GJJYLJC8,SloMasters,open,89427,47,5000
#GYQLGC92,Slovenci,open,1115,2,0
#R8VQJCP,slovenia,open,95252,50,5000
#GP09PQUV,Slovenia CR,open,98527,49,8000
#P9JG89QR,slovenia elite,open,97151,44,8500
#2L9L2Q8,SLOVENIA PRIDE,open,89343,50,4000
#GL2080PJ,Slovenia royal,open,38393,16,0
#GQ82VP8C,Slovenia Sigmas,open,96559,47,9500
#QCLL29YP,Slovenia team,open,99835,50,9000
#9988QUVY,SloveniaArmy,open,96541,46,10000
#C8QC90Q,SLOVENIAN ELITE,open,99267,50,10000
#LC0LRP,SLOVENIAN FIRE,open,94205,50,8000
#GJL8C8Y,Slovenija,open,99992,50,10000
#V00PJQ,Slovenija,open,97813,46,9500
#QC9J080V,slovenija,open,92922,50,5000
