tag,name,type,clanScore,members,requiredTrophies
#GYRJUUGQ,1CMIT,inviteOnly,10631,5,0
#RCYC8PLJ,ADBELHUG,open,70108,21,7000
#GUYPV8UY,Afclanistan,open,86358,33,5000
#G8QUG8RG,afk lenovo,open,23393,7,0
#G9QGYLRR,alr bro,open,22413,8,0
#GL90V0JV,amaratii.ro,open,18992,5,0
#G080GYVL,beenon1,open,5709,4,0
#GRPR2V8L,Blackbeard Crew,open,2907,2,0
#QQLRY2JR,Blue Knight's,inviteOnly,80543,29,6000
#L2JRRCJG,Bud,inviteOnly,38754,12,0
#G20YP9Y2,Cazb gang,inviteOnly,7861,2,0
#P09LY2UG,Clash Kings,open,93629,50,0
#QJ222Q00,consorzio tener,open,7728,3,3000
#RJVVL9LJ,Daqan celis,open,9533,7,0
#RJQ0VL8L,Di Naujoks,open,4881,2,0
#GY2P0L2Q,dihGang,open,9610,3,2000
#R9GJ0VLU,Double Ballon,inviteOnly,47378,12,0
#YG2UGG02,Enerqy,inviteOnly,96023,47,3000
#GCRLCYQP,Evil Gang,inviteOnly,24514,10,0
#GLJPJJVP,Is Real Destroy,open,28560,7,0
#GYVC2P22,monkey,open,60901,21,3600
#RCR9L9PJ,nagu warriors,open,6176,2,0
#RC29VYUP,nakerfoodforce,inviteOnly,14305,5,4600
#Q82QV998,ni4ueers,inviteOnly,56762,16,0
#QV2CRU89,NK tribute,closed,48719,12,1000
#QY029JQ2,nyrkki pyllyt,open,11316,10,0
#GY88CV0C,Padrino Verse,open,10076,3,5000
#LGP9V088,Pali,open,96297,48,6000
#GCU9VJUC,Philly61,open,89018,45,5000
#GP0UJCUU,PickingTeam,open,35670,11,0
#QYJ99JUR,pingees,open,95302,48,6000
#J0QQP9G8,Prime-Ates,inviteOnly,4814,2,0
#QVPQ2CPQ,RELL SEAS GOON,inviteOnly,6372,2,0
#P2JJVR,Rich Gang,open,65245,23,7000
#QPC2URYR,sanpollo,inviteOnly,14902,6,0
#GCCP8R9Q,Shab Kiet,inviteOnly,45253,14,600
#QVC88LRU,sk1mpy goblins,open,53990,22,0
#J22RVV9J,SOMALANDIA,inviteOnly,26972,7,0
#LUYC9Y0P,sugma,open,97242,48,9000
#GQ9882QC,The Dark Domain,open,8250,2,5000
#QCLG9JPL,The Hog Crankas,inviteOnly,66606,23,0
#G9UGYJ9J,The Union,open,33753,10,0
#GYGPJRRY,Ultras,inviteOnly,1377,1,300
#GLRVLC8V,URSSAF671,open,1919,2,0
#GPCLVGJJ,VetHub,inviteOnly,19268,6,0
#G98YCVLQ,YARR MATEY! ARR,open,16785,7,0
#QURCY2CQ,yellow mellow,inviteOnly,57001,29,1000
#QJY88V99,yurrghurte grad,open,87432,44,600
#RQUGLGGR,zergza,open,26954,8,0
#G89L0C9Q,いんぺりある くろうず,open,53977,15,0
#R0VJ9VRP,한상순,open,29337,8,0
#J2PQRC2C,후다모임,open,10454,3,0
#G0QCVGVG,1대대,open,39249,11,1000
#QPCYL0L2,2v2 clan,open,36250,11,300
#2LY9LU00,49th Is Kicked,open,43942,25,3000
#G28PCUU0,67tyson,open,11112,4,0
#QVJP98UP,Active,open,44945,50,0
#RGL9G0R0,Alnmouth Club,inviteOnly,71172,27,0
#RQCQJ9LR,Alohuzz,inviteOnly,73956,27,0
#QRJVYU2C,Amongers,inviteOnly,22536,11,0
#LPJ8Y0CQ,Anti Android,open,96135,50,7000
#RUUPLUQL,ANTI OZZY,open,23359,11,3000
#G8RGYC9J,aya fan club,open,23225,8,0
#R02V2JCR,b4u,inviteOnly,24559,6,0
#QCV0RY8U,Balls,open,90656,48,7000
#G0VRRQYR,Barbe Noire,open,82057,49,5000
#YRYG9,batmanciteureup,open,48400,29,1000
#Q8VPGCQL,bib Bab bobby,open,80998,42,0
#GR8ULLGL,bola8,open,60659,21,4000
#QQ9PGLJ2,boop,open,23468,6,0
#L9CGJR20,Browns vs Cards,open,36490,14,2300
#LR9QR2CJ,bug facts,inviteOnly,72743,40,1000
#RCU00GYC,BunBananas,open,82476,40,0
#GPYRURUR,che chots clan,open,84431,44,7500
#G0VJ2JUR,Clan #G0VJ2JUR,open,86083,47,0
#GGPLGRC0,Clan #GGPLGRC0,open,96023,49,10000
#L9UYC808,Clan #L9UYC808,open,65574,26,8000
#QCL9VLJR,Clan #QCL9VLJR,open,65390,41,0
