tag,name,type,clanScore,members,requiredTrophies
#QU9RJP29,#4$kin$tink,inviteOnly,63083,24,0
#2890CPJ0,#Deathsquad RSA,open,96522,50,6500
#99PQYRL9,#SA Rebels,open,96780,45,9000
#PJYYRR,#South Africa,open,95802,50,5000
#G82YC0QU,$igma,inviteOnly,49665,19,0
#GLU02VQQ,$now Leopard,open,11121,5,0
#82RCGRJJ,$u¡c¡de Squad,open,96488,44,8000
#8UCY0P02,(No name) clan,open,96637,50,8000
#29C29RG,**Delta Force**,open,99927,50,10000
#V8CQVGV,*IMMORTALS*,inviteOnly,99100,47,10000
#QQVJGU00,*The Leathels*,open,97031,50,7000
#9QVYCQY,*We Are Legend*,open,96386,50,6000
#QYLQGQRC,+1,open,88427,50,4000
#GPC8Y9R9,-14-,open,95843,49,7500
#2RRR298,-xRiseAgainstx-,open,99855,50,10000
#G8R288UG,...SA...,open,82354,38,4600
#R00VYYQY,009,open,88592,44,8000
#2VJVGLQU,10 Legendaries,open,98236,49,8500
#GYL2220C,10 rand noot,open,61621,28,2000
#Q8PRUGLR,100% Afrikaans,open,91572,50,5300
#2RJ902J,101% Afrikaans,open,98220,50,8000
#YQRPGJY0,110% Afrikaans,open,98690,50,6000
#YPQC0J0U,120% Afrikaans,open,97060,50,8000
#GC0L0R2R,16JAN,inviteOnly,45689,16,0
#Q8YRPRLL,2 Oaks 1 Dream,open,99466,49,10000
#QCJPRU88,204 nothot,open,94727,49,7000
#RJY008YY,2v2,open,771,2,0
#GYLYLGVC,2v2 Champions,closed,20736,6,10000
#J0RGRYR9,3 musketeers,inviteOnly,4030,2,2000
#G0J8R9GY,32A Battalion,open,97458,47,9000
#RV8U8UY9,3P’S,open,10217,4,0
#QCLUQCL0,5 Guys,open,91533,50,3300
#LRUYCLCR,50 kings SA,inviteOnly,100000,50,10000
#L8JY8YYJ,50 NOOBS,open,99576,50,9000
#Q9VQVC9Y,5TqEa,open,15830,4,0
#J0QGYLLJ,67,open,11395,5,1000
#YC08VJU8,69ers,open,98936,50,8500
#QCCPYYRV,[BLANK],open,66624,20,5000
#R2PYJQ0Y,A+P,inviteOnly,4379,2,0
#RRLPGCR,A-C-E Warriors,open,95121,50,5000
#Q9GP0PG,Africans at war,open,98114,50,8000
#Y0UY9PU8,AfriClash,open,87521,50,8500
#20Q0PYP,Afrika Oorlog,open,95214,45,8000
#QCPUPPVQ,Afrikaaners,open,95212,46,9000
#2QP28Q,Afrikaans,inviteOnly,99984,50,9000
#9C02988U,Afrikaans,open,99418,50,8500
#2QRURL2U,Afrikaans,open,98790,50,8500
#2VRQG90R,Afrikaans,open,98647,48,8500
#29UYLPL,Afrikaans,inviteOnly,97117,49,7000
#LYGGJ8RU,Afrikaans,open,95763,49,7500
#22CJGQ0C,AFRIKAANS,inviteOnly,92945,47,1000
#98V900RL,afrikaans,inviteOnly,91836,50,4000
#28P9L02,Afrikaans,inviteOnly,91350,49,6000
#UY9JQJ,Afrikaans,inviteOnly,87112,34,6000
#9VVY90J0,afrikaans,inviteOnly,81327,50,1000
#RRRVVVGQ,AFRIKAANS,open,16316,6,0
#VL8JYU,Afrikaans 2.0,open,89476,50,3000
#2JV8L9L,Afrikaans Altyd,open,96415,50,6500
#YURVYVYQ,Afrikaans Braai,open,83187,50,5000
#QCYJLQ98,Afrikaans Chill,open,79713,46,5000
#YPJULL8U,Afrikaans CW,open,97186,41,10000
#9C08U9V8,Afrikaans Kook,open,98004,50,8500
#220209U,Afrikaans Tops,inviteOnly,93894,45,3000
#R2V9G8,AFRIKAANS WILD,inviteOnly,72342,23,7500
#9CPG22GR,Afrikaans x,open,99720,50,9500
#QQPQQL9C,AFRIKAANS_CLAN,open,89253,50,5500
#QYQ092Y0,Afrikaanse Grap,open,83306,50,3000
#RL8J90CR,Afrikaanse kak,open,91326,50,6500
#G9JYYL0,AfrikaansKoning,open,90910,50,4300
#YVVVJ9C8,AFRIKANERMAG,open,95832,50,7000
#GLVU82PC,AgDisLekker✝️,inviteOnly,10714,4,3000
#G8GGJPVV,AKATSUKI,open,40032,15,0
#U8U202,ALCATRAZ,inviteOnly,99866,50,10000
#RUQLQ2Q2,aldeiaderato,open,54387,20,5000
#LLV8YUYP,Alexisnotgood,open,99370,50,8000
#8890RUQ,Alfa Defiance,open,99924,50,9000
#G8PCL2Y9,alkoeliste,inviteOnly,479,1,600
#G0YVP29U,Alleswatmalis,open,66680,40,3300
#RG2Q98UV,alloalloalloall,open,5390,2,0
#G080V8Q8,ANC,open,97100,47,8000
#R0L0QU92,AngelBright,closed,3969,2,0
#800YLQP,Angry Vikings,open,92716,50,4000
#8R0VPP29,ANIMALS SA!!!,open,96533,50,6000
#8PG0QJGV,ANNIHILATE,open,95522,50,5000
#GG8GPQCL,Annihilators,open,60987,20,8000
#2JCLYGY8,ANONYMOUS SA™,open,98994,50,8500
#G00JYUCJ,another clan!,open,47393,16,6000
#RVUGCRCC,Anti die boom,inviteOnly,6672,4,0
#GJLGQY02,Anwaarul Islam,inviteOnly,16228,8,0
#L88YLYQC,Aogiri Tree,closed,71878,25,5500
#QGGRU0L8,Apex SA,inviteOnly,99400,48,10000
#RGCJLJGR,Apex ZA,inviteOnly,99100,47,10000
#P8RCVUG9,Apokolips,inviteOnly,100000,50,10000
#LQGLQQRC,ApokolipsFeeder,open,88852,41,7000
#GJRCJGVY,Appels,open,18648,8,1000
#GVQY2UJ2,Archi,inviteOnly,6247,2,0
#QUVU0YJV,Arise,open,87055,50,5000
#G2R8YG80,army of darknes,inviteOnly,44732,21,0
#2CJCUQC,Assassin SA,open,99619,50,10000
#QC2UGGYC,Assassin SA,open,91774,50,6000
#L990UR8G,Aunty Nikki,closed,99100,47,10000
#RJLG8JLJ,Aura miners,open,15492,4,3000
#GJY88PCU,AuraFarmers,open,84283,47,5000
#QUJC9R2R,AWB,open,72864,33,3000
#LV8RU9UL,Axis of War,open,92009,42,7000
#G8RRVQG0,B DOGS,open,77836,50,1600
#GYP2QG28,Babalas,open,4738,5,600
#RCL9G0VG,Baballas,inviteOnly,72604,39,0
#RGJP2JYV,Babayega,open,12805,5,0
#GJJLJ2J9,baby oil,inviteOnly,8753,5,2000
#G9VQLYLG,bala boi united,inviteOnly,37725,22,0
#RGCRPC9P,Balla Boys,open,58517,19,0
#QVVJPVJL,BallasBak,open,90301,35,8000
#22PVU8P,Ballito Clasher,inviteOnly,47070,11,2600
#RYJJ8VU0,Bangi18,open,12122,4,9000
#G8JVCYY0,bants,open,30657,9,0
#RRU0JCLP,barbarian gang,open,11780,4,2000
#GL00G8YJ,BBC,open,17667,13,0
#RR2LRL8Q,bdmw,open,980,2,0
#L9UYUCGL,BE A MAN,open,83560,45,5000
#QVVQ28Q2,Bean Bag Boys,open,86493,49,4000
#LJYVL09G,Beaver's Den,open,79596,24,10000
#R2J8LJ,Beestekraal,open,91307,50,4600
#G8VQ8U2U,BelvilleNaaiers,open,63754,26,3000
#GJV9YUY9,BENNIES BRAKKE,open,92887,50,4000
#G8LRR0P9,BHS_Royale,inviteOnly,66197,36,5000
#GLU8YYRG,BibleStudies,inviteOnly,1937,3,0
#GYQ9Q0QU,Big Balla Raj,inviteOnly,9399,3,0
#RV28YY09,BIG BOYS,inviteOnly,3585,4,0
#GJ9C2UQY,Big Lads,open,82531,50,5000
#RU2GYL82,Billions Squad,open,4394,2,0
#QQ9CVVYR,Binjeers,open,97667,48,9000
#RLQU9RPG,Bioplus Is Lka,open,80464,36,9000
#QJ9PR0UV,BiTron Sparkies,inviteOnly,91117,46,5000
#GP9L2Q00,BLACKLABELS,open,50638,14,7000
#GPU2VJR9,blankebroers,open,74705,22,8500
#Q8U8LLGR,Blazing Wheels,open,96976,47,8000
#QG0QRQQ2,BLITSBOK,open,94832,48,7500
#89QJRYPJ,Bloodrush RSA,open,99559,50,9000
#RYCPVVY2,blou ballas,open,90884,37,8000
#LRRC9YL9,Blou hammer,open,87406,50,1000
#8GY2PCLP,Blue Fridge,open,98330,50,9000
#RYQ8JLQJ,BLUE LOCK,open,96945,50,10000
#QPJVUJVL,BLUE MONKEYS,open,95833,50,7000
#G8UUV29L,BobaasKopkaas,inviteOnly,9725,6,0
#8PQPPGCR,Boere Krygers,open,99109,49,10000
#8LCY99,Boere Mafia,open,89648,40,7500
#R9209LYV,Boere Oorlog,open,92603,50,9000
#LU0UJCUY,Boere pompies,open,96590,44,9000
#2GLJQUJU,Boere Sport,open,98331,50,8000
#GL9GC0RR,Boere volk,inviteOnly,26940,11,0
#L80UJPRL,Boere wors,open,83692,30,8000
#G8UC2UGY,BoerieBashers,open,83904,50,4600
#RUPYPLQ2,Boesmans,inviteOnly,10404,4,0
#QRU29VU8,Boks Om Bende,open,99483,50,9000
#GCQQ82C2,Bomb Squad,inviteOnly,7219,4,5000
#RP8J2GGV,Bomboclan,open,95243,48,8000
#QLU9CGLP,Bomboclat,inviteOnly,97440,47,10000
