tag,name,type,clanScore,members,requiredTrophies
#RCYPLCJY,alien bazar,open,93723,50,4000
#GPY0G29L,ds1618-etudiant,open,31234,9,0
#GU9ULPQ8,Fisio UAD,open,26878,8,0
#L9R88UU2,goth girl gamer,open,92786,50,0
#R0CVCG98,Kelleratzen,inviteOnly,42166,13,0
#R9GR2J0P,Koikoubebou,open,47020,18,0
#GUUU9PUY,Les Coupaings,inviteOnly,57720,25,0
#GPJY02P9,LES DENTAIGLES,open,34530,8,300
#G88GLLQY,lonely fighters,open,7613,2,1000
#QCVCQVUV,SOLVAY TEAM,open,27529,10,0
#R0JQ2CYL,Turbo Obscur,inviteOnly,13135,3,0
#RV98PUC0,vincentpoulerc,closed,5261,2,300
#GQ20J0LG,•MonkeyDPépous•,open,34745,13,0
#Q2P9VP9G,3room4nerds,open,53318,23,0
#G9VPVRJ2,3학년3반,inviteOnly,94887,50,0
#GCUGY20G,ALBOS UTEC,inviteOnly,53964,20,7000
#LPRR8G08,AVOCADO,open,94406,49,2000
#G02Y28C2,Berserkerit,inviteOnly,65246,35,7000
#GUUC2LUC,Billy Brethren,open,86307,48,0
#QQ2Y9RC0,bingleland,open,92798,47,8000
#QCY8J8UG,boule,open,43985,19,2000
#QCVR9VVC,CezarDavidSuje,open,9882,5,0
#RYL2Y0RG,cigueñita,open,55361,18,0
#L9PVV0UG,Clan #L9PVV0UG,inviteOnly,67215,33,7500
#R9CVPL0L,Clan #R9CVPL0L,open,62767,35,0
#QUY8LJ82,Corbiclan,inviteOnly,88199,48,0
#RJY8LRGU,CREMA ESPORTS,inviteOnly,46237,16,0
#GJJURRVU,CuckTown,open,57068,17,0
#QG8U8QY2,Cyberpunk,open,71050,39,0
#G80Y8Y02,Damesgroep,open,55802,18,1000
#R02JPPP0,DeafGame,open,45900,14,0
#QQC922RY,doublecompte,inviteOnly,58894,41,0
#QVCVCCRL,FC 62-14,open,85317,39,7500
#QJGRQPQ9,gargoz,inviteOnly,61241,25,0
#9URU899L,GraveDigger,inviteOnly,88269,46,0
#QVJLQYLP,gregoirisme off,open,21489,5,0
#Q9VLGYRL,Herisson,inviteOnly,59604,29,1600
#G2CUG9QG,hits like train,open,51558,23,0
#QVCRRURC,Hollow Knight,open,46402,50,1000
#GUVQ29YR,Ilias gang,open,1564,3,0
#LUL2R2RJ,INFINITY,open,41011,21,300
#GGUPVY9V,jebem zaklopacu,open,51296,31,0
#GGLP8G2Q,Katie smellz,open,44420,14,0
#GPPRLVVC,LA MONARCHIE,open,33972,10,0
#G0GQQULR,Lemon,open,43935,13,0
#GGPQ0VYU,Les Jougras,inviteOnly,59836,25,0
#QPJ0YP89,Les rejetés,open,21113,6,4000
#GR9ULRYQ,mimarsinanmsty,open,46937,28,0
#G2GGL2PL,Mugiwara,closed,30630,9,0
#RG0UPCC9,NESK AUTISTA,inviteOnly,17587,6,0
#G0V9R099,OgPlayers,open,32054,11,0
#QVLU00QU,One Star,open,74369,31,9000
#G88QJP8J,Poseidon,open,9036,5,0
#LC8PVV0V,PRIMO HERMANO,open,43012,50,0
#RRVLRU0G,Práža,inviteOnly,34069,9,0
#LV8YULRY,Richard,open,2720,3,0
#GVYG2JCU,schmoe kingdom,open,84950,45,5000
#R2ULPL0U,stgooneis,inviteOnly,19587,4,9000
#P0CJ890C,StjeanLacoste,open,86675,48,7000
#QCC0Y0RJ,tablete,inviteOnly,65667,23,3000
#Q99002GL,tanner david,open,21844,8,3000
#LUVPJ09Q,TG[ainz]M,inviteOnly,12313,3,0
#RPGV8JVC,TGh,inviteOnly,33988,12,8000
#QCUY2908,Tonton Finkeur,open,40905,20,0
#QPCQ9YCC,UnitedGamers,open,56032,36,0
#G0LU8QPJ,uwun't,open,14394,4,0
#9L8C9G,vincy heat,open,65054,50,0
#G99YJLRU,Vincy Heat,open,13793,8,0
#GQR28R99,WARTI PARTY,open,58250,23,5000
#GL8R0VLY,willy clan,inviteOnly,77298,40,0
#L8JRV282,www aaa,open,53153,20,5000
#QCGJUQ9G,ネクロマンサーと二グロパンサー,open,32911,9,2000
#QRV8Y2QU,人生はカサゴ,open,50781,14,0
#GYRUVLYJ,初心者大歓迎！,open,10432,7,0
#PVPGJJ0J,変態編隊,open,44475,12,0
#GL88VJVQ,挟んでおこうあ,open,57541,16,7500
#YJQR9VYV,神戸ksすぎワロタ,inviteOnly,36760,14,0
#QVL2LL2U,감다뒤즈,open,24858,12,0
#QC02CLPR,너그러다딕돼,open,35142,14,0
#G2UVRCCG,유성강림!!!!!!!!!!!,inviteOnly,19332,6,0
#PUJ09G08,ad astra,open,33212,43,0
#RYJRR9LJ,bowling head,open,30118,10,4600
#QV0QP8CP,Egone wrong,open,49477,22,0
#LJGUQGCC,on the top,open,28663,13,3600
#RL028L2V,Ragnar,open,36444,16,0
#G99Y9JU8,STS ELT2,open,23842,12,2300
#QRL9QY8P,upsylon,open,29496,24,0
#G92RYRGV,流れる川のように,open,56790,44,0
