tag,name,type,clanScore,members,requiredTrophies
#G2RV292J,Beach Ninjas,inviteOnly,31478,8,0
#GLU0J29V,CAP SUDAN,open,93090,42,8000
#QQYUUR99,Ko Kan Krama,inviteOnly,6621,2,0
#GY0GGUL9,Los kinagemk,open,5288,2,2000
#G9CR8QYY,Los romboos fc,closed,2451,3,0
#GGPUV0RY,LosEstropeanos,inviteOnly,23845,7,10000
#GU9LPG2U,maldemir,inviteOnly,1598,1,7000
#G8YL2R8J,nigletttz,inviteOnly,56868,15,7000
#LYP2Q2JY,Rising Flames,inviteOnly,40379,12,600
#G0YYPPQ0,schenke,open,46841,12,8000
#GPPP2PRQ,sec 2,open,13278,6,2600
#GQCRV9JU,Stone World,closed,82611,49,0
#R9C9VG,Sudan Avengers,open,99370,50,9500
#CJCJJ88,sudan legends,inviteOnly,99722,50,9000
#RVG0QJU,Sudanese Squad,inviteOnly,99694,49,9500
#LP9808VU,TRZE,open,50689,24,300
#Q02PYR0L,Al Queda,open,77691,49,0
#QPL8UULJ,balle,open,56294,38,0
#G2RYGLYY,brave knights,inviteOnly,11696,4,0
#RRVLGR0P,Brian,open,50148,18,0
#QPPUUGJ8,Castle Black,open,59946,50,0
#GRPLQJL9,chicken riderss,open,83480,46,6000
#RLVYQ0GU,Chill Guys,inviteOnly,60473,22,0
#PYQ29JVC,Clan Sudan,inviteOnly,38023,13,0
#QRCCU2JQ,D7K,open,85432,49,0
#G8JLRY89,Desorden Sucio,open,12408,5,0
#P29QR90,Diamond Backs,inviteOnly,62931,36,0
#LQY0QY99,Dominating,inviteOnly,52243,24,10000
#LU8R82RP,dragon,inviteOnly,28850,19,0
#G0RCC80P,faso,open,62252,30,3000
#L2JVQVY2,haras249,inviteOnly,60505,28,3300
#89GVJ0Q8,highly ppl,open,46375,28,0
#2880PPRL,Imortal outlowz,open,82690,50,5000
#RRJC8RUP,JORDAN 2,open,72136,39,6000
#G8QG99GQ,KappaGayma,inviteOnly,54215,19,300
#QJJCY8G0,King.,open,56533,23,0
#G28PPLLC,Kry,inviteOnly,25930,8,0
#LJ9QLLRC,legendrys,open,36574,17,0
#Q8L09J02,Los insanos,open,96328,50,3000
#QYRULGL0,Los Tonayans,open,74075,38,5500
#80UJ0CJV,MEN OF BATTLES,open,52132,18,4300
#LYPY8UYV,Mola7,inviteOnly,20059,12,7600
#PUV8GQJU,Nova I Noobs,open,28271,9,3300
#QRJVY2R9,Nova I Sudan,inviteOnly,97976,47,9000
#G0PPGC88,Que,closed,11185,4,7000
#G2J8CYP9,Randa khana,inviteOnly,86550,44,0
#RQLLY0UG,rompe totos,open,40942,14,0
#GRRVYGR8,room 7,inviteOnly,62668,28,0
#YGP98UY9,Royale Ghosts,open,45156,26,0
#LG2RRP8R,Savages,inviteOnly,43708,16,0
#QVRGCY92,sousou,open,54273,23,600
#2UQG8GLJ,SUDAN,open,98929,50,10000
#QY2GR0GQ,Sudan,open,97705,50,7000
#2JPLC80,sudan,open,83156,50,3600
#YVQLY9,sudan,inviteOnly,65728,39,0
#89GV8JQR,sudan,open,63032,49,3600
#9VLUCCU,Sudan,open,56424,50,600
#2JJ9V8LJ,SUDAN,open,42403,34,1200
#RYPCU82V,Sudan A,open,92626,46,6000
#G99CU2CJ,sudan mafia,open,11808,16,0
#GGQL28G0,Sudan Seshers,inviteOnly,95484,50,7000
#G98V0PVV,Sudanese,open,86024,50,1000
#Y9UG80YJ,Sudanese,open,79336,50,4000
#LVRLL8UL,Sudanese family,open,93436,49,5000
#Y9PPCP0V,The STAR,open,44201,39,3000
#RQY2UQRL,TK GOD,open,9818,6,0
#8PL90GR,Valenzuela City,open,24079,12,2400
#R0PJRYPJ,wajdiadris,inviteOnly,4069,3,1600
#QC00LRJ8,YUNCS LUV FRUZZ,inviteOnly,95832,49,600
#RLYGUJ02,ķlaņ,open,16482,7,300
#L9VRJJJJ,ПродамГараж,open,54291,50,0
#8JR2YU0,ابطال السودان,open,80988,50,3000
#GJC2RVRJ,ابكر,open,13996,9,0
#Y29LQ8J,الأبطال,open,53726,30,3000
#QCVQPLRU,الاباطرة,open,25360,13,0
#GP0LVYGC,الحله,inviteOnly,22393,13,0
#QU0VJPGV,الدروع SD,open,34551,22,0
#20L2PUG,السودان,open,72389,50,2400
#G8PUJV9L,ببي,open,18584,7,0
#G099P0LP,بوستات فرع كلاش,open,22225,12,0
#R89CQ20C,عيال شرفية,open,5511,4,0
#22RJU2LC,فرقة الظلام SDN,open,31337,50,0
#8LY0299,فوضه كلان,open,53979,50,0
#G20RYCP9,كلان محمد خضر,open,73191,37,5000
#QYYQRLGV,ملوك السودان,open,94575,50,2000
#LPQ8JJ0P,AntiSorel,open,54281,49,0
#YCLGGVYR,Bootleg Stever,inviteOnly,72622,43,0
#Q8UQUYVU,F_16,open,24823,17,3600
#LYL9LRPJ,JDLM,open,21698,22,0
#LLJVP8U8,number one,open,20721,49,0
#QCRYC8YG,pixels,open,34462,49,0
#LGP8R2Y,SUDAN WIZARDS,open,61398,48,600
#LC2YLJ90,sudanese,open,27042,49,0
#QYJ8ULYV,the invisibles,open,27286,11,2000
#9CRG9R,أمراء السودان,open,68150,50,1600
#G00JQU2,الجيش السوداني,open,44868,48,0
#YVVVU2C,السودان,open,47418,50,0
#YLLQQ2UJ,الصقر,open,15804,49,0
#LUUJRRUL,النوبات,open,9873,49,0
#YRUQGPCC,تحديات,open,22314,17,300
#GR89GP88,ملوك السودان,inviteOnly,49552,18,1000
#Q8J0YPVQ,工會,open,30667,12,0
