tag,name,type,clanScore,members,requiredTrophies
#GLJ9U2PP,(O.M.M.F),inviteOnly,11461,6,0
#G9CY2QYL,ANTI SU,open,99649,50,10000
#G0JQRJVC,AOD,open,54814,22,3000
#GP88UULU,baddies,inviteOnly,7876,5,0
#G2LQYYV0,FC Lelydorp,inviteOnly,24661,6,0
#QUU822RJ,GAYmers,open,98593,49,10000
#LUQ00QCU,GREEN GOLD,open,98435,50,6000
#ULGPL8,Heaven Empire,open,98410,50,8000
#GL9PR8CJ,I.M.T.14,inviteOnly,6212,2,0
#GYJUGYVC,Milipilis,open,8570,4,300
#RQ2UY892,puiu,inviteOnly,25530,6,5000
#RLLJVJYQ,TACO TUESDAY,inviteOnly,9300,4,300
#R29QCYC2,Team OffsetYoyo,inviteOnly,1871,2,0
#GR9V2URQ,the Brolympians,inviteOnly,56521,20,0
#QVCVJ9LY,VLF,inviteOnly,14651,3,6000
#QJYYLCJC,نبروه كاسل,inviteOnly,57093,19,0
#R0YQ82CY,❤️ los sábadoos,open,8756,3,0
#RRP22P2G,한국해마고,open,52592,15,0
#QYLPPLL2,aniod sit,open,28376,8,0
#2LC9UJG,Bakapasie boys,inviteOnly,83752,48,1000
#GY2G9G2V,BBB,open,35103,14,2000
#G0U0PL82,BBG,open,91323,50,6000
#L2LUVPLG,blaatje,open,78533,50,0
#Q298LVL0,Breadgang,open,42109,27,0
#GVUVVP8U,bros,open,19553,12,0
#G2V9QRY9,Brr Brr Patapim,inviteOnly,40824,15,600
#GYPJGY8J,Cellmates,inviteOnly,91280,46,5000
#UP988RU,Clan  #UP988RU,open,91771,50,5300
#G0LL29R8,Clan #G0LL29R8,open,67849,35,2000
#R9Q0PJY0,clash empire,open,73867,47,1000
#LL0C9CLP,Clash Kings,open,86473,50,5000
#RJQL9YUQ,clashaholic,inviteOnly,29693,15,5000
#GQ0J2CJY,Clown squad,open,13846,4,0
#RJ29Q02Q,Dario unete,inviteOnly,31861,11,0
#89J88,Dark Empire,open,70900,49,2600
#G2C80YYP,Dessa X Boys,open,45043,15,0
#RJ9GLGC8,DragonVerse,open,12657,6,2000
#Q99CJVYL,eema,open,35352,18,3000
#GQLQRVP2,execution,open,7276,5,1000
#L9R8RGVL,F.M.T.T.M,inviteOnly,32899,15,1000
#PCVQVLRP,FID,open,29081,15,1000
#QUQUCPUV,FRIENDS,inviteOnly,74748,35,0
#LUVLJ8RV,friet boys,inviteOnly,58978,26,300
#RU22JPR2,GHOST GUNTHERS,inviteOnly,22757,14,1000
#G29J9Q0V,goblin cult,open,39581,15,10000
#GY82QY8G,goontastic,open,28189,11,0
#QJCYL28C,habibiclan,inviteOnly,80722,47,0
#RL9RYQ22,hekerwher,inviteOnly,48106,25,0
#GJ2Q2VCL,HHS ONLY,open,32896,11,1000
#R9L8Y8G8,HSG,inviteOnly,47757,15,0
#G0992808,krabdagu bois,inviteOnly,39120,11,0
#GQYJV8JQ,Lucifer,open,62310,47,300
#PJ8VURCP,Lunar™,open,27743,12,0
#RLUGVY0Q,master axl,open,11668,6,1000
#LVRCQU00,Maxxys,open,24169,10,0
#RR9LGGJ8,mcdonalds,inviteOnly,61626,25,0
#GC0P0P22,moi123,open,6208,7,0
