tag,name,type,clanScore,members,requiredTrophies
#GYQ0LYCV,"""أسير عيونها❤",open,95287,50,6000
#YUCYJC2V,# صقور سوريا #,open,99378,48,10000
#YYC0C8PG,#1 Syria,open,96739,42,9000
#VPVR9P,#1 Syrian Clan,inviteOnly,38562,8,5000
#9PGLLJPJ,#Kings of Death,open,98485,50,7000
#GVRV8GCV,(BAI),open,14250,5,0
#YY2UVRRL,(THE SYRIA),open,96196,50,5000
#G099LCRR,(سوريا),open,96857,49,10000
#RU0C9GUC,046Jado,open,917,1,0
#QV2CU8JR,2Shiesty,open,95901,49,7000
#889YVPYR,50 kings,open,99679,49,9000
#G9Y09J2U,ABN,inviteOnly,77067,23,9500
#QVC2PVVJ,AHLU SUNNAH,open,15000,3,10000
#GLVLR2CY,ahraz,open,33565,9,1000
#GQRGQY2V,Akınal Krallığı,open,22678,9,0
#2PYV9LVL,Al Bas6a,open,79818,30,7000
#29G8VL,Aleppo,open,99479,50,9000
#J0CGJLY9,ALEPPO,inviteOnly,3726,2,1000
#G8VRJRJ8,alhayaahoms,open,25842,8,0
#J0JR8GYQ,Ali zone,open,12266,4,2000
#RR9VL9LV,American lumber,open,80451,35,3000
#P0CCRVGG,ART SYRIA,open,99623,50,9500
#GPRCU9RV,avan,open,32411,12,0
#GJ22L92R,Avengers,open,94846,47,5000
#GQY0GRYU,Balai_de_malade,open,7683,4,0
#QU9QU9JV,BK LEGENDS,open,98179,47,10000
#R0CRRQCQ,black horse,inviteOnly,37877,10,1000
#Q9V2VJLG,BLACK MASTER,inviteOnly,98070,50,9500
#R9LRJUV8,bleach,open,98174,48,8000
#G8G9RCGL,BOPPYEEEPYYY,open,44245,14,0
#9LYV98J,CHAOS DRAGONS,open,96325,50,6500
#G9CYLJQC,Clan #G9CYLJQC,inviteOnly,18214,4,0
#J20P9C2U,CLAN******,open,14187,9,0
#GYGCP0P0,clash roel,open,4777,6,0
#GPPPCRRP,Class Of 29,open,21698,10,0
#QG0VG000,cogito ergo sum,inviteOnly,33591,10,0
#G9J0PVUQ,Continue SY,inviteOnly,35097,9,4300
#LGGL08PC,D A R K,inviteOnly,99432,49,9000
#QPUGG8PY,Damar,open,99590,50,9000
#RJYG8,Damascus,open,98234,50,6000
#GLGUP29Q,Dark Knights,open,16594,5,5000
#QYV0920R,Dark War,open,97962,46,8500
#G9C8JPY0,demon slayer,open,16773,7,0
#8LP2G2GC,Die Ranzrüssel,open,98826,50,7000
#GQGY9LYQ,diegottona,open,27337,8,0
#GU82RUV0,Dragons,open,91390,50,7000
#V8C090Y,Eagles of Syria,open,99186,48,9000
#GPUVYP8Y,East storm 2,open,100000,50,10000
#LLRVRRRG,EgyClan,open,96225,47,9000
#GC8UQGVY,eir alkr,open,89270,48,5000
#QC88LPUV,EMPIRE 『TYF』,open,94659,42,7000
#P0CJG2PL,FOX,inviteOnly,4649,1,0
#GPC2RCGU,FOX SYRIA,open,67324,21,5000
#QUQVLJUY,freaky de fou,inviteOnly,36622,9,300
#GYRQRJLL,galaxy,open,25814,7,0
#GJ29UQJG,game of thrones,open,90323,46,3600
#RRC8VVLR,GAMERS AT WORK,open,59968,22,300
#GQGJYYYR,GOATS,open,93359,49,9000
#QCCVYGJV,GOLDEN,open,97557,48,8000
#R29P0YUC,GSPLASLP,open,32839,10,0
#G9PUYQ80,Heroes…Syria,open,95833,45,9000
#R9VVYP2U,Kadirli,open,7143,4,0
#GLJLRJYU,Kashmir کشمیر,inviteOnly,3925,6,0
#Q8L2R0PP,KBS,open,78459,23,9000
#PQU0GJGL,KINGS CLAN,open,79539,30,6000
#8RVG2LR,kings of syria,inviteOnly,99700,49,10000
#GUY08PPJ,Kokppp,open,81798,38,6000
#RJ9UPV00,Koruyucular,open,3445,2,5000
#QCP9LQRJ,Krokz,closed,23776,6,1000
#QRYRYJ29,L E G E N D S,open,90716,46,8000
#G8GQLJ8G,LaBomba Crew,open,65070,21,5000
#GY008PY9,lala şahin ata,open,994,2,0
#GYVG9J9R,Lions,open,97972,50,8500
#QR0V0GYJ,LIONS SYRIA,open,97907,47,10000
#899JPLCY,lords of syria,open,87751,41,4000
#GJPJ8LJ0,L’élite,open,7395,2,3000
#RV0P8GJV,MAFIA BOSS,open,21214,6,2000
#GGP0CJ0J,managel royal,inviteOnly,62153,24,1000
#GU2VR9UJ,ME PUNISHERS,inviteOnly,50000,10,10000
#QUY09CJR,mechanics engin,open,89627,39,6000
#RGCQJYJV,Mega Knight,open,93983,48,7000
#RLG8CYL0,MG CLAN,open,88647,50,5000
#9J8Q0QGJ,Midnight,open,91741,46,6500
#RU2G02RL,mmm,closed,7046,3,0
#YU0Q9LGG,Nova l syria,open,99395,50,8500
#LLLRCL9U,NOVA SYRIA,open,99071,48,9000
#GLG90RR0,Nswan,open,54834,21,2000
#G28UCYJR,One Piece,open,90875,40,8000
#GVPL880J,One piece☠️,open,1409,2,1000
#GY0Q9VP2,Pa Hora,closed,29203,8,0
#G0C0U200,Peaky blinders,open,92395,50,7500
#R8YY0RJ9,PESC DERİN,open,8996,5,600
#G99L9V8J,putty,inviteOnly,17009,4,10000
#QJ08Y99L,QLASH Homs,open,96832,49,600
#PG8LRQ2L,QLASH Syria,open,100000,50,10000
#YPPCQQ0P,Royal Cubs,open,97244,46,9000
