tag,name,type,clanScore,members,requiredTrophies
#L8UP0GUP,!HLGH! 我愛傳奇,open,99259,50,10000
#V09UY8,"""魔法霹靂燒賣""",open,96116,50,4000
#R899UL98,#CR For Fun下不理,open,98647,50,7000
#9GQG9Y2G,#CR For Fun下屠刀,open,96124,50,6000
#9V8URYC9,#CR For Fun好放滿,open,99005,50,8500
#PRYL9QU0,#CR For Fun學回家,open,98708,50,8000
#9CQP28Y2,#CR For Fun眼天下,inviteOnly,99762,50,10000
#9JG2928R,#CR For Fun開那女孩,open,99329,50,9000
#P2VYU0JU,#CR For Fun風箏,closed,97612,47,6000
#9P2GJJYL,#CR For Fun馬過來,open,99547,50,9000
#9QV8Y20L,#CR For Fun鴿子,inviteOnly,96710,50,6000
#PQ2LU9Y8,#CR For Fun黑皮,open,98829,50,8000
#292RUQG,#戀情#,open,99564,50,10000
#LP290JQU,$絕對天龍$,inviteOnly,76548,23,7500
#2CQ0VPP9,(⌒∇⌒),inviteOnly,99252,49,10000
#9PYPL898,*純金打造雄獅小隊*,open,97721,50,7000
#90890L2V,+特別作戰小組+,open,98283,50,5000
#YUP2V,-Eternity-,open,98887,50,7000
#QGGJ20,-台灣卡片交換區-,open,99477,50,10000
#2CLLVJC,-神與台灣-,open,97984,49,6000
#QR9P0Q82,.鏡花水月.,open,95246,46,10000
#CJPLLC,002愛貓愛狗愛寵物,open,97636,50,7000
#QRY8P8,0w0,open,94680,50,2300
#8020GLY,100%(夏天),open,97493,50,5000
#2QL92L2,101空降師,open,94278,50,3000
#GU980U90,1030power,open,4910,2,1600
#29C0C0Y,1042爽歪歪,open,94008,50,5000
#88UC02V,108,open,98642,50,7000
#RCJCJLV0,113研修室,open,80492,50,0
#LY98JV0Y,1229娃娃Q,open,94295,50,5000
#828RG9J8,123到台灣,open,99576,50,8000
#RJVJ09U,123到台灣,open,99170,50,8000
#9PJGPG8,12:30,open,95746,50,6000
#Q29GCRLV,15中0,inviteOnly,64617,22,0
#9VQUVG09,1688,open,99627,50,9500
#8LV0UL9,187,inviteOnly,97355,48,8500
#YYJQR09,18Days ll,open,98129,48,10000
#GL9YVRQ8,1927,inviteOnly,49150,21,0
#GCL98Q89,2.6言,inviteOnly,27249,9,1000
#YPLQ8Q8Q,2019麒麟群大戰三本柱直播區,open,93342,50,5000
#LL222LQ8,2021日出,inviteOnly,93170,43,4000
#PV0GJ8UG,2個傻瓜,open,97782,50,7000
#2QYQYGY,30CM Club,open,94480,50,4300
#YU9YR2GP,35分了 回座位,open,99853,50,9000
#9LU9YLR,3Q very much,open,98507,50,8000
#88CCL9UC,3秒拆掉你老家-分會,open,96380,50,5000
#92UV9GVQ,50 KINGS.....?,open,96898,47,6000
#GPLV2LVY,5512（3）,open,79930,46,0
#2GJ9P8YC,5566快樂部落,open,97321,50,5500
#QQ9PLL2Y,69幫,open,89142,49,7000
#P2YLLL8C,6大將軍【第三分會】,open,96548,50,7000
#PY0JC9,7-11,inviteOnly,99688,49,10000
#8PPCYRRR,72街五窗跳橋,open,97965,50,6500
#UVQUGC,774306678,open,95287,49,8000
#88YRCUJJ,87分 實在太高了,open,94768,50,3000
#2UY2LJP8,87分 就是最高了,open,96573,49,6000
#2LPQUC9P,87小隊,open,98185,50,5000
#80VQV8Q0,88-1等於你。,open,96384,50,6000
#P8LJU02Q,937軍團,open,94610,50,1000
#22QJLVJ,9453,open,99835,50,9500
#92VGR0R,9453,open,96635,50,5500
#2YCC2PYG,9612小豬,open,96362,50,4300
#GQV0PR,@台灣@九頭蛇,open,96691,50,5000
#2Y0YLURG,@皇室動物收容所@,open,95485,50,3600
#Y9R980L0,^_^是在哈囉,closed,96679,48,10000
#8LJCLPR,Abyss,open,94450,50,5000
#L0CU2R8,AceForce,inviteOnly,90823,38,10000
#VL2C9P,AD征服者,open,95503,50,4000
#2890CG2,AHQ,inviteOnly,97407,45,9500
#2VVYY9,Air Command,open,93245,50,5000
#PVYGRPLJ,Akatsuki曉,open,98859,50,10000
#LYPU9Q8G,AKA俱樂部,open,97992,50,6000
#CU9LPP0,AKT Taiwan,open,97168,50,4300
#GCVPQURL,All Inquiries,closed,10186,5,0
#2J8LPCY,All pass,inviteOnly,89919,38,10000
#PUC9CP,ALL你全部,inviteOnly,8005,2,5000
#899PGV9,AlphaDog,open,93825,50,4300
#GLLRJL,ALTEAM,open,88203,50,2000
#P2JC9QP,AM 7：59,open,91117,50,4000
#9LULP90R,Ambitions,open,98410,47,8500
#2CCG0V0,AMDer,open,91501,50,1000
#2YQQY2J,animals,open,98374,50,6000
#9VUL00RQ,AOE,inviteOnly,96425,44,8500
#QPL20G29,Aplus,inviteOnly,37821,14,0
#8GUQQG2,Apple帝國,open,98004,50,5000
#9Q28QQY,Army Of GOD,open,97957,50,7000
#88CU2C,Autumn's Attack,open,83472,34,5000
#2QVUPY22,AwesomeMilitary,open,97057,50,5000
#UJ08G,BABY!one,open,94680,50,4000
#UPLQUG,BaLaBaBaBa,open,98995,50,6500
#L2C8CYLP,BANGTAN BOMB,inviteOnly,99914,50,9000
#RQ29CCJ0,BANGTAN FIRE,inviteOnly,96504,47,8000
#9GU8G8UU,Beer＆Story,inviteOnly,81134,30,3000
#PJ0QVYQ,BEST 說好不打臉,open,97062,50,5000
#8R2UCJV,BIG CAT CLUB,open,96374,50,6000
#20J009G,Bikini bon bon,open,95048,48,3600
#98V8QR,Blackcat,open,96395,50,5000
#2GQCUPL,BlackSecret,open,99391,50,8500
#88RRQG9,Blue Monday,open,93287,50,0
#J8QJGL,BLUEMOON,open,99919,50,10000
#29Q20GCJ,Brothers QQ,open,94903,50,7000
#LCYJJYQR,Brothers!!!,open,99077,50,9000
#8YQ90C2,C++ MATLAB JAVA,open,95616,50,4600
#8CRGPCY,C.A.T喵咪聯合,open,97437,50,5000
#UQG2CL,CatUnion,open,90863,50,2000
#RR0VGRQ,Cavatina 32YMT,open,89983,36,9000
#PVQPRRL,Cavatina III,open,98836,50,6500
#Y2RPGLJ,Cavatina IV,open,93513,50,8000
#R9GP80P0,CEI 休閒工軍團,inviteOnly,99590,50,8000
#28CQUPQ,CGA,open,94921,50,3000
#9VU9P0G,CGU起秋搞飛,open,96561,50,5000
#20980LYP,CH,open,93868,50,2300
#G90JJRJC,CHAO,inviteOnly,43127,9,0
#G28YVV,Chinese League,open,95158,50,5000
#8GJP0LJQ,Clan #8GJP0LJQ,open,80157,50,3600
#92P0JC2,Clan #92P0JC2,open,92802,50,4000
#QGJYVG0Q,Clan #QGJYVG0Q,open,97903,48,10000
#29GC8UR0,COC Taiwan 4,open,95456,50,3000
#GLJJPUY0,Coffee Roastery,open,28647,6,10000
#2Y0RUVU,COWABUNGA,open,96300,50,5000
#PUYYUC2,crash fever....,inviteOnly,97013,49,8000
#P99PPCY0,CraZy-Team,open,96263,50,5500
#22J2C82V,cr民間高手,open,95541,50,5500
#P9CUQVJ,D.S 動力大叔,open,95451,50,4000
#PCY8C8YC,DaFongGo,open,84736,50,0
#GQ0VC9G8,DanyRoyale,inviteOnly,98721,48,7500
#9Y9JPG0L,Deao人,open,95634,49,5000
#QCGL8QCL,Diablo Team,inviteOnly,97608,49,7000
#2ULQQV0Y,DJ共和國,open,96699,50,6500
#G9P99Q8G,Dont read intro,inviteOnly,10000,2,0
#LRQ8J0R8,el Salvador 503,open,83379,29,6500
#20GCUPL,ESMT,open,98470,50,7000
#2YJVU09V,Evo進化論,open,93852,50,0
#QCC0UVCC,e個人momo等著你,inviteOnly,100000,50,10000
#GCVP22PQ,femboy(gayest),open,53854,20,0
#QQ9YGC,FET 飯飯飯,open,85243,34,8000
#RVCVGC,FjU,open,98501,50,7000
#99UQ2JJ2,Formosa臺灣❤️,open,93272,50,4000
#Q2PGRJJ,fun,open,86683,50,1000
#82VV0RUR,Futureの采創實脈,open,93120,50,0
#9P9PC208,GAME玩世代,open,99580,50,9500
#G9G8J9VP,Ganaa Gooners,inviteOnly,49401,13,0
#QU02QVRR,Gan嗎德,open,28112,8,300
#Q2VQ9PPY,GAUSS CR,open,92469,50,3000
#RUG2PQLC,Gay布林大本營,open,50870,17,3600
#LPR22PY9,gg,open,52607,16,1600
#2LPJV9Q,GGininder啊嘶,inviteOnly,43256,11,0
#2GCUPRRQ,god創世紀,open,99100,49,8500
#9R8YU9LC,Greed Island,open,94088,50,3000
#PQPG8U,Green Power.TW,open,91518,50,1000
#GJ2RRGJG,GT✨Elite Team,open,22206,8,0
#2G880P8,G彩虹部落G,inviteOnly,98877,47,10000
