tag,name,type,clanScore,members,requiredTrophies
#R0QCUL0,! 1st Thailand,open,99004,50,10000
#GCR998C9,13alleen,open,5722,2,4600
#GQQ2JV08,345 lnwza,inviteOnly,26761,7,3000
#GPUJVGG8,36 รัดยาง,open,2430,1,0
#8QVYJLQ,4 Horseman,open,97036,48,6000
#YQ2V0V92,>Dragon Slayer<,open,94283,50,5000
#G2Y9VJ9C,All For One,inviteOnly,7202,2,4000
#YJJ9JC,All-Star,open,95766,50,2600
#GV2UYUGJ,Am I?,inviteOnly,20315,5,0
#98QL92JV,Ao Chao TH,open,94732,40,7000
#U9829V,Bangkok United,open,95329,50,4000
#9LLUPP88,BIG ตู่.กู้ชาติ,open,91564,50,3300
#RCQ82JU,BUNGFAI_TH™,inviteOnly,99259,49,8000
#UVC0QV8,Close Friends,open,99413,50,9000
#QU0L99VP,CR Team TH 2025,open,93594,50,2000
#YYPV0V9G,CRไทย,open,89367,34,8000
#9UPR2CQG,DEESTONE HT,open,95677,50,5000
#LU0CVRPP,Diddi,open,19308,7,0
#G82QPGL2,EVAP ตะวันแดง,open,92830,50,5000
#YU8J0PPU,EZ,open,12311,4,0
#R0QGCLRP,femboy_luvers,open,7902,7,0
#GYLL9JLV,freaky,inviteOnly,4136,2,0
#GYR9RVYJ,Fun0,open,10918,11,0
#LRG8C8LQ,GaCha,open,10736,3,4600
#GQJQY80P,Gold digger TH,open,7229,3,2000
#G8PPL2UJ,guide and bigbi,open,3175,2,300
#QVQ0YRCJ,ha nikak,inviteOnly,17500,4,10000
#GQ909C2V,hawdaw,open,13476,4,2000
#G9RRGR99,HOG RIDER,open,9386,9,0
#2YLQJVRU,hogwarts thai,open,65843,21,4000
#RQ8QQ89C,Home of cats,inviteOnly,8348,2,0
#GYVLU0Q9,HongThai,inviteOnly,5332,4,0
#GPQVRUQU,Ine,closed,4248,2,1000
#22QPQY9,INW THAI TEAMS,open,97082,50,4600
#GP9UYCC9,irrenhaus,open,6540,2,0
#GL8Q2PRV,Karasuno,open,1902,2,1000
#GLR9LLU9,Kem MuayThai,open,3000,1,0
#GYQ9YY2P,Khapthaï,open,55842,15,5000
#GU9V82GG,KotHot,open,5066,4,0
#G0PQGRRL,Kumland,open,19906,9,0
#QCQGPLVP,KVET TO JEBAL,inviteOnly,38086,13,0
#RGY00VL8,Legends of Dawn,open,89925,50,1000
#YQUJYLCL,M A N O W J .,open,89040,50,2600
#98UC8PG0,Master,open,91788,49,5000
#R220CL08,mega dih,open,7073,5,600
#GJJR9V9U,meowl,inviteOnly,18854,4,0
#RRPJ2G,mine~thai,open,88386,42,5000
#RCLQY9LP,MomoSaliva,open,9841,6,0
#R90GUUC2,NAZA,open,86863,48,600
#QJQ2YU9C,Nova I สัส TH,open,91025,50,5000
#22R909R,NY Knights,open,64002,20,0
#GP9UPUU9,one,open,99907,50,9000
#8VP8GQ0Q,only new player,open,84509,50,2600
#GJ0PP99U,oppa,inviteOnly,8961,2,0
#RJJJYVPG,orangutang babe,inviteOnly,27993,9,3000
#R8QPL990,Otherworld-like,inviteOnly,1968,2,0
#R888LY8L,oustheet,open,2202,2,300
#GQJ0JPL0,Phuping12122012,open,5826,4,0
#QYVP92V2,poseju,closed,7108,2,0
#QL0G0GQ8,Ptudos de MEX,inviteOnly,23920,7,0
#J0JGPCCR,Pueblo marron,inviteOnly,6734,4,0
#GJ08YUVU,pwa hools,inviteOnly,40501,11,2300
#G28LPGUV,rachamanow,inviteOnly,40183,13,0
#80QGPG9,Royal Thailand,open,96927,50,4000
#RUPV2PJQ,S108,open,9144,4,0
#J2GVC2G2,Siam,open,6535,6,0
#9Y9LR9CU,SIAM TROOP,open,97401,48,9000
#QPPYPJLG,SIAM​ SPARKY™,open,98976,48,8000
#RUPGGLYU,sk147,inviteOnly,33501,20,0
#2L2RCCP,Skink's World,open,84971,34,6500
#RCVPQ0PU,solo sigmas,open,13603,5,10000
#QQUPLJ80,Suddenly <FR3,inviteOnly,10000,2,0
#R08GPUL8,SungaiManjoi,open,19394,6,0
#GQ2RUVYJ,superclan123,inviteOnly,1142,3,0
#GQ8UYVYP,SuperCool,open,2678,2,0
#GPQRVY9P,Thach clan,open,23916,16,0
#2LR0Y90,thai,open,98208,50,5000
#P8V0PG8,THAI,open,97967,50,5000
#GC9JCUL,thai,inviteOnly,97146,50,4000
#YPVP820,Thai,open,86806,49,3000
#RYY8UPP2,Thai 555555,open,96608,50,7000
#29CVJGQ,Thai Brave :),inviteOnly,99977,50,8000
#2Q9L08P,THAI CITYZEN,open,96744,50,5000
#PPVP2QLP,Thai Hub,open,95715,43,7000
#YC9QJ8,Thai Monkeys,open,98672,50,7000
#2Y0YCQG,THAI RATMANz,open,92096,50,1600
#UUYJJU,THAI ROYAL,open,94878,47,8000
#99CUPVVP,Thai Ruthless,inviteOnly,99242,48,9000
#8P8VGGR,Thai ViKing,inviteOnly,96283,46,7000
#LUVJP0C,Thai warriors,inviteOnly,98290,50,5000
#PRQ8QC90,thai_EiEi,open,81275,50,0
#P88RUC8,THAIFIGHT,open,98676,50,7000
#9J9G9QGY,ThaiHD,inviteOnly,32750,16,4000
#RLQCQ9,Thailand,open,99224,50,7000
#82990L8,THAILAND,open,97819,45,7500
#9JGGRLCC,THAILAND,open,97280,50,4600
#2PYVPJG,Thailand,open,96016,49,4000
#QLYCY2UP,thailand,open,70155,27,4000
#GUVGQG2U,THAILAND,open,6283,2,0
#9CGRYVU9,Thailand Bravo,open,95548,50,3000
#9PYPVGJU,THailand Error,open,87718,50,0
#20Q2PCJ,THAILAND HEROES,open,97555,50,7000
#9QGCQLCQ,thailand royal,open,94298,50,1600
#PC0V02UQ,Thailand winner,open,96071,50,5000
#8882CY29,THAILAND2017,open,81735,28,7000
#G8R9R8GJ,THAIMAN,inviteOnly,6450,2,0
#8RQGC9,The LastStanD,open,95751,50,5500
#QU2YVJGL,TheDoods,inviteOnly,5258,3,0
#QJ0909UL,Tower Rulers,inviteOnly,43575,14,0
#RLYP8V9G,TROPA YURO NUNO,inviteOnly,63287,19,0
#QRYLVLCL,Where When,inviteOnly,39968,16,2000
#QVYGPC80,Yuri TH.,open,80803,50,5000
#GC9Q2RUG,Zakochana Para,open,10383,4,0
#RR9Y2PVQ,zer0clan,open,4055,3,0
#G8CJ9YPV,ΣΚΙΒΙΔΙ ΔΟΡ ΔΟΡ,inviteOnly,11752,6,0
#G9GGGY98,กูไม่เอา,inviteOnly,4556,3,0
#PRPRV9PJ,ก๊องแก็งค์ทีม,open,96040,47,8500
#GLUVQJJC,ข้าวมันไก่,open,3417,3,0
#L9LVLY2C,คนจน,closed,8399,2,0
#QCYU99P8,คนเล่นวอ,open,86767,42,7000
#LLRJC8UQ,คนไทย,open,96813,50,6500
#GYPULRL0,คนไทย,open,2805,4,0
#PGY8920,คนไทยขาโหด,open,94292,50,3000
#GLCPJYUY,ฉันแตะเด็ก,open,7607,4,300
#GLP8CY9J,ตุ้ย,open,13335,6,0
#2PQGGG8L,ทศกัณฐ์,open,94574,49,3000
#GY9RY9V8,บ่าวเท็น,inviteOnly,2743,2,0
#R2CJUGQ9,บ้านฟ้า,inviteOnly,3620,2,600
#9U98VVJ8,ป้าแว่น ^^,inviteOnly,97649,50,5000
#PY8VYVV2,ลุงตุ่,open,98094,50,3000
#20YUQYCQ,วัยว้าวุ่น,inviteOnly,6709,2,0
#9JUQYRVY,สายเล่นเข้ามา,open,95666,50,5000
#GYCLLVJQ,หมาบ้าน,inviteOnly,14342,9,0
#YPUGYCJC,หมาพิฆาตสายฟ้า,open,53873,21,3000
#Q28LP2RP,หาคนเล่นวอ,closed,91508,47,10000
#QLP0UR2Y,หิวก็แวะมา7-11,inviteOnly,99700,49,10000
#G9JLG2U8,ห้ามเข้าแคลน,inviteOnly,2945,2,2300
#Q0QY2YRQ,อย่าซ่านะโว้ย,open,84835,45,4000
#GYYQLJ09,อาแฮ่ะๆอาแฮ่ะๆ,closed,2477,2,300
#98RGPUVJ,อำนวยหัวคาด,open,96921,47,7000
#8LGC89P8,อเวจี_TH,open,96220,50,6000
#RUC80Y2Q,เด็กห้องแพทย์,inviteOnly,2162,2,0
#Q82U90L2,เราจะทำตามสัญญา,open,88108,44,4000
#PUYUQPQ,ไทยซี๊ดดดด!!!,open,94826,49,3000
#LJ8LPC8L,ไทยแลน,open,92217,50,5000
#LRJR0JL,ไทยแลนด์วาไรตี้,open,97014,50,8000
#8J8JCJC8,ไทยแลนด์โอนลี่,open,94948,50,5000
#UL9JGQ,ไทยแลนด์ไฟเตอร์,open,97564,50,4300
#GCQPCCVJ,さすおも,inviteOnly,11064,4,0
#GCPVVQQ8,やれねーか,inviteOnly,33358,11,0
#YG8J8,"""ARCHA""(th)",open,86565,50,2300
#90RG8CQL,"""jaew""",open,92839,50,3600
#2QYG08J2,##CRY.TH##,open,89801,50,2000
#98RPG902,$ ToP SeCReT $,open,68849,50,2200
#8P2LV,-Turguoise-,open,92643,50,2000
#RQPLG09,-VICTORY-,inviteOnly,50327,15,6500
#LG8UQVJG,1-1,inviteOnly,50739,15,0
#G9G9GRGY,123π,open,51192,50,300
#G8U0PRYP,17SINS,inviteOnly,20286,10,0
#L0PVVGQ8,18Upขยับท้ายซอย,open,91572,50,3600
#YQRJV022,1ScRearHee,open,73450,50,2000
#QVV900UC,1กมากๆ,open,48068,28,2000
#RCU9P92Y,3 D wong,closed,12840,7,1000
#G00QGJ90,306 clan,inviteOnly,61737,34,0
#RRYC02CG,31er‘s,inviteOnly,14711,6,0
#GLVYUJCC,41 effoc 67,inviteOnly,82497,32,0
#QRCJPP2Y,5Dry,closed,51075,14,10000
#G2U2U0C8,677776,inviteOnly,72614,35,0
#G8C90GCR,67Exterminator,open,34445,21,0
#QRR8J08L,69 69,open,21159,6,0
#QG0R2YQQ,7-11 HOMESTAY,inviteOnly,44395,14,0
#QC0R0VYG,74Town,open,23164,14,0
#QC82JQGP,9Б,open,25572,13,4000
#PUPPVR2L,>:D,open,50136,39,5000
#QRPG0Q9,@ไทย,inviteOnly,10189,12,0
#Q9L8QJ2,[ส]ยามสายยิ้ม,open,85179,50,3000
#GPL009C,A Zoo - G,open,78317,50,1000
#G0JJPU,Abdominizer,inviteOnly,80517,41,1000
#G2982PY9,abyssal_huntet,open,49773,50,0
#QCCQGLQ9,AJAPA Gumgum,open,14658,11,1000
#GGQYQL29,Akira Is Gone,inviteOnly,89164,45,600
#R88GUG8R,Alexan,inviteOnly,6813,7,0
#8G999JGR,All Star TH,inviteOnly,61159,17,6500
#QPRCJJ9P,All-Star,open,40351,19,1600
#82088VJ,ALPHA ROYALE,open,81305,49,2600
#G99LPVC8,AM_wit,open,80112,50,3000
#YQG9JQG,Amenopop Za,open,89483,50,0
#QYQVCL,AmericanOutlaws,open,35268,17,3000
#8J8JGPLG,angrybird,open,37779,50,400
#GCYUVY0V,Aniwat,inviteOnly,4342,6,0
#PYY0QVG9,Anteaters Unite,inviteOnly,55965,20,1300
#89R8V08,ARD DAE,open,90678,50,1300
#2G8GR2Y,Ares,inviteOnly,8679,6,0
#9RU9C0VU,ARINTARAJ 26,open,93967,47,5000
#RRV899GL,Arwang,inviteOnly,70265,26,0
#2GGRCQP,AT. Barber,open,38244,22,2000
#GLGRYRCU,Attaqwa cm,open,45821,48,0
#GVGYQUQR,Aurora.TH,open,80099,50,4000
#GPC0GPJR,AVANGARD TEAM,open,22516,8,0
#G8RQC8VV,baimoneq,open,15835,26,0
#RRUQJ0L8,BANANA BIRDZ,closed,12214,4,1000
#Q020CQJ8,Bananafall,inviteOnly,85571,48,0
#80UC2PJ,Bangkok Army,open,95201,50,4000
#QLUQJC,Bangkok Empire,open,94761,50,4300
#QYPV98PU,Barbislove,open,68864,50,0
#820VJCQ,BatAgRoไทยแลนด์,open,93077,50,5000
#8G28LRJ,BatCH SupporT,open,74755,50,3300
#G8JJLJP0,batumlumfarm,open,47550,25,3000
#GYGCJUVY,BBA Clash,open,14455,4,0
#YYU9L2G,bbtemp,open,53590,50,0
#QJG9CQC2,BCC174,open,65907,37,1000
#GUP9J2R2,BCC178,inviteOnly,38003,50,0
#GQGUJUPQ,bcn egg n BLACK,open,58245,18,6000
#GPU29RJY,BDB,open,66111,30,6500
#GQ0YJR08,BDG,open,63398,50,600
#Q9P089JG,benzkodhod,open,16260,9,300
#GUP92L8G,big fat rat,open,40206,45,600
#GCUQPL09,big oilly men,open,88258,50,3000
#G9PLR290,BIRMINGHAM,open,10212,19,0
#8U2Y9CY9,Bitcoin Warrior,open,86402,48,3600
#RQCPJ9JP,black alone,open,52074,50,0
#QJ0GUY8R,Black Dog,open,36389,21,1000
#QJCP0P28,BlackGaland,open,78382,50,0
#LGJ0QJC2,BLOOD HUNTER,open,89693,50,6000
#RGQVCQGG,Bobo klan,open,19364,5,0
#80P0LVC,Boing,open,82295,50,6500
#QR0UVYRC,Bois,open,73198,49,7500
#LJVUJG9P,Bomb Squad,open,92697,43,9000
#228GC8,BOSS Thailand,open,72986,50,1000
#RLPQ08VQ,BOWLING,closed,59357,19,5000
#GUJRR0LQ,BPnow,inviteOnly,4609,3,0
#2URR2Q,Brave Heart-TH,open,92745,50,4000
#YY20GGJ2,BreakDown,open,42044,23,0
#2L8VVG2L,Buffalo Run,open,89549,49,2600
#RL2C9UYG,buh,inviteOnly,71979,25,0
#GUJG20,Bulls Warrior,open,78886,49,1000
#CGQ0Y89,BUNGFAI_TH™ ||,inviteOnly,88842,39,3000
#292C20R9,Bบ้านไร่ทีมM,open,44182,32,0
#RGPV88QQ,C115,open,35731,17,0
#QQRG2L2C,CAF,open,79967,50,2000
#9PJCRQC,cafe66,open,81003,47,2000
#QJJYJJ8P,casa randazzo,open,62067,20,0
#8GCQGVJ,CATTHAI FIGHTER,open,90550,50,0
#LCV90L8C,Cetmar 24,open,76282,50,0
#Q098J9YL,cham of thai,open,86878,49,600
#RQ9YRC2L,chemistry,open,49468,50,0
#9CGGYCC,Chempedak,open,61988,48,600
#G0LVRC2P,chickendih,inviteOnly,22038,11,600
#QJGY80Y2,chiken,closed,9895,6,0
#LVRQ2QRY,Chimp Ballz,open,79244,50,1000
#QYJPVQC8,chophee,open,47980,50,300
#G9LC0Q2P,ckogb,open,64244,50,2300
#RQGYL2RC,Clan  #RQGYL2RC,open,59897,28,300
#2G0U8UP,Clan #2G0U8UP,open,83555,49,5000
#RQJQCQGR,Clan #RQJQCQGR,inviteOnly,64013,25,0
#YU2GC98,Clan #YU2GC98,open,95268,50,4000
#PL9Q0Q99,Clash soldier,open,90851,49,3600
#QG00VLJC,Clash TH,open,79337,50,1600
#R9V9L2PU,Clash top,open,83040,33,9000
#GCCJCP98,clashroyale boi,open,31896,22,0
#G8UJUL8V,cluyhuakan,inviteOnly,16348,8,0
#8C0CUR8R,COSMOS-TH,open,69443,50,300
#82VQJYP,coys,open,80424,50,2600
#8YP2LV,Critical Stike,open,85988,49,4000
#2RQJLUC,Crucio TH,open,78721,35,5000
#GCQ98J0P,CRไทย II,open,88486,48,6000
#2G2YU0P,CU Intania,open,73587,50,1000
#2PUVYLL,CWN,open,60551,50,600
#G0GJ92GG,DAN999,open,37310,38,0
#UJ0V9CU,Dark RegioN TH,open,59609,50,600
#G2G990QU,Darkness,open,43021,50,0
#PLQPPUY0,DekTedGame,open,79223,50,1000
#GLC08GQG,DEVIDRES F.C.,open,61947,39,0
#QY89VCUC,digdeedog,open,80439,39,7000
#L2U9PG2C,DISMON,open,78801,49,3600
#88J2YUR,DKC Thailand,open,86716,35,0
#GULUUPRG,DOOKI,inviteOnly,89713,50,0
#R0J2YLU8,doritos,open,45242,23,0
