tag,name,type,clanScore,members,requiredTrophies
#R8GPV9YG,4D,open,85137,35,6500
#G92QR80Q,ALIENI SVALVOLO,inviteOnly,47689,10,7000
#RL22QG2Y,Buscuit Necks,open,14746,3,0
#GYQVPQCY,C4R • WOREX,open,651,2,300
#LLRLCU9G,fafo,open,23720,7,0
#R0RQJP20,los fc,inviteOnly,11609,5,2000
#RQ0929VU,os giminino,open,5941,3,600
#RU9UY9Q9,shatta binks,open,2360,1,300
#RJ22PVQ8,stache’s family,open,36860,10,0
#G82JV0UQ,Staline,open,34125,16,300
#QUG82CPJ,Stew,open,57012,17,0
#G2UPC0YL,Tropa do Melby,inviteOnly,24780,8,0
#LJ9RRQJL,AFRICAN WATER,open,89621,44,5000
#GL9R29LU,aura,open,19960,5,0
#QCJ2LJ08,BGF ⚔️,open,27003,7,0
#GUYYC9YU,Bomboclaat,open,12389,4,0
#RYVCCYCR,CAVALEIROS,closed,8721,6,0
#G8VY8UYY,Chéri Doudou,open,80971,50,0
#RP9R2PVG,Clan #RP9R2PVG,open,80035,47,1000
#G2GU2YGL,Erik’s clan,inviteOnly,20058,9,4000
#GUJLPRPC,FANTASTIC,inviteOnly,26690,11,0
#LQGUJU9Q,fc migrant,open,64484,34,0
#LR92V9R8,Konoha,open,28885,33,0
#Q0PGCL08,MANYAKLAR,open,7871,8,0
#GR0Q0VGY,NickKerr,inviteOnly,45140,12,0
#G099GGLU,PAULOLOU,open,6001,4,0
#L2Y2QVQL,Penn Island,inviteOnly,58442,22,0
#G2YQY0Q8,pit0s larg0s123,inviteOnly,1543,2,0
#YYLJ8P2L,pr2bon,closed,45021,17,3000
#RPYP98Q2,revelution,open,32628,13,3300
#QJRR8VPG,SavillesVictims,inviteOnly,69563,33,5000
#GP8Q8Q9V,schnullerpuller,inviteOnly,58762,19,5000
#GRQ99PYC,unc,inviteOnly,30631,9,6500
#YLGGR2Y8,Warriors Orange,open,74131,29,7500
#G02L8PG9,We❤️BigOtogo,open,95373,48,0
#QGJ99VJC,You so laggy,open,64637,27,3300
#LP0Q9Q82,ΣΦΕ Al Beta,open,79965,35,3000
#RP98U2J0,Андрей,open,24612,10,0
#GLGYL8GP,фраєр,open,54650,22,0
#R0JVRVV9,Ⓢⓛⓐⓥⓔⓢ ⓞⓕ Ⓙⓔⓢⓤⓢ,open,44468,17,2000
#GC2RCV28,cailloux,open,2003,3,0
#GR02QJ89,Drachenlord e.V,inviteOnly,30621,10,0
#L0Q2PLLC,grupu bolund,open,50922,22,0
#RGVG2R99,mini jugadores,open,17373,8,0
#RP8Y8P2C,PX Family,open,23612,50,0
