tag,name,type,clanScore,members,requiredTrophies
#Q8V8JYRR,AiGuile,open,19534,8,0
#GGVPYQRR,Aiseagae,closed,8508,4,0
#LUR299VY,barrot,inviteOnly,34356,10,0
#YGUGG2,Dogz of War,open,96626,50,5000
#LYGCGYRY,fccerupper,inviteOnly,19919,5,0
#GPVUYRQY,Hecka Hosi,closed,9483,2,4000
#GJJJQLC2,Jiggyballs,inviteOnly,948,2,0
#GPPUPY82,kulikuli,open,44288,19,0
#G0UJVQPP,Matausi,open,15313,5,0
#GQ2VVYG9,naza games,inviteOnly,15322,6,0
#R8CJRQ2L,SBS,inviteOnly,15000,3,0
#GUVJ9Y8V,soup,open,17943,5,0
#LGVCYRRJ,TengaLahi,inviteOnly,43409,17,0
#RVQCR08C,TokoUsoz,open,13437,6,0
#G8YYJGRJ,TONNGAN 4 LIFE,open,15347,13,0
#YJCQV0CL,UrDadsTula,closed,8712,2,0
#RJPGQV9V,zt,open,3328,5,0
#G092Y0VJ,49ERS,closed,59527,21,0
#GJ8YCL22,4EIGN,inviteOnly,39221,11,0
#GGRRYJGL,676,open,16839,5,0
#GGJJY2QP,676tetis,inviteOnly,73308,32,4000
#G2C8JY8V,Akatsuki Clan,open,65109,39,0
#LJV0JP0P,alpago the best,open,75722,50,0
#QVR898CV,AnatoPuercos,open,44947,16,0
#RJ09PLRR,black belts,open,47410,16,0
#L0VPVJQR,Booty_Bandits,open,65207,23,2600
#QLRRY2PP,bruh (t-pose),inviteOnly,47862,11,0
#GYP80VPQ,chickenstar41,open,3783,4,300
#G2GCQ020,Clan #G2GCQ020,open,37409,30,0
#QU0J9UVQ,Clan #QU0J9UVQ,open,51268,17,0
#GCC0JPGU,DawnRaids,inviteOnly,16609,5,0
#RL8YP0PV,Deadly Mob,inviteOnly,71625,38,0
#GRC9LUJ0,DNW FLCDB,inviteOnly,50266,15,600
#G0R2P0Y2,fufu,inviteOnly,76130,33,9000
#QUJVG2R9,HG,inviteOnly,46061,12,0
#GRCR0URY,hugohuggers,open,77880,39,5000
#QUQRGYYG,iamnicktong,inviteOnly,97922,49,2300
#QC2LV0PR,Jump Around,open,53476,22,0
#QJ9LYQ9V,LikDz,open,76649,45,0
#G2CYJ0CC,Logan city,open,32240,10,0
#QQP28L90,Mafana Boyz,closed,90040,44,300
#G9R8Y9G0,MIBR,open,65357,35,1000
#Y00L00PG,MMT,open,58818,31,0
#R8QRGPUC,musketeer piroo,open,55468,26,0
#G2LRPJG8,neegaboys,open,32307,12,0
#G020RJ99,on sight,open,76483,37,300
#LCYCYPCU,pack runnas,open,84753,49,0
#LQLUY9GR,POLYKINGDOM,open,44480,18,0
#GQ0LJLPQ,ponchesito,open,40593,48,0
#QV8CQGVG,quade mooney,open,60788,30,6500
#8UQJGYR,RUTHLESS POLYZ,inviteOnly,68071,30,5000
#LY29YRP2,shanugang,open,69017,36,3000
#G22P9VJ0,SIKOS,inviteOnly,13854,4,2000
#RJQ0YPQ9,sitecadde,closed,16318,5,0
#PVVJVVR8,Sour Patch Boys,inviteOnly,97228,50,7500
#RVCRJR92,TCHERNOBYL GP,open,15677,5,3000
#Q2QRJ2V0,team cr 2.0,open,75728,32,4300
#QRJ0PL20,TENGA MAHAKI,open,18164,6,9000
#QJ2J9YVP,TETI’S,open,21155,19,0
#RJ9Y22VR,the tae mahi,closed,9733,3,0
#GUPYQVYR,TONGA- Familie,open,59019,16,3000
#J2290QRL,TONGACRIP,open,14331,4,9000
#QRQVRLY0,TONGAN ROGUES,inviteOnly,16068,8,0
#J9GVQQ,TonganRastaz,open,87223,39,600
#RPRL89UC,Worm Firm,inviteOnly,33400,11,0
#QG0PGYUL,Worst nightmare,open,98801,50,9000
#QYP9V0P2,WST,inviteOnly,55190,21,0
#LRV8PQ2U,Xtra Chromosome,open,54013,18,8500
#QV2VUY92,zuschauer tonga,open,83356,33,6000
#G9Q0LY0V,¥rugpug¥,open,18473,5,0
#G8282PVQ,خشخشه,inviteOnly,8032,3,0
#GLJV22JR,陰デブとん,open,52941,16,0
#LYGC9JY8,676,open,50734,28,0
#LUUPLV0J,big lahos,inviteOnly,15004,8,0
#G0YURYU8,FRMDA0,open,33781,18,0
#RPPPJ9GQ,kefeeeee,open,60020,19,0
#YYLY9QP9,loco_TOKOS,open,29968,13,0
#QLQUR22U,Los AFK,open,73664,50,0
#Q9C0QYQG,Los Panas,open,51092,44,0
#PUPL2YP,mate ma'a tonga,inviteOnly,46430,20,1000
#QL20GRC2,not the losers,open,14097,7,300
#L0JP20LG,ROCHESTA BRUDAS,open,44085,35,0
#QG8UC2L9,The Candy Shop,open,45984,26,0
#P9UUYRRC,trade lucic,open,16528,7,0
#GCUPLPY9,tropa do rato,inviteOnly,20701,8,0
