tag,name,type,clanScore,members,requiredTrophies
#RGCJPQ9G,(ACE)Wildcards,inviteOnly,85256,50,1000
#GLPLC8PQ,2EME REPUBLIQUE,open,43554,10,0
#RR9CU99U,868 Badness,open,28386,9,7000
#YV98G20J,868 Trinidad,inviteOnly,96819,47,10000
#LYV08CV8,868 under dogs,open,98820,50,8000
#2LY92CGP,868_unknowns,open,99345,49,9000
#GYJ88UY2,A.C.co,open,5285,2,0
#LU8C92UC,A.T.B,open,92601,39,9000
#QRJQPJC0,Arkham Knights,open,96566,49,9000
#YQPUGGCV,BDD,open,94989,50,6000
#RQGPUJQJ,BLACK EMPIRE TT,open,87425,43,3000
#2PC0GG2,BoutDatLife™,open,87303,46,5000
#RV0P98GU,brothers glory,open,4409,3,0
#R2P02LJC,Checkers,inviteOnly,5324,2,2300
#GY0CGQ02,Cl1wi98 family,open,9280,3,1000
#CPCU0J,Clan Saga,inviteOnly,85205,30,4300
#R2YPYCVR,ClanOfGays,open,14054,6,0
#RGJCRJ8L,Clash & Burn,open,13394,7,0
#G82GLY0V,CrownTakers07,open,53133,18,6000
#GGLQJRLV,CUCKoo ClOCKs,inviteOnly,99457,50,10000
#R2800RVG,DPREZSQUAD,open,1616,2,600
#8GVYJGR,Dr. Carter,inviteOnly,100000,50,10000
#GLUGPPCG,EQP_CBR_CVRL,inviteOnly,8430,4,0
#900J89LL,Extroniom,open,95268,50,4000
#GY2G2CPP,FightClub,open,37449,10,0
#R0VUUQRV,FISCH GUYS XD,open,7748,4,0
#GCLL8U8P,funky monkey sq,open,16074,7,0
#GYPCLU2G,gaots,open,174,1,0
#QL929U0U,GUZU,open,84785,50,3000
#QGRYYGCP,hummus n pita,open,97093,47,7000
#QCYU22Y8,I Miss Her,inviteOnly,96176,48,7000
#Y2V8PLQY,Illusion,open,9012,4,0
#RR8YGL0L,ILUVCHELS,inviteOnly,3579,2,0
#82UGRC,IMMORTAL VIKING,open,98431,46,10000
#8LGRVJ0C,Invicta,open,98682,46,10000
#PJQG8RVC,JamRock TT,inviteOnly,96946,48,7500
#RU9QGQGV,JustNoReason,open,54749,14,7500
#G8L9RGJQ,KitKatKlub,inviteOnly,95807,50,0
#8LVQ9VUV,kushboyz,open,91698,44,5000
#R0GPCVRR,Le Paillon,open,5527,2,600
#P9G9VPV2,Legendary Army,open,100000,50,10000
#GLLVG9GJ,MaUshxx,open,8904,4,0
#GV8R9U9U,moon,inviteOnly,24353,8,0
#J0RRVGY9,mustard,open,40753,10,5000
#G2QRYGQJ,Obamas Schule,inviteOnly,49265,16,0
#QVVYPURP,ProutProduction,open,10650,3,0
#GQ8QVGCV,Ramco Gas CO,open,49595,16,3000
#80GGVYQ9,Reign,open,98263,48,10000
#UQG2VUV,Ride Or Die,open,12149,4,3000
#R2QU09P8,RoyStonia Youth,open,19141,7,0
#GPRURV00,SAC,inviteOnly,12978,6,300
#PGRYVQPY,Savage Saints,inviteOnly,99262,48,9000
#GQGUY2PP,SBHC CLASHERS!,inviteOnly,33396,18,0
#Q8YQ9YP9,Straw Revers868,open,97696,47,8000
#RUP22YJ0,Strokers INC.,open,49650,11,2000
#RL2CYJQP,The South Tower,open,82763,32,6000
#J0YRG0R2,THE UNBEATERS,open,12533,4,5500
#GYC8U988,Thenose,inviteOnly,1226,2,300
#RRUQC0C8,TIWWC,inviteOnly,8698,6,1000
#P9C8GPJ,Trini $+@r$,open,98258,49,8000
#9CPR80GY,Trini Conqueror,open,91452,50,3000
#2VQCQ0QC,TRINI D NEX GEN,open,93819,50,3600
#PJVC9U,Trini Empire,open,97103,50,7000
#2U8QU8,Trini Inc,open,99377,48,10000
#200L0GL,Trini Spartanz,open,93907,50,3000
#82LPYQQ9,Trini Stars,open,93739,50,5000
#20R8RJG2,Trini Traphouse,open,97205,50,6000
#LUPG00,Trini war lords,open,94541,50,3000
#8GC898C,Trini-2D-Bone,open,92568,50,0
#GJU80Y9R,Trini2dbone,open,52059,32,300
#RVQ89LQC,TriniBros,inviteOnly,8483,4,0
#L8GG9L2,TRINIDAD GAMERZ,open,98072,48,8000
#YCPJGUV9,trinijam,open,94160,50,5000
#GLPL2Y8J,underdogs,inviteOnly,2142,2,300
#GYCJG9GG,Unomios,open,7942,2,3000
#LQRVRLRR,Westmoorings,open,96446,47,9000
#GJ9PJUQ8,will hard vixen,open,77487,33,5000
#GYJYUJG8,XHOSA,open,7558,2,0
#QPJUUC2U,Yeagerists,open,79680,48,5000
#RJV0U2QQ,Z3N Garden,open,41885,14,6000
#8QG2Y0CL,#triniroyalty,open,78739,50,0
#20UP988R,(roti raders),open,46155,50,0
#8VGUPYG2,3CrownBantons,open,82458,45,0
#2P29VP0J,3nee clan 3,open,61114,24,3000
#QG2GG0QJ,4 erm,open,78332,50,3000
#8YCYUUC,42o,inviteOnly,89545,48,3000
#R9QPQ809,50 Green Giggas,open,87145,50,0
#GU9JVC9P,50ShadesofGreg,open,85545,47,0
#GJC9YRLC,8 GATES OF HELL,open,79551,43,3000
#GG8UQC8J,868 Assassins,open,56168,17,5000
#PYYY99CL,868 Royale,open,91619,49,8000
#220PQV9,868crew,open,27720,9,0
#QY0Q8GYP,868tons,open,12222,10,0
#2RLUYLPU,868WolfGang,open,95612,49,6000
#GU0CQPU,86ix8 Legends,open,45491,11,5000
#LLUU00V,Active Clan,open,94820,49,5000
#LY0L02VY,AKATSUKI,open,35835,50,0
#QU82LULL,ALIADOS BLANCOS,open,61103,26,0
#RPU8YUPR,Allstars,open,34328,18,0
#9YL9C8QY,AVENGERS,open,92083,50,3300
#QYGR0CL8,Bad,open,68401,48,0
#QU2UYRQL,Balenciaga,open,72653,44,5000
#LLR8RP,Balloon Party,open,42948,50,0
#GU88CRGC,Bayrum Bros,open,72902,35,0
#L99J9QUQ,beanclan,open,67179,50,0
#QYGQU9Y,BeastCoast868,inviteOnly,77608,45,4300
#2YP89QU,Beethum Gardens,open,77416,48,200
#2RQYLYQ,Belmont H.W.A,inviteOnly,94856,45,7500
#QVU00UU9,Bigbatty Clan,open,17328,12,0
#GP98PGLU,BigCocoEmpire,open,71598,41,0
#YG9VC8UP,BigPPz,inviteOnly,44724,19,4000
#G0JYJ22L,Blueteam+rian,open,59659,37,0
#G0R9L888,BlueWaters,open,46395,21,0
#YGC0QJ9C,BM SQUAD,open,25801,11,0
#LRLLUC8V,Bronze,inviteOnly,87451,50,5000
#G80VL982,bullas outside,inviteOnly,44,1,0
#YR2Q28VL,butter,inviteOnly,45872,22,7500
#QRRVJC0G,butter,open,39411,15,0
#R0PRQ8,Caribbean Alpha,open,85332,50,4000
#QV8UCV2G,carry me,inviteOnly,11906,3,0
#GCLGPPUY,CH,open,585,1,10000
#G8LU0ULJ,chantry mandem,inviteOnly,52787,28,0
#G2PVU8Q9,cheezestiks,open,21621,15,0
#G9JY8CQU,Clan #G9JY8CQU,open,97258,50,8000
#G9YULJYP,Clan #G9YULJYP,open,66328,26,5000
#GGVG2808,Clan #GGVG2808,open,74979,39,0
#L2CGJC29,Clan #L2CGJC29,inviteOnly,52684,14,5000
#QC8LLPYC,Clan #QC8LLPYC,open,62902,34,1000
#QLUGCRYG,Clan #QLUGCRYG,open,83338,50,0
#YVGY99JV,clan gang,open,88844,40,6000
#8C2J0UJU,CLASH GODS,open,54080,42,1200
#GVUYJUL,Clash On Group,open,95750,49,6000
#P80CQCRU,ClashBanton,open,82553,50,1300
#GJJYRJQU,coolkids,open,6453,3,1300
#YQVLCG9P,CrEatives,open,37504,30,0
#G0LRJQU8,crix + cutlass,open,29235,12,0
#L0CCQGCP,dark prezence,open,33529,45,0
#GPL2UG0P,dark-rangers,open,10457,4,3000
#GLPJ9U80,DarkNest,open,11437,14,0
#RJR02C9Y,Day ones,open,8001,3,0
#RVQUQC82,de man dem,open,8787,9,0
#GVRLP,digi warriors,open,20609,5,4000
#Q8YL909Q,Dingle Berry,open,43327,39,0
#GL2QJJQL,Dr. Carter Jr,open,85404,40,5000
#G9R92C2J,ducks,inviteOnly,11983,5,0
#GPV0P9RC,Dunross,open,23030,19,0
#RCQLYQGV,EA,open,73402,30,5000
#G2RUCG2V,Emma la boss,inviteOnly,32857,9,0
#QPRU82VP,family Evil,open,41842,48,0
