tag,name,type,clanScore,members,requiredTrophies
#R8UGY2,300!,open,99330,50,9000
#R0JPR2G8,CoarciSquad,open,93820,50,5500
#LVUY0JQJ,DwennieClannie,open,96910,49,6000
#RRLVCQ2R,Fábricators,inviteOnly,48841,17,0
#G800QC8Q,goon citizens,open,89650,46,6000
#Q0CCUUQL,los pitbull arg,open,89333,45,1600
#G8UJJYLC,osman le singe,inviteOnly,18719,4,0
#QCU0LR80,Tim Cachipa,open,15000,3,0
#QQC0YC82,الجبابرة,inviteOnly,10000,2,300
#GC9CY9PP,4Б онлайн,open,67791,27,8500
#GQY82LJJ,Algo bien,inviteOnly,85420,50,6000
#GLCCL9V9,AlMossaralho,open,94878,48,8000
#G2GGUVUV,As Moléculas,open,15361,6,0
#GC000YCL,birks charvas,open,66375,26,7000
#GGRL2YLQ,Bästa Makter,open,69217,25,0
#RRY2PYYQ,Cokbait,open,86890,35,7000
#R9GVLJ90,Comola quieres,open,62454,21,4000
#QL2JUQRC,cuy mágico,inviteOnly,47401,20,0
#R02RQLCU,DADDY clan,open,67161,31,600
#QRV9RPL2,dannymany69,inviteOnly,57291,24,0
#QG9Y8P82,giga koksy,open,45022,24,0
#YYGGPY8U,LESMANDARINES,inviteOnly,71678,31,0
#RLPRUPG9,los gorditos,open,30830,14,4000
#QQGLPC9Y,Los Gringos,open,62558,20,5000
#YVGUJU9G,Muskelpriester,inviteOnly,74066,31,0
#QVUR8GVY,namaz klan,open,76067,35,2600
#GYPLQY2J,nozzes,open,6960,8,0
#GLULPUUQ,orrong showers,open,70038,23,0
#G2PY0JL8,pp cause you me,open,24300,13,1600
#QLLV0R8V,RWTH Aachen,open,83289,50,0
#QRRCGY8Q,Skill Player,open,42896,15,0
#GY9QQ0VV,SLO AKPSI,open,21384,6,0
#QVLG0GR2,Strassenbande,open,49681,17,1000
#QUV22VQQ,team keep,inviteOnly,73129,27,0
#PULP9JVV,the chonks,open,71638,42,0
#YP89QGJ9,The Dead,inviteOnly,43441,16,0
#QJJJ2CJU,Tua madre,open,80519,41,0
#PUGQR2GC,Vortexgaming 2,inviteOnly,54153,16,0
#Q8YUG09U,Лунтик,open,31246,50,0
#QG0CVRCP,фабрика звёзд,inviteOnly,36295,13,1300
#QYPPU8QG,⭐NM⭐Gaming™,inviteOnly,38120,10,0
#GQV8RRRL,춘천고트드리그,open,92539,46,0
#GYLGC8UY,BBN,inviteOnly,40077,12,0
#YJRR9PQL,big wieners,open,35424,13,5000
#Q009PPRG,gougoune,inviteOnly,16755,15,0
#GYCYL2VR,nle,open,1684,3,0
#G9YG9U0G,POLYANSKIE•NEW,inviteOnly,38846,15,0
#2RQGYP2G,Takoyaki_TM,inviteOnly,32595,25,300
#G0UU09GC,the james boa,open,9846,14,0
#QRPR8UCV,virjenes,open,45429,16,600
#Q8YJQ8G8,부산 사이클래시 로얄,open,42109,13,2300
