tag,name,type,clanScore,members,requiredTrophies
#R2VYVVGQ,40 TITANS,open,98227,49,8500
#YJV9G9JC,50 gladiators,inviteOnly,98600,47,10000
#G9PGJYQJ,5obzz,open,94691,50,8000
#G0VQQRYR,7omet sekka,inviteOnly,56051,23,3000
#QR9UC9UJ,7rou9,open,99877,50,9000
#GCU0C8QJ,8h.8abajia,inviteOnly,13494,6,2000
#Q2VVCG2G,9H Victor,open,100000,50,10000
#GLV0QG22,academy easport,open,951,3,0
#QR82J2U8,ama sniki boiii,open,96949,50,7500
#QRGLJGU0,AMAZONIA,open,94727,50,7000
#QCLQLPVU,ARAB WAR,open,98088,47,9500
#PR20VPJ8,assassins TN,inviteOnly,100000,50,10000
#QCJLUYL9,AVENGERS,open,99014,50,8500
#GQ9PR8QV,B.O.M.B.Y.X,open,52926,13,8500
#GL9VP0PC,bac technique,open,21632,5,3000
#J0UC0V0U,Banda Croustina,inviteOnly,44175,15,5000
#GURYCR8L,Bangoslovakia,inviteOnly,58597,22,0
#QQR9UYY8,BBH CLAN,open,95174,50,6000
#GQU8YP2V,BHALA city,open,97063,43,9000
#GR9QYLCJ,binami clans,inviteOnly,49715,16,4000
#GLPPJUG0,Black clover,open,2315,3,1600
#RGLC982Y,bling~bling,closed,13122,6,1600
#GCUJ20C0,BMW X5 S1000,open,89206,50,5000
#QRVVVJ28,BOU3ASBA,open,95317,50,8000
#GVYQUVR9,brain rot,open,15526,4,5000
#Q9QLG0JG,Caracas,open,95793,49,7000
#8V8CU0C,CARTHAGE,open,99264,49,9000
#GPRV0Q8J,Carthage Army,open,99509,50,8000
#QJU0VG2J,Carthagian VIP',open,81819,29,9000
#GY8VPQ0V,Cauchemar,open,64879,20,4000
#GCV00JYC,ch8b,inviteOnly,1401,2,300
#R8Q009V2,Chabiba,open,6722,2,4000
#QYJVRJJY,champion,open,50666,12,7000
#QUUQC20Q,CHEKAF TN,open,99760,50,10000
#Q0QULGL2,Chemlali,inviteOnly,5120,2,0
#QLRP0LY9,clash fighters,open,99844,50,10000
#QRQYJGRL,clash masters,open,99786,50,9500
#Q2RG28U2,CLASH OF WAR,open,81326,35,4000
#QV2QJCLJ,clashTN,open,95975,50,8000
#GJQVJRUQ,clsh ahnou akwa,open,81176,35,8000
#RUU0JY8U,coach.tn,open,723,2,0
#QPPU9G92,death clan,closed,42399,10,3000
#LRQGPU9L,Destroyers,open,95660,48,7500
#G0RGQJ,Deth Race,open,98370,49,9000
#RG8VU0GV,DROGBA,open,97383,49,7500
#R0YG09GL,El 9arya,open,72491,50,4000
#G9200UL9,ES.Tounsi la ☝️,open,96144,50,6500
#RUVPQQCV,evo skill,open,48925,19,6000
#QV8LC8VR,FALLAGA الفلاڨة,open,88838,39,4000
#GRL0YV28,famille d’Ahmed,inviteOnly,4323,2,0
#R0VVYJPG,FANTÔMES,inviteOnly,82613,29,0
#GLV0YC99,farachet,inviteOnly,2313,2,0
#PRRUGRCY,Fat Hooligans,open,99708,50,9000
#GQJ8RJL2,femboy crackers,inviteOnly,3792,3,0
#GP2G2LYJ,Fitna Royale,open,70034,24,5500
#R298UCJL,FREE FERE★,open,3337,2,600
#GR28RYJP,G.O.A.T,inviteOnly,12861,10,1000
#G809P0J2,GAME-Over,inviteOnly,99865,50,10000
#GLU88YUJ,GANG EL 1006,open,33754,9,3300
#GY0J8CQ9,ghaza,inviteOnly,73008,24,9000
#2V8PRCJ2,Ghost of Tunis,open,96607,49,9000
#LLVPYPLU,ghost_army,open,100000,50,10000
#PCQURR2V,Goblin Gang,inviteOnly,99982,50,10000
#RP8UPU2U,GOl D roger,open,66609,23,5000
