tag,name,type,clanScore,members,requiredTrophies
#RCR0P2QY,Aquarius,inviteOnly,24402,8,0
#R9CL9QQU,Buskati,inviteOnly,19072,4,7000
#Q8J0CPGL,Buzul ateş,inviteOnly,19939,6,0
#RG82VVJ0,Clan real,closed,49957,14,0
#LQR0GQQJ,da boys,inviteOnly,99680,50,8000
#Q0VLYJRP,homburger,open,44263,11,0
#G0JGGJLL,Institute,open,50777,12,300
#G8V28UG8,los bros,open,12440,6,1000
#GLQ0CGQQ,MaltepeçİnarPls,inviteOnly,7605,3,0
#QRU0GCCQ,mestre mago,open,7904,2,0
#G8CYVVYU,purplemonkey674,open,19342,9,0
#RVL889YV,Pão de ló,inviteOnly,13909,4,10000
#RGUQG8G9,semi turk olu,open,954,2,0
#QGP2U0L0,*67,inviteOnly,88863,42,8000
#QJ02V0U8,2700 AG,closed,67090,24,7000
#G0VVU8UG,40021,open,27188,11,2000
#QLUC0280,adsızlar,open,34824,10,0
#QUCVU0GL,Beaches Resort,open,17284,8,300
#GP90UJ92,Bonde Atômico,open,70604,34,0
#QQRL9C8Y,BOOTY,inviteOnly,88013,38,10000
#GPQYC88Q,Chopped & Unc,open,31752,7,0
#L8QQG2QV,clair de lune,open,96134,50,10000
#RY8G0P2U,Clan for it,open,48330,18,0
#2UQJUGP,Clench Royale,closed,91040,44,600
#GLY9VVVY,crazy hamburger,inviteOnly,45761,11,7500
#QVVP8YLG,dang bang mang,open,95807,47,8000
#QP8CC8U0,dioabass69,open,35415,9,5000
#G0PCGV8L,Dosengulasch,open,47959,16,1000
#RQ2QVVYJ,Duce Capital,open,31868,8,6000
#QVUG2GGC,Estuards,open,18165,5,10000
#GGVR02QC,Franks Deciples,open,55098,22,0
#QJRQJPR0,handicclaps,open,84579,49,1000
#Y809RPGJ,HoodRats,open,74398,30,8000
#L2UQ80QQ,Imposters,open,62,1,0
#QVY8LQ8Q,in dich rein,open,40065,12,3000
#YP9QQ9YU,JAH,open,16687,5,0
#RJJQ2P9J,kadi ve sincap,open,6409,5,600
#RPYRG00Y,kappa siggers,open,72845,32,0
#LR0YYV09,Kush Klub,inviteOnly,36872,11,2000
#RRV22U82,kuzzi kerry-,inviteOnly,2709,4,0
#LLLURP0J,Lambda Mu,open,75803,48,0
#LPRCG20P,MacdonaldsRP,inviteOnly,80780,39,0
#8JPJ2PJV,mahabad wariors,open,49729,15,1600
#QCCQ2YYR,massive large,open,8224,5,0
#LGVP9RQ0,MHS bois,open,10966,10,0
#R8Y29Q9U,minab royale,open,24704,12,0
#GU0RU8Q2,mini pekkita,inviteOnly,6564,4,0
#G2UPGLUR,nerf miner,open,11822,4,0
#RLR89QU0,nitch,inviteOnly,54220,16,7500
#GLUJGCL9,No learning,closed,54394,22,0
#QCP0V2P0,o2,inviteOnly,56263,16,4000
#R0QP2PRP,os hamudin,inviteOnly,50542,19,0
#GLUYYVPL,panchina storta,open,66152,23,0
#QQLGJUUJ,Papa de Chicken,open,54924,19,0
#QJPC0J9Y,PI KAPPA PHI,inviteOnly,67030,25,2300
#QRRCQL2G,PIA,open,46040,27,300
#G8VV8JL2,PTKA TEAM,open,30046,9,0
#QCLYQJJ0,Quantuz,inviteOnly,20449,10,0
#LGCLYVGJ,Selva,open,40784,23,0
#QVYC2Q9P,SmG Tigers,open,27451,14,0
#LU28VURJ,SOMALI PIRATES,open,81311,36,7500
#G0PRQY8R,spraystation og,open,31666,15,0
#GL0GG2JR,THE YNs,open,92464,42,10000
#RLG9CCUQ,TURAN,inviteOnly,18226,14,600
#RGUCQC0R,turks n caicos,inviteOnly,63443,21,0
#QJL29RUR,U.H,open,50728,22,0
#2PUGPUJ,wedfggggfd,inviteOnly,36055,15,0
#RLP09ULL,wife beaters,open,55724,21,300
#QVVPV92Y,залароп,open,38344,13,0
#GV92V8LQ,сын таджика,closed,11029,4,600
#YY9V989C,ミルクレープで便秘解消しました,open,40203,18,0
#GLJJUQPV,슢셀아주작매칭좀없애주면좋겠다,inviteOnly,21882,5,9000
#GGLLU8L8,우주최강킹왕짱근은재,open,46637,12,0
#G899CY29,CRSA BVS,inviteOnly,23705,7,0
#GYGYPPJV,Demirler A.Ş.,open,21635,12,0
#9R0Q2VR,Floridian Mango,open,14726,9,0
#LY8R8Y9V,New Era ™️,open,17798,19,4300
#QUPC0VJY,ROLEXX PRIVV,open,35703,16,0
#LP90LJQQ,StewysMomIsHot,inviteOnly,32293,8,5000
#P8R2YJGP,سه کله پوک,open,51339,43,7500
