tag,name,type,clanScore,members,requiredTrophies
#LPY9GUJL,2 Person Party,open,99097,48,9000
#GQ228QC2,ALINTERİ,open,1261,2,1000
#GPC892Q9,AntiOrraiCRL,inviteOnly,59786,19,0
#GQCC9QRQ,Aura,inviteOnly,14992,5,0
#RJG9VJ0L,Begum Babapiro,closed,2210,2,0
#GRCR0CY0,Black Clover,inviteOnly,5072,2,0
#YVPPYUVL,BLACK DEMONS,open,93603,46,6500
#GUV82CGV,BrawlStars>CR,open,12034,4,0
#GY9LG000,bsd (RM),open,5546,3,5000
#QVVUQJGP,Casino,inviteOnly,70376,22,8000
#GPRU220Q,CDED｜Team❇,closed,10000,2,9000
#G9Q2RGRC,Chrissi‘s akhs,inviteOnly,65818,21,0
#GYG9JPYU,Clan  #GYG9JPYU,open,56849,15,0
#RU8G90Y8,Cmen,inviteOnly,59861,17,5000
#GCGQ899P,ECEMİ YALARIM,inviteOnly,2092,2,0
#GLCGQ0QU,EMPATIA ROYALE,inviteOnly,35302,13,0
#LRJLR0L8,ESPARTAN-X,closed,88565,38,7000
#GLCPY8J9,ETOILE ET POMME,open,4887,2,0
#R9U0G898,F U R Y,open,94925,50,0
#GQ9JYGLC,FMBY,open,4122,2,2300
#200JJ228,HAWAII,open,99542,50,7500
#82J9Y2Y,Hawaii,inviteOnly,98138,49,5000
#QPQLJR2C,Hawaii,inviteOnly,95918,50,0
#RJU28G,Hawaii HaZe,open,97956,50,7500
#YCRJRGU,HAWAII ROYALE,inviteOnly,99173,49,9000
#VJC2Q0,homewreckerz,open,98016,48,9000
#G9JGY98J,isenpoors,inviteOnly,8784,3,0
#G2YR8982,KIRAN ko klan,open,26819,13,0
#G2C8RQPG,Koffiefeute1814,open,34681,9,0
#RR2RCR9Y,KRL AİLESI,inviteOnly,28385,8,4000
#G29QRPPU,kürtalapbirligi,inviteOnly,53123,16,0
#G0VP0Q0G,La Virgobanda,open,61537,18,5000
#QU2Q2RCG,La Virgoneta,open,90269,50,0
#G80R99JG,Lardosi,open,52679,18,0
#R2GLUGPL,Leonardo1234567,open,1864,2,0
#PQVP8JC2,Les Français,open,60168,19,0
#80Y2CUC0,los locos,inviteOnly,7845,5,4600
#GL9C2GQL,los pros,open,17014,7,0
#GY0GQVYY,LOS TUNG TUNG,open,17273,4,0
#QGRVPLLU,los ñabos,inviteOnly,63856,23,3600
#CQ0QC0,MANA808,inviteOnly,20921,5,0
#G2Y2UL8G,MHR,open,36989,16,0
#GPY9VLRP,monta cerditas,inviteOnly,54570,22,10000
#YGJV2902,Mt_Bowl,open,18996,6,0
#QYY8Q8YR,mummified marsh,open,11759,3,0
#RGCVQRYR,Nación Humildad,open,80337,39,300
#G0RCPPRG,nolynoo92,inviteOnly,32685,18,0
#G9UU9LYL,On mountain 2.0,open,2730,2,0
#R2Q9JQRY,pkles2015,open,8568,3,1000
#QUPGYR0Y,pr3puci0,inviteOnly,60429,19,10000
#QQPGGV88,QuePasaChe?,inviteOnly,74467,30,1000
#GVVCUU08,Rangers d Talca,closed,23571,10,0
#GUPCV0UL,S1B yea,open,53183,16,4000
#QQLGUPQL,saashvath,open,91987,49,4000
#QVUQCULQ,sang,inviteOnly,96323,46,6500
#QVCYRR0L,Sublime,inviteOnly,16782,5,0
#YVRR9GJP,Taint Goblins,inviteOnly,81492,32,0
#GYJ9L0C9,thighunters,open,13223,7,0
#GLRR8J22,tomruk,open,3985,2,2000
#GYCLUP88,TrənDeAraguą,open,18649,6,2000
#RU2UCRPQ,vs gelin olum,open,1530,1,10000
#QGLJ200Y,wild Indians,open,85839,50,3300
#GPVVLQP9,zam,open,8142,3,0
#QCGQJYL8,гуджо,inviteOnly,7334,3,0
#G0Q90J2C,петяпипипи,open,27185,9,0
#QPYJGR09,☆ELITE HABS☆,inviteOnly,41459,12,0
#G0PRGYLC,チ。〜チャンコ運動について〜,inviteOnly,7317,2,7000
#GVV200GL,開示だな,inviteOnly,19379,11,0
#PUQRUVVQ,-Vultures Nest-,inviteOnly,22934,10,0
#CVQPGV,.XFaded808.,inviteOnly,55132,21,4000
#Q82LJ0CV,1:45!,open,50655,22,5000
