tag,name,type,clanScore,members,requiredTrophies
#99UGJQYG,!!!UKRAINE!!!,open,99005,50,9000
#2GGC0Y0C,!!!ПАТРІОТ!!!,open,99803,50,9000
#P9VQGQQC,!RedLine!,open,99956,50,10000
#8CUULCYG,!UKRAINE-2018!,open,99755,50,10000
#90CU9JQV,"""""клан фуд""""",open,98140,46,9500
#2LR9L0CV,"""Angry Cat`s""",open,90725,50,5000
#2UGR08RC,"""ATMOSFERA""",open,93712,50,4600
#QR0JV0,"""don akaden""",inviteOnly,100000,50,10000
#YJ2YPP0Y,"""DRAGO""",open,98331,50,8000
#QU2C2RLV,"""ВЕСНЯНКА""",inviteOnly,93703,41,8000
#ULRJ0Y,"""Живая Сталь""",open,86789,50,5000
#L9CYYCQ2,"""НА ЧИЛЕ""",open,99580,49,10000
#P9R2R8QC,"""РОЯЛЬ""",open,99450,50,9000
#9C229CLG,"""ХроникИ ХаосА""",open,69632,19,6000
#8QVUPU89,"""ЦЕРБЕРИ""",open,92407,50,6000
#2YLVUR8,#1 Украінський,open,99530,50,9000
#PJ9U8UJU,#adidas,open,92455,50,6500
#2JJJ0GJ0,#MaNdArIn,open,97969,50,9000
#R2RR09V0,#Night club,open,97766,50,8500
#8229LQ8V,#RaGe 3,open,91960,50,6000
#Y22Q02PC,#TOP_UA,open,94758,50,7500
#9P9V8UJC,#Tornado_3,open,98692,46,10000
#9JQQ2CQ9,#U.k.r.a.i.n.e,open,99535,50,9500
#LLYRUY9J,#UA,open,99972,50,10000
#YUQPJCJV,#UA,open,99236,49,9000
#YC9Q9GJ9,#UA,open,89555,50,4000
#99U922UQ,#Ukraine PRO,open,98342,50,8000
#8VVUJC8U,#УКРАЇНА В ТОП$,open,99851,50,9500
#RV9CGYRR,$$$,open,7703,3,0
#8QPP2LPQ,$t,open,96677,50,8000
#P88JG2U9,$TITANS$,open,82213,50,5000
#P9YCYJ0L,$UKRAINE$,open,98513,50,8000
#LJJUC8UV,$БАмБУк$,open,42691,11,5000
#JG0L9R,$КИЇВ$,inviteOnly,51635,11,9000
#R22QL0VC,$Київ$,open,14098,4,4000
#G8JPQVU2,$КИЇВ$ 2,open,97212,50,10000
#8LPY9RUQ,$КИЇВ$ академка,open,99257,50,8000
#92LJY8LU,$УкРаЇнЦі$,open,99206,50,8000
#G80Q8PUY,(MPF),open,97093,50,8000
#G0Q0G8UG,(Отамани) UA,open,97898,50,8000
#QGR8CUR8,(⁠✯⁠ᴗ⁠✯),open,98142,46,10000
#2RQQ09GL,***NAYA***,open,97233,50,8500
#L9G8VUVQ,*/ГАНЧУБАС\*,open,86314,30,10000
#P0029CG2,*_*Україна*_*,open,99285,50,8000
#899CCCUG,*lime*,open,82417,50,5500
#9C8C2C9C,*UA FOREVER*,open,96265,50,6000
#8P2RRYLY,*UNITED UKRAINE,open,99853,50,10000
#GY2CUPUV,+18_Ua,open,75000,20,10000
#2YQPVPJ0,+23_ua,open,94035,47,7000
#P002CJRQ,",,--МАНАПО--,,",open,98682,47,9500
#2V809UYL,-- UKRAINE --,open,98544,50,7500
#Q0G8GYU,----Зверь----,open,86319,50,3600
#YQLL2YR,-=КОЦЛЫ=-,open,83279,50,1300
#G00JGC9U,-_-kosmovodnik,open,72925,21,7500
#GCL9CGJ,-ADRENALIN-,open,98861,50,8000
#8CRCPCQY,-LegendaryTeam-,open,93413,50,7000
#LCYGJLU8,-Ne0-,open,97254,50,8000
#LQ9PUQGG,-UK-,open,93943,50,6000
#828LRQ9,-Ukraine-,open,99951,50,10000
#LURUP9L8,...,open,95354,50,8000
#9YRL8GR9,...Марьянка...,open,77907,50,7000
#PGQGRQCQ,.:King of Ua:.,open,99706,50,10000
#8QJRJ9RY,.:King of Ua:.,open,99107,50,9000
#LQQRC202,.:RedLine:.,open,90182,50,5000
#Q8GGPC9C,.:UKRAINE:.,open,74986,21,9000
#LPVVQ28R,.:Z.A.R.A.Z.A:.,open,99592,49,10000
#9LRV0VLG,.Saints Rose.,open,95383,50,10000
#GJ8J20C8,.UA,open,96802,50,6000
#LRG9GLYP,.xxVKxx.,open,98229,50,9000
#PRC2GGYV,/F¯O¯R¯E¯V¯E¯R\,open,99203,50,9000
#RJPRYYV8,048 CITY,open,44295,17,0
#G9LGJG9V,057,inviteOnly,7416,2,0
#GG9GPJJ0,0711,open,81338,50,4000
#PPRY09,0day,open,99668,49,10000
#GCU0P29C,1 взвод,inviteOnly,9559,2,0
#QLLUY2VJ,1 Україномовний,open,98981,50,8500
#LLRQYL2Y,10 Батальйон,open,98815,49,8000
#GL0C8C0Q,10-Б,closed,29057,7,0
#QCR9JCP9,10-Д Україна,open,90766,50,7000
#Q0QVJ2U8,1000-7,open,99419,50,9000
#8RY0UUUR,100CupsOfCoffe,open,99268,50,8000
#GYV9QVYL,101 family,open,83142,48,6000
#LQC9YLYJ,102 Squad,open,96696,40,10000
#QCP8LGV8,10akuva,open,22774,6,5000
#QCCQ8PPY,10з,open,63950,19,7500
#GLCLLLUQ,11,open,30480,14,0
#Q82JRJGQ,11-A,open,82760,44,7000
#RU8CG2V8,11-А,inviteOnly,18026,6,600
#RP9QVPP9,110,closed,6289,2,0
#G2VVC0VQ,116,open,93444,49,6000
#LPGCYLPG,11б,open,87055,47,7000
#R2RPLJY2,1312,open,52107,14,5000
#GPJ0PRJY,135,open,47624,17,3600
#GU2VG9LV,141 айкью,open,8740,4,0
#Q0L82YC8,148 %,open,64069,17,7500
#GY282P89,16.04.2024,open,87360,50,5000
#R2980PCQ,16ПБ/Т23К,open,83678,50,5000
#LQG0JR9P,173 region,open,99272,49,10000
#RVPC98JP,18+,open,37927,11,4000
#GY902VR0,193749,inviteOnly,4867,3,0
#GJCQUG2,19_СанТимеТров,open,98880,50,8000
#GJJQLCVP,1r,open,75089,38,7000
#QYPCPVL9,1UP Ukraine,open,98705,50,8500
#Y8YPYLL9,1XBT,open,84807,50,4600
#Q0JVJ8P2,1ЕП,open,89274,50,5000
#LRQJ002C,2),open,88340,50,6500
#8LVJ0PGY,2-б клешер,open,97330,50,8000
#QP8LULLP,2.Legion UA,open,100000,50,10000
#Q0JJQG08,2022.24,open,99246,50,8000
#QV2PGUYJ,203group,open,97847,50,8000
#RV8G0YL9,21 Esports,closed,1594,2,6000
#R2RUJGG8,220,inviteOnly,4152,2,2600
#RUCVPGP0,220Volt,open,20900,6,5000
#QVRV09LP,221,open,88762,47,8000
#RLUJ22C0,241,inviteOnly,51221,17,0
#G2P9YVCR,25k$,open,98611,50,9000
#GQV2VC90,28/3,open,95608,50,8000
#GVLPJ8VL,2d paradise,open,39125,23,2000
