tag,name,type,clanScore,members,requiredTrophies
#YLPCPV80,!epic gamers!,open,100000,50,10000
#PRYQGVR,!nsanity,open,100000,50,10000
#P8UVG0JP,"""Originals"" II",closed,99884,50,10000
#9R8CYYRU,# ENGLAND #,open,99966,50,10000
#YQJUGUQP,#1 UK,open,99356,50,8000
#20L9P0YU,#44,inviteOnly,98743,50,7500
#L9CYGJY,#76 Warriors,open,99975,50,10000
#2LRCP2L,#aardvarks,open,99769,50,10000
#YLRU0GP,#awsome,open,99345,50,8500
#GLLY8L08,#BeastBros#,open,93604,50,6500
#L2UR9L2L,#BeastBros# 2,open,98834,50,8500
#QJ99C2U8,#british squad,open,99803,50,9500
#8LGRCP2J,#English#,open,98496,50,8000
#QV20UV0,#GolemiteArmy,open,99886,50,10000
#Q2P008,#Iron Fist 2,open,98516,50,8000
#GLVJLU28,#LOGBAITFOREVER,open,5838,4,0
#8YPUG9Q,#Money,open,99685,50,10000
#99R0Y920,#Money 2,open,58348,21,4600
#9C0JURVY,#Redemption2,open,99877,50,10000
#QPCQ8R9Y,#Squa V3,open,75903,22,7000
#8PP8UY9,#SwaggetiCheese,open,94273,50,6500
#QV20QG,#TeamEngland,open,98186,45,10000
#9JUYUJ0C,#TeamEngland 2,open,99776,50,9500
#YQLR0V,#TryHardClan,open,99800,50,9000
#G8GY0JC2,$GOBLIN GANG$,open,97603,47,10000
#G2LGQCCG,$pec Mechs,open,98920,50,9000
#2U2YY8PV,( ͡° ͜ʖ ͡°),open,99871,50,9500
#2V9CPYU,**BEAST**,open,99812,50,9500
#G8R2VJJR,...,inviteOnly,7577,4,0
#QJ0V8280,0.02k,open,96227,50,7000
#G2L8CVJQ,012,open,87947,50,4600
#R00YPVGJ,0161,inviteOnly,11011,5,4000
#QVGCR2QJ,035,open,18029,5,4000
#GYUJ8JRV,05072011,open,3547,2,0
#GPR0JLG0,1 Million Beers,inviteOnly,9640,6,0
#J8PYR8Y,100% British,open,99798,50,9500
#G2QR0G28,100% peng,open,99135,50,9000
#GLRUVUR0,126,open,99825,50,10000
#YPLJRP,1337 Crew,inviteOnly,99697,49,10000
#GPV8992P,1724,inviteOnly,6691,2,600
#J2QRYPJV,1st llandaff,inviteOnly,1406,2,0
#8JPVVY8,1stworld heros,inviteOnly,97677,43,8000
#GYCQ90CV,1v1,open,83416,50,5000
#G9VPCGJV,1v1 lol ez,open,10789,6,0
#GQLUU0V2,2 words 1 man,inviteOnly,14756,4,300
#PJG0Y28,2$!K,open,91254,50,6500
#GY9RQYVY,2-3 boys max,inviteOnly,4069,3,0
#GV8P80QU,2.6inch (cycle),open,27009,9,3000
#GYC980JV,23chromosomes,open,92626,39,10000
#LRRGRV29,2hickey,open,95907,50,0
#JU9JVU,2Smokin'Barrels,inviteOnly,95043,45,9000
#G90UR00G,2T2,open,11983,5,300
#J2LGGQ2L,2v2 lil boi,inviteOnly,4375,2,2600
#GPJJYQVV,3 Brexiteers,inviteOnly,36362,13,0
#G9LLY8RQ,3 CROWN,open,35845,15,3300
#QRPPUJYG,3 pints,open,98409,50,10000
