tag,name,type,clanScore,members,requiredTrophies
#G80YJJGU,#1 Clan,open,100000,50,10000
#GUQQJPL0,#NATEBOYJONES,closed,15543,6,10000
#G8QQUYJL,#Slime MK,inviteOnly,13571,3,5000
#QULQYJCL,#Team clash,open,100000,50,10000
#QC2VU2V8,#WeStink,inviteOnly,10000,2,10000
#GLVUYUU9,$10 apple juice,inviteOnly,1651,2,300
#809RJQL0,$avage$,open,99271,50,8500
#GQYQL2GY,$h1bbyy,inviteOnly,8663,2,0
#PCJYVCRJ,$outh End Gang,open,99984,50,10000
#9VC9YQJQ,$ThePesoSquad$,open,99834,50,9000
#GCGC2LQY,( . Y . ),open,7694,2,5000
#YG0V08YR,(Toxic),inviteOnly,9184,3,0
#QQU80YQV,(um,inviteOnly,13115,3,300
#GPJ2UUQ8,(☞ ͡° ͜ʖ ͡°)☞,inviteOnly,7269,2,0
#G0JPCV9V,***ĻËĞĘÑÐ***,closed,17265,4,10000
#LR8CCULY,*BONK*,open,99783,50,10000
#GYG9R2LV,+chromosome ppl,open,1213,2,600
#GQPVVQL2,...,closed,6364,2,0
#GUPJPCUY,..9,open,9592,2,9000
#RLUULCU,.::GWD::.,open,99810,50,10000
#GYUJ0GRV,0126,inviteOnly,6500,2,0
#Q9CU20VY,101 Elite,closed,8714,2,3600
#Q9QRJY90,154 BKR,inviteOnly,13238,4,0
#28U00GGC,16-bit Brawlers,inviteOnly,99370,49,10000
#80JLJJ88,1776!,open,97424,50,6000
#GQ0GJL0Q,19/16,open,8003,2,5000
#GYGJJLQ0,1x,open,5181,2,3600
#GC90P9J2,2013 heat,open,61887,22,4000
#G9VJGPGR,208,inviteOnly,4597,3,0
#G90CYLQ8,217 girls,inviteOnly,6495,4,0
#GYG9LVLJ,264cssb,inviteOnly,23157,8,0
#RUCPQL9Y,28T32R36U40M44P,inviteOnly,3944,2,0
#Q0UV8288,2MuchRizz,closed,5743,2,3000
#RUYJ8U20,"2rees,n,a,tard",inviteOnly,14836,3,9000
#GPY8GUC2,2v2,inviteOnly,5742,5,0
#QC2CJ2LP,3 bros,open,98538,50,8500
#L8R88RYJ,303_Product,open,9653,5,3000
#GPG9URL9,347 Mafiya,inviteOnly,4352,2,0
#8PUR8LV,3LD3RCL@N,inviteOnly,24724,6,0
#GQGGLQ8V,3pc,inviteOnly,2485,2,0
#GQQPQJYY,420 in paris,open,99909,50,10000
#GRL9L08C,420 OT,open,99226,50,9500
#GR0PLQ0J,420gHoStS,inviteOnly,11422,4,3600
#RUYY8Q98,444,open,6386,2,7500
#R220UGVU,474syjvjtj57,inviteOnly,3012,3,0
#G9VGVRPL,4CE,inviteOnly,21235,6,0
#LUJU82QG,4KT,open,100000,50,10000
#GQYYLU8C,5 de asada,closed,10709,4,0
#R20QRGLL,505,inviteOnly,6371,5,0
#GP0UL9VP,5512,closed,7120,4,0
#G0GYLU9Q,5Ok,inviteOnly,6170,3,0
#GCJLGRJJ,6 or 7 6 on top,open,6965,3,3000
#JJ9GQP,"6"" of Fury",inviteOnly,6012,2,2000
#GPQ2J0UV,6'7,open,6065,3,600
#GLQC0J8Q,6-7 clachers,open,100000,50,10000
#GUP98LQC,6-7_skibuss,inviteOnly,11057,5,0
#QQR0GP82,605sd,inviteOnly,6385,2,0
#GJUJQYCQ,67,inviteOnly,37694,9,0
#GYCPYG9Q,67,inviteOnly,5193,2,0
#R0VRJ0R8,67,inviteOnly,1876,4,0
#RRU20J9Q,67 Clan,inviteOnly,3975,4,300
#GCP80URV,67 gang,inviteOnly,4697,2,0
#R0RUY0QY,67-69-41-21,open,4528,1,5500
#G8LUPPCQ,676767,inviteOnly,13108,5,0
#RVVVJ9VU,67ers,inviteOnly,3290,4,0
#GL89YR8J,67musterd,inviteOnly,1359,1,600
#GU0CGJ0C,6️⃣7️⃣,open,99678,50,10000
#QGUP0QRU,7/11 ballers 22,open,100000,50,10000
#QG9LRYY2,777TH,open,96759,50,8000
#R0YG9820,800tyL1c10u5,inviteOnly,10781,6,0
#QVJ2UCQC,805,inviteOnly,8853,2,0
#L2U9GC2J,808Boyz,inviteOnly,4022,2,0
#8VVGL8P2,808HI Bloodline,open,52821,14,5500
#2Y9J2YL,818SFVREPRESENT,open,88813,50,4600
#GLR2JPQL,8n's Shack,inviteOnly,35366,10,7000
#G2L9CYCP,9/11,open,5384,3,2600
#R8PPL02Q,:),open,5445,6,1000
#RJGQG9UP,:3,inviteOnly,5775,2,0
#GLUPJGRL,<<sv.spawn>>,inviteOnly,11353,4,0
#GP92UUCY,A Dead Server,inviteOnly,8180,2,0
#GUJJP28P,A NATA 011,inviteOnly,59125,19,7000
#QPJVRRV2,A PieceOfButter,open,98970,50,9000
#RJ29PP9J,A+P,closed,2729,2,0
#RP8990JL,A-Team,inviteOnly,1382,1,9000
#QPLURYY9,A.n’P.inc.,closed,10077,3,0
#QRP2CLY0,A7X Enjoyers,closed,7753,2,0
#GCYCRCQV,AanH,inviteOnly,4277,2,0
#GVP229YG,Aberdeen Clan,inviteOnly,5878,3,0
#G8V9Y0QJ,Abort Meeee,inviteOnly,29708,11,1000
#GVQUUPYR,Abrahams,inviteOnly,8276,4,1000
#LCCLQ92P,Abuelos,open,15704,4,5000
#R0PJUQRJ,Accord Of Steel,inviteOnly,18029,6,0
#PC20YGUY,Acemaster,inviteOnly,2076,2,0
#PRCGGUR,Active Clan,open,99893,50,10000
#9CCJJRRG,Active Clan Up,open,99929,50,10000
#2RRV9YUU,Active Clashers,open,99630,50,10000
#QRC8C20P,Active Society,inviteOnly,27399,6,1000
#LUR8GG9U,Addicted 2 L2W,inviteOnly,88873,34,7000
#QYYCUPRR,Addicts,inviteOnly,4618,4,0
#RCU88UUP,ADHGang,inviteOnly,26506,10,0
#GLRC9LPU,ADM,open,8668,5,2300
#89JR2J,Aegis Legion,open,97214,50,8000
#GL8PPRVG,Aegis Shard,inviteOnly,2804,4,0
#GQR98JPY,Aesons,open,99678,50,10000
#YV8YGRUQ,AFTER HOURS,inviteOnly,20189,6,5500
#GQYVV9R8,Ag Class Demons,inviteOnly,3481,4,0
#Q0YUGCP0,AH AH AH,inviteOnly,11460,3,0
#RCCYVL0C,ai kings,open,6863,3,300
#QLVULVCV,Aigis,inviteOnly,4089,2,0
#QRGGP288,Ajai Fc,inviteOnly,24511,7,5000
#QJ99C92G,Alans clan,inviteOnly,14892,5,0
#G9QJ8CUG,Albino beans,inviteOnly,7504,5,1000
#QVRUGR2L,Aldenschtetoes,inviteOnly,18219,11,0
#G9J8C9YL,ALL IN,open,97919,50,8000
#J2PV8P8Y,All In,inviteOnly,2138,2,0
#QVCVGP28,All On Black,open,100000,50,10000
#LRL2QRJQ,All-Stars,inviteOnly,52317,14,6500
#GPLVVJ0Y,ALOT of Clash,inviteOnly,59105,19,0
#QV9V9CPJ,Alpha Anubis,inviteOnly,46868,14,0
#LJU0QP0L,Alpha Pack,open,99968,50,10000
#JCGQRJ,Alpha Squad,open,98998,50,8500
#GY0C0V9C,ALZ Heimers,closed,13946,3,0
#RC0RQLV9,Am,open,2524,2,1600
#GU8UPUJ2,Amdricasgreatis,inviteOnly,5259,2,0
#G902YUR0,amogus,inviteOnly,14197,4,0
#GL9VYGQV,Among Us - CR,closed,15796,4,300
#GQQPUYRL,An Teaghlaigh,inviteOnly,4429,2,0
#RCY0JRGG,and Associates,inviteOnly,52913,23,0
#G9UJPRLG,Anderson clash,open,4614,3,1000
#GP8VPPJQ,Andrews,inviteOnly,12547,4,0
#GUUU8C08,angles127,inviteOnly,5595,3,0
#RJJ0CPGV,Angstin,open,3270,2,1600
#QVLVV8QU,Animalistic,inviteOnly,10000,2,0
#GYJLPGV2,Anita shave,open,6831,2,5000
#R22VGUVG,antgoatedteam,inviteOnly,4627,4,1000
#RCQVGG89,antigoblins,inviteOnly,18141,4,0
#R22J2RY9,antisemitism,open,8074,2,5000
#RYCC9LQ2,Anttss,inviteOnly,12488,5,0
#GL8V8GGL,AOENIAN,open,31113,20,1000
#G0UUUV9G,Aogiri,inviteOnly,16330,5,0
#LPJCQ9LJ,Apex Predators,inviteOnly,34931,11,0
#LPPYR9GP,Apollo High,inviteOnly,20368,5,0
#C9RGVG8,appleciderdonut,inviteOnly,14100,4,0
#G9PU0QCC,applepie,closed,5943,2,0
#2QY0G9J,ArchAngels,open,25726,7,4600
#LY9CPC90,ArcticWinners,closed,8680,2,5000
#R2LQYP0Q,ardanın annesi,open,12359,5,0
#GPPJVC9Y,Ardella,open,1930,1,5000
#GU89RPUQ,are jew serious,open,28257,8,7000
#99Q2PUCR,arena boomers 2,open,85218,50,5500
#RVUY00CY,AriZona130,inviteOnly,4870,2,0
#G8G8LR9G,ARLTR Kkashers,inviteOnly,1102,2,600
#VGR89RJ,ARSENAL,open,99943,50,9500
#8LURQC,ArtOfWar,open,31077,8,7000
#RLPCU90V,Asasino,inviteOnly,10190,5,300
#J0C0Y8G2,ashburn 14u,inviteOnly,1940,2,1000
#RG02CQLC,Asian Gng,inviteOnly,11180,6,0
