tag,name,type,clanScore,members,requiredTrophies
#QCUCRVLY,#ERDLC ROYALE,open,87382,50,4600
#9PQLGYJ2,#Uruguay2018,open,67565,19,7000
#J2Y2PQPV,(:,inviteOnly,2572,4,0
#G9PYYJPJ,(LUJ) CLAN,inviteOnly,11487,6,0
#22LQLU88,--Genius--,open,28372,8,5000
#R20CG8QP,. L Z S . 2.0,open,11132,4,3000
#RGR02JGY,..,closed,22111,6,300
#RJ9PUPCU,08,inviteOnly,4791,2,0
#LY28RGLL,1 nova uruguay,open,99232,50,8000
#G9CUY0LC,11/06/25 P+C,open,7859,3,0
#GYJRGL9J,1★11,open,27271,11,1000
#RUC982CU,2014 LA VIA,inviteOnly,14477,6,0
#RJVQLR8C,2c2,closed,12763,4,0
#RQ2L2LQ9,2v2,inviteOnly,7412,2,1600
#GU0J28P8,2v2 gil,open,5146,3,0
#92CRG0QV,33 orientales,open,90623,50,4000
#UV2V2L,3Millones,open,97583,50,6500
#G8L92PLR,4 vs @ll,open,89912,46,6000
#LUQPC9J2,42 NSA Crew.,open,64638,20,1000
#GL8LCPRY,420,open,85568,41,5000
#RJRP8PJQ,4372,open,29259,10,0
#RLPJ02YU,4NT1G0RD4S,open,54305,18,5000
#G2PQYU0G,69 SIX 7 sur,open,15943,15,0
#LVY8P2VV,6DB5,open,82960,50,4000
#RJGYJJ0C,6to 25,closed,5184,2,0
#R2YGV2Q9,7.7 los goats,inviteOnly,18091,12,0
#QVU29ULP,77,open,97834,48,9000
#GYCGLGPP,7D,open,5507,3,1600
#GP2C9RGR,7mo 1,closed,22580,13,0
#GY9GUV2U,7mo 3,inviteOnly,11702,5,1600
#RRUVUGQ0,7mo 5,open,1622,3,0
#GQ2YPRLJ,7mo2,inviteOnly,8379,4,0
#G2RGLP20,7mo4 el mejor,inviteOnly,25591,13,1000
#GQUQYPVU,7mo5,open,15096,11,300
#G0RLV2UL,888,open,76989,50,3000
#J009UU99,8TRANSMISIÓN,open,62463,18,6000
#G9VP2LL2,8vo 1,inviteOnly,20194,10,0
#GP22C2QU,8vo11✌️,inviteOnly,14125,5,0
#G9YJGC98,8volic7,inviteOnly,43598,19,0
#G28PGV2Q,8°4,inviteOnly,45950,23,0
#RYCPLU0J,9c,open,92214,39,8500
#GR2CQU2Q,9no4,inviteOnly,13021,8,1000
#GYQL8CGJ,9Z Team,closed,10931,4,0
#QCGQVLLU,@@:uruguayos:@@,open,91215,50,7000
#QC2LVJRG,a lo baraja,open,94080,50,7000
#RQVC8PQ0,AC,open,4506,2,2000
#QVYP9YV8,ACE,open,97285,49,8500
#G0VLJCCV,ACJ,open,87077,34,7500
