tag,name,type,clanScore,members,requiredTrophies
#PRRRLJ8,$Tashkent$,open,89741,50,4000
#PYUVQ80R,-ARES-,open,98488,48,9000
#CPV2YQL,-ARES-,open,98321,50,9000
#Q0Q2JYGP,01_TASHKENT,open,93592,49,7000
#GQLQR09U,2093,open,84791,50,5500
#G8JP9928,23-09,open,54234,18,1600
#GJU998P2,51школа™,open,48896,18,4000
#GGC8JVYG,777,open,88309,33,7500
#J2Q8UCCG,_UZBEKISTAN_,open,87737,34,8000
#GCY8G2LU,A-Team,open,80414,42,3000
#YQ9PP9V0,A.T.S.,open,92180,45,7500
#GPP9Q8VC,AFK Legends,open,25191,16,2000
#G88CJ9JV,ai-pay mamyedal,inviteOnly,35590,10,0
#GRYY2VJQ,ANDIJON,open,92107,50,7000
#PJQP89GV,Angren CITY,open,91020,50,3000
#P2QPJPL0,ANGRY KINGS,open,96576,48,9000
#G0RL22LU,AntiEffect,open,96669,42,9000
#GGLLUUU2,BatLivesMatter,inviteOnly,89901,50,0
#R9JGYCUP,BEKCKAN,open,97853,50,8000
#PLJC0090,Beruniy Xuligan,open,87238,44,8000
#J22RPRVP,besy,open,36537,13,0
#Q0VULYYY,BLACK GUARD,open,94970,50,7500
#GYC08UJ2,BMU,inviteOnly,15694,4,7500
#GCG2PC02,Brainrot team,inviteOnly,45927,21,1000
#GY8J829G,Bubble Corp.,open,4309,2,0
#G0G9QLP2,Bunyodkor,open,91278,50,6500
#GLLGV9PY,Buseedoo,open,88702,50,3000
#RJCP0U80,car haul atlas,inviteOnly,6094,3,1600
#RRLJJRRP,CBTIS 44,inviteOnly,17588,4,0
#GL809VVY,Champions,open,36206,16,1000
#QGLP20LQ,Cheef Keef,open,90611,50,3000
#QU92RGLG,chiroqchi city,open,99368,48,10000
#Q20RRVL0,Clan War Uzb,open,95749,50,7000
#G8GQYL0C,Clash of Tashke,open,93412,49,7000
#GQPLQ9PR,CLASH ROYALE,open,100000,50,10000
#GGCY2VRU,CosaNostra’s,open,97400,47,8000
#YG9CU0UC,CS GO,open,93851,41,9000
#R9CQUVYP,DAGGER [GG],open,87776,39,7000
#Q0VRQRUJ,DAMINATOR,open,98746,50,9000
#QCR0Q280,Dexamethazone,open,92071,50,4600
#L9VP92UV,Difuz Dura,open,96642,50,8000
#QG98LYUG,ESKI SHAHAR,open,63517,23,5500
#LJ02LVL2,Evil,open,93451,46,7500
#GLR9VJJL,FaMiLY PaRK,open,96323,49,8000
#222U8VU,Fanatic,open,99415,50,9500
#G2LYV8QV,Friends UZB,open,99727,50,8500
#G29UCQPJ,Friends uzb,open,99330,48,10000
#QJ2LC22J,Friends uzb 2,open,98080,50,10000
#GYLRGYQG,GI GANG,closed,54016,25,0
#2Y9LJY8,GOLD CLAN,open,95521,50,7500
#2RU8U02V,Gold Samarkand,open,96377,46,7000
#RGR9YCJC,GOONMONEY,open,40691,11,0
#GQ098UCJ,Grizzly,open,94633,39,10000
#G92C8U8J,IBROHIM2015,closed,3498,2,0
#RJQ0L0VU,jalab,open,5649,2,3000
#QCG2RU29,JEWELLERY UZ,open,93844,47,8000
#28QUCRV,JOMIY UZB,open,93953,50,5000
#289VG288,K.A.W.,open,96899,49,10000
#Y2G09P98,KANDYM ARMY,open,92766,43,9000
#QU0YU0JC,Karakalpakstan,open,93276,46,9000
#GP0LLGP8,kiber sport2014,inviteOnly,3654,3,300
#R2UVVCYC,KZ_TOP4IK,open,9074,4,0
#QCQP29GL,Lake,open,94262,44,9000
#QCRLVVP8,Lakeview Goons,open,98704,49,9000
#R2G090PY,Leftovers,open,49658,15,0
#8GPJ9GC9,Liga Pirates,open,98505,50,9000
#QCJRGCYV,LIT ENERGY,open,78164,50,3000
#GLVLL0RL,Lyceum Gopkino,open,36331,18,600
#QVVQ9VLQ,Maxalla 2/1,inviteOnly,51692,12,10000
#LR9JVQJ,MONSTER,open,93853,50,4600
#Y20V0PQP,MONTANA,open,96225,49,8000
#C2PUY2,NAMANGAN UZB,open,88819,50,5000
#RCQRURV0,Narko Shop,open,38637,14,3000
#P8UP9GP,NEW TASHKENT,open,69786,24,5000
#GYJUP0RY,New Uz,open,83598,50,7000
#YLL2L98L,NJR,open,85935,50,3000
#QU0YYL2R,no mercy,open,90460,45,7000
#P99CY808,Nova I Toshkent,open,90295,37,10000
#9PQ89VV,Nova l UzB,open,90500,50,6000
#CG09LJ8,Nova Uzbekistan,open,94890,50,6000
#PC0PQLRP,NOVA | UZB,open,81653,49,4000
#J28GU8RG,odil,open,30119,9,600
#GG2Y0Y2V,olymp,open,96825,50,7500
#GUYGLJY2,Original name,open,62662,17,6000
#QVCG009V,Oʻzbekistonlik,open,76297,48,4000
#GLGC28U8,Piskent N1,open,86155,50,6000
#GP9LQYPP,pisunchiki,inviteOnly,3456,2,0
#G9Q09CVR,Ps,open,3662,2,1000
#9QUP2GPU,QIROL,open,87261,50,4600
#GJYYL0UP,Qozilar n1,open,81690,49,3000
#Q0UVJ00R,raysentr,open,89275,48,5000
#GC8Q0LC9,REMEMBERME budi,inviteOnly,7540,2,5000
#GU29PCVR,Rio de Janeiro,inviteOnly,6351,2,3000
#RQJLR920,Royal Siren,inviteOnly,7587,2,3000
#RLC02QGC,Royal Swordsmen,open,90107,50,7000
#Y9GCURJ2,Royale Kings,open,98072,48,8000
#LVLLUC9V,RoyaleHub,open,89910,50,6000
#9U008Y8,RuSSiaN BeArS,open,99875,50,10000
#L9UCRQYJ,Russian Bears 2,open,89111,46,7000
#GLQL0RYG,SaDiAnAz,open,6324,2,6000
#9U8G2VVQ,SamaRKanD,open,99212,49,10000
#G8JR98U0,Samarkand_N1,open,95024,50,7500
#YR8UCJYV,samarqand sity,open,79054,49,2000
#LQ2VQGR2,sano team,open,94131,49,6000
#G8VQLVGL,Sepki city,closed,27945,8,10000
#RJPG2PQR,siblings,open,13394,8,2000
#QLC9Q2RG,Siks boys,open,91176,46,9000
#RULJPY2J,Sinfdoshla_2010,open,6687,8,0
#GQQ0GUPV,Sirdaryo,open,5323,5,0
#GVGUPJCY,siskastie,open,44498,14,5000
#RYGJVYCY,SIUT HUNTERS,open,41644,12,4000
#LG98L8QG,SnusPOWER,inviteOnly,87276,39,9000
#GPGRQY2,Tash-sity,open,68427,29,4000
#YJVGGC0P,Tashkent,open,98611,49,9000
#QVU0RJ,Tashkent,open,95510,50,6000
#9C2CVJLR,Tashkent,open,95458,50,7000
#8RGUQQCG,TashkenT,open,92237,50,6000
#P2029PGG,Tashkent city,open,94935,50,6500
#LJV0888U,tashkent city,open,91109,38,7500
#G2YJ0QGL,TASHKENT CITY,open,79184,37,5000
#PCQY20P2,TASHKENT.TM,open,94845,50,5000
#G98LG99Y,tashkent2025,open,99800,50,9500
#QCJV8GU9,Team_Kasansay,open,68604,45,3600
#QVUY8CV9,TeenWolves,open,36650,10,5000
#YJ0J02VU,TH᯾LZ ™️,open,90804,39,8500
#9QCQPLG,TIMURLANG,open,97149,48,9000
#GJ0UJQLY,Tootgang,inviteOnly,46895,16,1000
#P0LRYRV2,TOSHKENT,open,97721,50,7000
#LRJUR8QQ,ToshkenT,open,94283,50,6000
#20L0RCP,Toshkent,closed,83730,32,5000
#88RG02LC,TOSHKENT CITY,open,96845,50,6000
#PUQJG88J,TOSHKENT SEBZOR,open,97590,47,10000
#VUR0RG,TOSHKENT_N:1,open,96364,42,8000
#GQG2U888,U N I T,open,8328,2,0
#GPJCJ2U8,UnderRicked,open,10261,3,8000
#88GYQRQP,Unicorn,open,52350,18,5000
#RR2YV9CG,USBkistan,closed,24995,8,0
#QCYGJQQG,Usturt,open,66361,18,7000
#QPQYGYC8,Uz IMPERIAL,open,94174,48,7000
#YLRRJQ2G,UZ NAZARBEK UZ,open,90779,50,6000
#LVQ8UCJP,UZB,open,99690,50,9500
#QULVU9C8,UZB,open,94129,48,8000
#Q8U8U8LQ,UZB,open,91791,50,4000
#Q0UCCUP2,UZB,open,90778,50,6000
#LPVPR8QR,uzb,open,88481,36,7000
#YJG098GU,UZB,open,83913,50,4000
#GGQC8UUG,UZB,open,82656,50,3000
#GVP9RJ2C,UZB 01,open,99372,48,10000
#G0Y8LYJL,UZB 1,inviteOnly,98432,45,10000
#QJLPJRGJ,UZB ACADEMY,open,86258,42,5000
#LV2JJCVU,UZB CHAMPIONS2,open,89282,49,4000
#GYYP9JR0,UZB CHEMPION,open,84850,30,8000
#GR0JC929,UZB CLAN,open,85179,48,5000
#V9LRYY,uzb clans,open,87401,50,5000
#LPYUVQ9U,UZB N1,open,87425,50,5000
#YLQJ0YG2,UzB TASHKENT,open,90247,50,5000
#PY20G8U9,uzb uzb uzb uzb,open,98303,50,8000
#GC80VGP9,UZB-01 Qaytdi,open,98200,44,10000
#820LJVYJ,UZB.TASHKENT.N1,open,89065,50,3000
#GGRVL8CU,UzB_Tashkent_Ac,open,95075,50,9000
#LR0LCPQU,UzB_Tashkent_№1,open,92751,46,8000
#R2PULCQ0,UZB_TEAMS,inviteOnly,2494,3,0
#YU9G8R82,UZBEK,open,95762,43,9000
#QJ9CYJR2,Uzbek,open,93587,50,7000
#L08CCGCL,uzbek,open,87451,50,6000
#L8008U09,Uzbek,open,83384,37,7000
#LP88PQ09,Uzbek,inviteOnly,77085,25,8000
#LV29R9U,UZBEK BOYS!!!,open,88105,50,3000
#2Q0J0JR,Uzbek Clash,open,91299,50,6500
#P2YYP99,UZBEK EMPERIYA,open,97961,47,9000
#JVRY9C,UZBEK FORCE,inviteOnly,22392,6,0
#YPY880UQ,UZBEK LEGENDARY,open,81496,50,5000
#PVJPRQ2L,Uzbek Lions AJA,open,88134,50,3300
#QV9VRQ28,uzbek mangit,inviteOnly,71082,22,2000
#8J0J2L,UZBEK MEGA,open,91127,50,7000
#QQ0P8QVG,Uzbek Sila,open,94713,49,8000
#Q08PGGCL,UZBEK SILA,open,69503,50,1600
#GL8QRCQV,Uzbek1stan,open,8524,3,5000
#2L8LJQG0,UZBEK_TIGERS,open,99270,49,10000
#29R9PLR,UZBEKISTAN,open,98234,46,10000
#YR8GGYRG,Uzbekistan,open,96703,42,9000
#89CCCLCR,UZBEKISTAN,open,94191,49,7000
#QGUL92VR,UZBEKISTAN,open,94154,39,10000
#9LJ8UJ20,UZBEKISTAN,open,93383,50,7000
#Q8C9GQ9U,UZBEKISTAN,open,84650,48,7500
#L8082J28,UZBEKISTAN,open,69838,31,4000
#QGJY9GP0,UZBEKISTAN #1,open,77041,48,4000
#QVJVLVR2,Uzbekistan 01,open,89991,50,4600
#QV2URVPC,UZBEKISTAN 77,open,75243,50,3000
#G008PCUQ,UZBEKISTAN 90,open,95771,50,7000
#Q9YVYR98,UZBEKISTAN ELIT,open,100000,50,10000
#RL02QCU9,Uzbekistan Elit,open,99296,50,8000
#GVJJV2QU,UZBEKISTAN N1,open,92096,50,6000
#G9C9G8PV,UZBEKISTAN SILA,inviteOnly,40238,9,8000
#LV9VVV20,Uzbekistan_king,open,80317,50,4000
#QCLLPLUP,Uzbekiston,open,94056,50,7500
#L82LQ8UR,UZBLive,open,96014,50,7000
#GJCJQ90U,vut,open,2824,2,4300
#P0LRRQ9,WICKED SICK✨,open,92055,50,5500
#LVV900P2,winers,open,32757,13,2000
#GQ02Q0PL,XOXOL TEAM,inviteOnly,18373,8,0
#L9G88L9L,X•WARRIORS,open,87200,50,1600
#GQV9P2PP,YAXOWKA,open,88659,50,7000
#GYL8GJ0J,YouTube:ZT alfa,open,2089,2,1000
#GLLPU98G,zzzzzzz,inviteOnly,12447,3,7000
#Q29UURGJ,битва за трон,open,92882,47,6000
#2C2G8CC2,БРАТЬЯ НАВСЕГДА,open,89020,46,8000
#JULJRUL,Бухара,inviteOnly,91426,38,7000
#QLQV08RV,Великий чел...,open,89029,44,6000
#PVG2RG8R,Воин,open,92363,50,5500
#GQGVUY29,джентльмены 01,open,16179,4,0
#GUV0P9JL,Добрые люди❤️,open,52126,50,1000
#P2VC8PPC,Донатеры,open,99968,50,10000
#990PQGL,клан друзей),open,92396,50,5000
#Q0ULVRRP,Клан:  #Q0ULVRRP,open,88071,36,7500
#QU92CCR2,кэнчана,open,72250,39,4600
#GJ0UGCJ,Ледяной Бастион,open,21807,6,4000
#YRYRUJ0C,МК,open,95116,50,7000
#2CVGC9Q,НЯШКИ,open,98621,50,8000
#RJY0Y2GJ,окак,open,3270,1,0
#QYQULJGP,Правительство,open,96710,47,8000
#GJUJ8LJ2,Приматы,open,96753,49,10000
#2LCG8CQ,Самарканд,open,99686,50,9500
#Q0LQGJQG,Самарканд ✔️,open,90784,50,6000
#R2GUVG8V,Сасалбеееки,inviteOnly,7069,4,0
#GYP80JR8,семья клеш роял,inviteOnly,1870,2,0
#2RYPPV00,Синяки,open,26578,6,10000
#82C0QJG,Славные воины,open,99704,50,10000
#GY2R00G0,Т°$k€нт™,inviteOnly,85378,37,7500
#LY0P9GPQ,Ташкент Сити,open,86209,36,7000
#L2L2PL8J,тошкент 100% уз,open,98029,47,9000
#LPGL9P,Тошкент Мафия,open,41507,9,7000
#PV8P9RP,Тошкент.uz,inviteOnly,7333,2,6500
#QGYVLQU8,Тошкентим,open,90403,50,6000
#GPGLQL0Q,тупая эльмирка,open,20706,10,3600
#YQ2P0J22,УЗБЕКИСТАН,open,99146,49,9500
#99RPCCQG,Узбекистан,open,87506,50,2000
#QPU80LYQ,Черти,open,85127,46,4000
#QYC82UUL,舎弟兄弟姉妹イマソカリ,open,24570,6,3000
#GLGVCV09,!!!!!,open,46852,14,4000
#G8V202LU,"""Almalik""",open,33004,50,0
#9C2J2Q9V,"""UZBEK"" players",open,77868,49,4600
#QP8P8YQ2,$$$САМАРКАНД$$$,open,75509,49,2300
#R0C99QLV,$$JOHA08$$,open,41578,50,0
#22RUCUUU,$$Тошкентим$$,open,48000,16,3600
#QG92GY8,..Asia..,open,63135,50,1000
#PJPVRCLJ,.U.Z.B.,open,55592,31,4300
#Y8URCU09,.UZBEKISTAN.,open,50670,49,3000
#RYL8YRJV,024,open,67975,50,1300
#LJR0089R,1-may,open,78674,50,5000
#QVVJGQP9,10Б,inviteOnly,50419,18,6000
#QQ00RPQG,1k a la basura,inviteOnly,20005,5,9000
#RP8JCJVG,202・FAMILY,open,83235,50,4600
#RR8C8ULG,204 school,inviteOnly,43137,20,0
#YRQ0889G,2х2,open,61627,48,2000
#RQYRCR9C,4 0 4,open,42781,50,0
#GYYLCV99,4-skin,closed,2801,3,0
#Y9UV8QUY,50 KINGS,open,43154,16,3000
#G92YRPVL,69 masters,open,82853,50,3000
#Q0CL2J9Q,712.uzb,open,8877,3,9000
#QUCPUJLY,8B MUNIM,inviteOnly,55957,26,0
#GPJC0J09,90,open,51325,23,600
#LV9QCR0R,<UZ_PRO_GAMING>,open,59915,43,4000
#LRJLJ0GV,_Black Warriors,open,84522,46,6500
#G9U08UP2,_UZB_,open,70391,50,1300
#QPC2VGQ0,A3A4 TEAM,open,30305,50,0
#RPQVQQL9,Aaaaaa,open,33652,50,0
#LVRJJR9P,Abadiyat,open,53164,50,1000
#GQJYUURP,abdr,open,66970,33,2600
#G2J28VU0,ABU,open,30576,50,0
#R0JU8892,adol.stali.omon,open,9172,7,300
#QU9YQULU,aesthetic_gym,open,36790,11,4000
#G99UPLRP,AJR KARVONI N1,open,47301,40,1300
#QVJR922R,alexbendos,inviteOnly,63622,20,0
#GJL02L2Q,Ali,open,35891,50,300
#QRGCY9VJ,allah’s palace,open,50126,50,0
#8V08CL8Q,ALLIANCE,open,49903,50,0
#QJRLPCGU,andijon,open,89957,50,6000
#28UJV92,ANDIJON,open,29865,50,300
#GVGGLP0Q,Angren™,open,31723,50,0
#G2UGYP2C,arrowverse,open,20638,12,2000
#LUC9LLQP,Asalim,open,72018,50,2600
#8URQ9RV2,AscenDant,open,44297,50,1000
#G8Y9YRRY,asianfeetlovers,open,33425,10,4000
#RQ8YV99J,Atamanchik,open,38249,50,0
#LGYRCYLV,Atnaf,open,35897,16,2000
#RVJCQ9UY,AzikBoom,open,12072,5,1000
#GQLC2CYJ,Ba11z,open,84817,41,7500
#LUR99J9U,BARCELONA,open,70298,50,3000
#Y2VLPVUV,Barts Clan,open,54606,50,2000
#QVQC8LR2,Baxtli bo'l,open,52728,26,1000
#GPV928Q9,bek,open,61701,50,0
#PP0UVR9Y,BEKO,open,70431,50,300
#8UJG0Y2C,Beruniy_uz,open,91465,50,6000
#QPLVJG98,BEST CLASHERS,open,85690,37,8000
#290RPC0Y,Best Tashkent!,open,80101,50,1600
#JGRJ9C0,Best-,open,75915,50,3000
#G8CGPRV9,BILLIONER VIBES,open,79491,49,2600
#QC9JGY2P,Bir kuni,open,85029,49,4000
#QJLLCUYC,Black Clovers,open,72124,50,3000
#QRLUPU9C,BLACK EMPIRE,open,70583,49,2300
#88YLU20,BlaCk StaR,open,76840,50,1000
#LRRJPRJC,Blinding Legend,open,76587,47,2600
#G9GVC80J,blood boys,open,24035,14,1600
#R98QL0GL,bomboclat,open,59643,37,2000
#GQJY280R,Bomeben Werfer,inviteOnly,15337,8,0
#GPJLPCU8,Borilar,open,12151,4,1000
#L8GRPLR9,BRAWL ROYALE,open,62627,50,1300
#L0Y0QQG8,BrawlNite.Exe,open,59977,42,2000
#G0ULV9UL,BREND BURGER,open,80279,50,5000
#GL82202P,Bro,open,28845,13,2000
#GCP0V2VU,BROS,open,11475,13,0
#GQPPCPCR,BSq Impery,open,72145,37,5000
#QUL0VQUV,Bukhara,open,52344,50,1300
#RU090C2Q,BUKHARA 701,open,19551,20,0
#GVCU99L,BUKHARA BEST ✌,open,85410,39,7500
#LJ0PUVVG,Bunyodkor,open,22273,50,300
#C9U2RQP,burning legion,open,93350,50,6000
#PGUJQCC9,Buxara,open,10190,20,0
#RPVJ8JC2,Buxoro,open,40701,50,0
#QJ0RGQLU,cafe de sleutel,open,49632,15,3600
#RY82LPPL,CAPITA,open,9806,9,300
#GY8GJPLP,CAU,inviteOnly,75064,30,0
#20QU8YJ2,Centre Lavash,open,83565,50,5000
#8J8YRYYU,CHAMPIONS,open,85009,50,3000
#R99L0R0L,Chempionlar,open,74131,50,0
#G8RQVCRG,chikki chikki,open,34442,49,0
#QVLQY2Y0,Chill,open,22042,9,2600
#VG8CL9J,CHIRCHIK,open,31862,50,0
#U0UUQQP,CHIROQCHI ELITA,open,86685,50,4000
#QLL0LQ90,CityChessUz,open,75147,48,7000
#2G9UQJR,"Clan ""Victory""",open,79224,50,4000
#GP2Y80G0,Clan #GP2Y80G0,open,78023,34,4000
#PP0RP82P,Clan #PP0RP82P,inviteOnly,63337,29,300
#QUR0GR0R,clan clash,inviteOnly,59688,22,5000
#QPPJL08C,Clan Of Mitan,open,77575,50,0
#Q0Q0Y82,Clash Champions,open,43417,50,0
#P8JG2GQJ,Clash of noobs,open,33528,50,300
#GG02VQ,Clash на рояле,open,48741,50,1300
#G2YQ09UG,CLASH-T-O,inviteOnly,49770,15,300
#GU0RL8V8,Clash97,inviteOnly,23331,6,0
#G2RG89CV,Clã #G2RG89CV,inviteOnly,39385,16,0
#2PU8UYRU,cmi,open,76408,50,2000
#GCVRVJGL,COOGIES,inviteOnly,44994,12,0
#QG009JVR,CR LEGENDS,open,89033,47,5000
#GUUCL888,CR team,open,53035,45,3000
#RQV9P0GJ,Crickets,open,18733,7,1000
#QLPGL8PC,CRUZB,open,88276,36,7000
#9U082J0,CS GO,open,88239,50,5000
#GJ8UPJC2,Da Goats,inviteOnly,34849,13,0
#PRRGY8LY,DacFem™,open,39199,50,1000
#R0QPJLRU,daminial,inviteOnly,14924,9,1300
#LPVC920Y,dapogchamps,open,75248,36,7500
#RR0LJJP2,darbesh,open,21120,17,0
#LQLLUCCV,Dark Prince Uzb,open,84635,47,9000
#LYRJ8QRC,Dark_Emperia,inviteOnly,16707,5,0
#QCJQJGYG,dc FAMILY,open,20575,50,300
#L890PR9J,de pilsvogels,open,81383,40,0
#G020URU8,DELUXE⚡UZ,open,78252,50,3000
#Q2VCRJ2P,Destroyers,open,74307,50,4000
#QGC0CV0P,Dik228,open,29284,10,6000
#LUGVJQUU,dlya drujeskix,open,69382,32,2600
#R898GJ0L,dokon oldi,open,57808,15,7000
#GCG20LVL,Donat uchun,open,27068,50,0
#QY22QLUJ,DreamTeam,open,50587,50,0
#RQGVYGQ2,Dunix Kimyo,open,53355,29,0
#R82UVYLP,eatenwifi,open,331,1,600
#QC0LVCCR,ELD,open,20267,7,6000
#GRGRUGCC,Elmus7,open,79845,40,6000
#LUVY29YG,empire,open,33468,36,0
#G2V82QYG,enanosmosquitos,inviteOnly,66685,27,0
#R2G8GVJP,EQUINOX,open,47138,50,0
#R82JRP8P,ESPADA,open,73510,50,1600
#RQQ0ULJJ,Estemna,open,32526,34,0
#G88PPVV9,Estic 112,inviteOnly,42910,19,10000
#RPQV08P8,Exuberante,open,31527,50,0
#GL888G9G,fadder,open,49851,50,0
#QYY2UU89,FerFerro,open,75927,50,2600
#GR20QJLL,Fettuccine nere,inviteOnly,74658,30,4000
#Q0RP20UG,FF,closed,22077,9,3300
#RG8UUVJJ,fortnight,inviteOnly,41770,12,10000
#LG0Q082Q,foulek,inviteOnly,35853,10,5000
#GYP9R8PG,Friends UZB,open,82418,30,7500
