tag,name,type,clanScore,members,requiredTrophies
#QJ0JC0GJ,.OLIMPA.,open,61261,24,0
#YRYVJJ,25+,open,93859,50,7000
#G020G2V8,A Cooperativa,inviteOnly,90839,47,5000
#QVUGR9JQ,A Lunch,open,97255,49,8000
#G9YUYQ9Y,adictoalcrimen,open,22360,6,0
#RRRGJUUJ,AF,inviteOnly,4388,3,0
#QVYUCU0C,ALLAH YOK,open,94470,50,7500
#GVP0Y8PL,amor,inviteOnly,18051,6,10000
#QVRY98G2,Andrew Yeah,open,93867,50,0
#GYR2RJ,Aparcao!,open,94579,50,6500
#QG29P0C0,Apostles,inviteOnly,49643,15,0
#GPYCU980,Aura Moments,closed,5405,2,0
#QV0R00VC,BADDIES,inviteOnly,94026,49,7000
#QYC0L992,BiggerThirdLimb,inviteOnly,64268,19,9000
#RPCVCVQQ,Blasphemers,open,68339,22,5000
#GCQLUP99,Bo Bun Hue,open,6665,2,5000
#GCPJLV0R,Bobaski z 1eT,inviteOnly,55363,17,0
#GCJ0GJP0,BOSS,open,7931,4,0
#RLCGVUR9,BP n CP,open,22693,6,0
#QVCJ2GP8,Bro respeta,closed,18738,4,10000
#89CVPC,castel giuliano,open,96894,47,9500
#29Q8YGQ,Catholic Faith,open,91161,50,2000
#22908,catholic knight,inviteOnly,98802,50,4600
#28RQ2VL,catholics unite,open,93941,49,600
#G9RYUVRQ,chudtopia,open,31259,10,0
#GQLUJG2R,Clan #GQLUJG2R,open,43279,17,0
#QCUC0C9Q,Clan #QCUC0C9Q,inviteOnly,96224,50,0
#QRYPQ0UJ,Clan #QRYPQ0UJ,open,87847,40,3000
#G80GJUUJ,Cold~Esports,open,91677,37,7000
#G9Y8LPQR,CRAZYFAREAST,open,60557,16,4300
#RU98R2UL,Dehşetü-l Mabet,open,12633,3,0
#R2R8JU2P,Diretto Casino,open,92394,41,10000
#RYC2U8C2,Dody,inviteOnly,14953,4,0
#GLLYR9PV,Donarle a Dona,closed,37108,10,8000
#GQ9LVR2U,doob lords,inviteOnly,5306,3,0
#GY890J9G,Eji d coatza jr,open,60599,20,0
#RG2GGRCV,Elixir Debt,inviteOnly,51526,21,0
#RJYVG8VQ,Elles freaks,open,5858,2,0
#GQRLLL9C,ELSANTIMELAMAMA,inviteOnly,3776,1,3300
#J2Y9YL9Q,Epstein Friends,inviteOnly,11750,5,0
#RCYRJL9J,eslovacada,inviteOnly,40657,13,0
#R9QVVRVL,Foundation,open,91792,50,4000
#QQ2CLQRR,Fries’n’ketchup,inviteOnly,56492,23,0
#GGRYR2UG,Furbia,open,33674,12,0
#QUYL0CGL,Germany,inviteOnly,74124,31,0
#Q0VGUV9R,GLI ARANCINI,open,90328,50,7500
#RJUGVGV2,golbet-life,inviteOnly,26962,8,0
#R8C8U8PJ,Grand Champions,open,98721,46,9000
#GLV2VPVV,groyper clan,open,94078,50,0
#G2LR8PRR,Hardstuck Iron,open,11006,3,0
#GVCLPR8R,hey lol,open,93545,47,1000
#R020JUQY,huevosconpel0s,open,13820,5,0
#QJ92C0JG,I Credenti,open,64541,20,5000
#R0UJ0VJQ,I CUGINI ROYALE,inviteOnly,62984,19,6000
#GYP8RJ20,ICAT CLAN,inviteOnly,51078,16,2600
#G8PV009L,IM28204,inviteOnly,25066,7,0
#GY0U292Q,İTÜ GÖM-MEKANİK,inviteOnly,56438,17,0
#RJQJLP2P,JBA,inviteOnly,2249,1,1000
