tag,name,type,clanScore,members,requiredTrophies
#RVG08JL2,3AnhEm,open,15370,6,5000
#RVG28JY2,3blan1,inviteOnly,9711,3,2000
#GJVGRYGC,5 ⭐️ Classic,closed,34873,10,3000
#QVV9RRQ8,555,open,30958,7,9000
#GQLYYLU9,A.E.K.C,open,97280,50,7000
#RGVYUVG0,AbuelaNecrodead,inviteOnly,6374,2,0
#RY8QCVQ2,AE 59 Việt Nam,inviteOnly,97278,49,10000
#QJ2GLRJ0,Ae Ba Miền,open,94400,50,3300
#GCL8Y998,AE Clash Royale,open,95330,50,5000
#L0V8YR2Y,ae cây chuối,open,95201,50,6000
#29RLG8C,AE VIET NAM,inviteOnly,99091,50,9000
#G29CGPVP,AE VIỆT NAM,open,98193,50,6000
#PVPLPG,AE Việt Nam,open,97199,50,7000
#R29RGC28,AE Việt Nam,open,95938,50,7000
#QQ9VQJU9,ae Việt nam,open,86365,47,6000
#PYPVQ99C,ae vn,open,96111,50,5000
#G9R8Y0UJ,Ae VN Re: 2,open,96729,49,4000
#Y00P02J8,AE đấu chiến,open,88941,37,6500
#QLV0Q9GR,AE. Việt,open,95188,50,6000
#L88VC2LY,aevietnam,open,94555,47,3300
#J28J2Y0Y,alala0919,closed,5418,2,0
#GYQJQJL0,Alpha Clan,open,8315,3,1000
#RJCU9QYG,Amigos,inviteOnly,6757,2,0
#YVYQ2CYU,Anh em 1 nhà,open,99092,48,0
#QRUVCG2P,Anh Em 3 Miền,open,97181,50,7000
#GP88VGUP,ANH EM BA MIỀN,open,92493,50,4600
#LL9809C0,ANH EM MỘT NHÀ,open,96170,50,5000
#R0PRRRP8,Anh Em Một Nhà,open,74951,49,4000
#QLVGQPPP,anh em tao,open,88967,50,2000
#GRRVJJQJ,anh em viet nam,open,91298,50,3000
#2PQQUUPL,Anh Em VietNam,open,94961,48,5300
#L9P8R2G9,Anh Em Việt Nam,open,98954,50,10000
#GGGQ8JC8,Asociados,open,48893,16,3000
#QCL0VRLQ,Bear Studio,open,94674,50,7000
#YUC2UP9U,BIG BOSS,open,98738,50,8500
#R0CUV8Q8,Blue,inviteOnly,3529,2,0
#G9YJPQ0V,Brandeis,inviteOnly,65684,34,0
#2PPJ9JG,Brother.,open,93642,50,4000
#G0QRV8JL,BUTA,open,93552,49,7000
#G8V90V2U,BẢNG PHONG THẦN,open,99470,50,8000
#LJR8RRP9,BẢNG PHONG THẦN,open,94940,50,6000
#RYGQVQPU,BẢNG PHONG THẦN,open,78636,37,5000
#Q809RUL9,Bắc Giang City,open,96119,50,6000
#GQ2V2V2P,Bố Mày Cân Tất,open,98538,50,8000
#GVJP2G0C,cazadores 7°,inviteOnly,10365,3,0
#RRCLYQR0,Ceará™,inviteOnly,23282,6,6000
#GUQC9YL8,cerezo,open,22162,8,0
#G0Y9J2C0,Chúa thẻ,open,91724,50,3300
#RPQJCY0,chị em 69,open,89721,38,7000
#QRYQPRVQ,CIA.VN,inviteOnly,97453,50,7000
#RV980VVL,CLAN NÀY GÀ ÁC,open,85497,45,5000
#G9GJYCVJ,CR VN,open,93698,50,5000
#RP0LV88,Có chí thì nên,inviteOnly,99130,50,9000
#PQP9P20Q,cờ đỏ sao vàng,open,92198,50,5000
#GPJLLCYC,D-VN Team No 1,inviteOnly,99930,50,9000
#QUPPCY0C,da hoes,inviteOnly,35320,10,0
#2QGQV9L,DAD GUYS,open,79409,39,5000
#QLCJ2JQ8,DG House,open,86965,50,3000
#RL2LGVPL,Eurasie,inviteOnly,10622,4,0
#GUP80RJR,FandomBattleCat,open,5389,3,0
#R2C9CL2R,Fc Diositos,open,7382,2,1000
#J0Q0VL82,gaylords,open,9965,6,0
#G2PP880C,GOON PLATOON,open,89548,45,8000
#YUQJQGVJ,Gà Quay,open,87119,50,2000
#2G280LY,hanoi,open,96633,49,7500
#GV2YUL,Hanoi Capital,open,95573,49,6000
#2J9J0CJ,HANOI CREW,open,91445,50,2000
#PUY2L2C0,HanoiLoL,open,88690,50,1600
#LLJYP2V,HeroSaigon,open,99247,50,8500
#GU99VLLQ,hi,open,5299,2,0
#2UJRLU2,Hà Nội,inviteOnly,99699,50,10000
#9LLJPRY,hà nội,open,88098,33,8000
#2VCJCG8G,Hà Nội group,open,100000,50,10000
#982U9JJR,Hà Nội Legen,open,96079,50,5000
#GYJPPUV2,hôiskibidipct,open,1224,2,0
#GYP9G2JQ,Hịp Sĩ Chợ Lách,inviteOnly,9387,8,0
#QJ9PL8GL,Hồng Bàng,closed,98075,50,10000
#GYQPJ2JU,Hội Tử Thần,open,91615,49,5500
#PQQR0PRP,hội Việt Nam,open,94656,50,6000
#2PQVPJ9L,I LOVE VIET NAM,open,87386,50,0
#PYLCCJL0,ichigo sakura,open,92359,42,9000
#GPQRGRUP,INMORTALS,inviteOnly,37210,10,10000
#G99Q0G2V,jsnsnsi,open,5575,4,0
#GGRC9GY9,khu chợ chó,open,86754,44,4000
#Q928CUVL,Kiếp Phong Ba,open,93500,50,4000
#QQYVQQ9G,Last Fragment,inviteOnly,95925,44,8000
#YQGR8L9C,LIVE TO VICTORY,open,92507,50,3000
#GYGQ88Q8,LOOG,closed,2545,2,0
#RCG2QLPR,los fisuras,closed,22791,5,10000
#RUVJCL90,Lọ Chéo,inviteOnly,6339,3,0
#G2800JGV,MamTom,open,28972,10,0
#GJV0GC2P,messercolaweed,inviteOnly,78031,32,10000
#GPPRU2C2,mmb,open,5224,2,4300
#LC89LQUC,Một Nhà,inviteOnly,97617,49,10000
#G22LJPQP,NAM QUỐC SƠN HÀ,open,98096,49,10000
#YR2Q89,NGƯỜI HÀ NỘI,open,92784,50,6000
#8GC8VJQ,Otosaigon,open,93347,49,5000
#GJ90CRP9,pig hoof,inviteOnly,38740,9,0
#GQJQ0G0L,piolin,open,9073,4,0
#QGV0QCUC,pollos hermanos,inviteOnly,39095,11,7000
#QGV9RYCC,Ricon Việt Nam,open,97434,50,6500
#QCQCQQJR,RomaFakty,open,14680,6,0
#GQGJYJJG,SAI GON ROYALE,open,99021,50,9000
#29RPCY9,Saigon,open,97856,50,5500
#PPJUYJL,saigon,open,97265,50,6000
#RPRR9P0J,SAIGON,open,71235,27,8000
#2R2QJCLG,Saigon IT,inviteOnly,97522,45,7500
#GU9RY90Q,SinhVien3Tot,open,15443,6,0
#RUYQCQJV,Sixsevelyania,open,16009,7,0
#GPQVQYPQ,skibidi clan,inviteOnly,23042,12,0
#RCCR9PRQ,SMLPleasureClub,open,91605,42,9000
#QJR8G0L9,Soldier.Team.Vn,open,93799,50,4000
#RJJGQ8Q8,sundowner_vn,open,1240,2,0
#8PGVLV,Sài Gòn,open,94723,50,2000
#QJCRCV0Y,sài gòn xanh,open,87173,50,0
#QU2J8UQ0,Tempelbande,open,91004,38,7000
#GP9CLQ0Q,the funny clan,inviteOnly,11614,5,0
#PCP0RRG8,Thế-Vương-Hội,open,95947,49,7000
#RCJYR2CY,TP HCM VER 2,open,56293,16,3000
#GRJP2P8Y,TP SA ĐÉC,open,79863,48,5000
#8888LV9,TruongSaVietNam,open,99603,49,10000
#QRC08LC2,TrâuVN,open,83486,50,2000
#9VYL9YCQ,Tàn Tro,open,87313,50,0
#R20JG8J0,Tôi chơi game,open,80551,50,2000
#QQUUJLVL,UNIÓN P.E.K.K.A,open,83985,37,8000
#22LCR,V.N Champions,open,99459,50,8000
#G2ULURRY,vecoiput,open,83830,38,7000
#8QQPJRR,Viet #1 Clan,open,83071,34,6500
#YL8VQL0P,viet nam,open,99251,50,7000
#Q2990RJ9,Viet Nam,open,97689,50,7000
#LJ8CYY,Viet Nam,open,97148,50,3000
#YQUV2229,VIET NAM,closed,29837,6,0
