tag,name,type,clanScore,members,requiredTrophies
#9U8RUJ2R,aczino,open,5943,2,200
#GLCYGQRY,Adalet,closed,0,1,0
#QLVG2UPL,albañilespro,open,34857,10,0
#G0LV2YGL,aut1s1c pakkis,open,14032,4,0
#G8GPCQ2P,bomboclat,open,31987,12,10000
#GCQLYP9V,BRIGADE RYL,closed,47372,16,7500
#RRPPCL9C,cats in,inviteOnly,67390,26,8500
#G8Y2J298,Clan Campbell,inviteOnly,1850,1,0
#LPJ82RRG,Cream Team,open,93467,50,5000
#J0UVJPCQ,Cross Guild,open,10935,4,0
#PQUYCQY8,cTm clan,open,96139,48,7000
#L98VQL2R,deleteribannati,inviteOnly,16690,5,0
#RJ2UQGQ9,friends,open,50507,26,4000
#G880VGLY,Ganga Analítica,closed,68482,27,6000
#GL09YQQU,HumbleMogger,open,3649,1,0
#GJYJ90R2,i drogati,inviteOnly,26836,6,6000
#R8P9CRV9,i neri,inviteOnly,82167,30,0
#LU90YLPV,Juanma,open,94605,50,10000
#GUPR0JQV,La Fun Gang,inviteOnly,10687,3,0
#GRG98LVL,LOTR Fanboys,open,86688,44,5000
#L8J92UVQ,Magroom,open,98310,49,4600
#QU2JYVR8,masao17,open,45860,11,3000
#J0LVQV8Y,Masterman clan,open,15995,4,6000
#QVCUQQJ9,nero su nero,open,56662,16,0
#G92VVG9C,palio,open,4198,1,8500
#QLPJ0JPJ,pekking homger,inviteOnly,37554,12,0
#RGGR2GPJ,Pitu2ss,open,20852,6,0
#G8URU8LU,Resenha,closed,74907,26,5000
#GGRCQ82P,Resk Inc.,closed,13658,3,9000
#G0V2J92V,sol+carlos,open,8114,6,0
#GRVUGCCJ,tem 11,open,54499,20,5000
#GYC98802,The Dunction,open,18032,6,0
#RG0Q92LP,TRALALERO,open,53679,18,7000
#GLJPVRQ2,TRICKS,open,36636,15,0
#R89882P2,unreal fn bro,inviteOnly,47806,16,0
#G8VJVJR9,Денис Олешко,open,1117,1,0
#2P0LLQ,"""нσт и ѕρι¢у""",inviteOnly,26630,9,6500
#GCRGPYYV,#1 didy bluds,inviteOnly,95597,43,10000
#GQLJ82Y2,#trop quilléééé,inviteOnly,17108,5,6000
#RR8CQJYY,...,open,3006,4,300
#G89UCRL9,3ro 1ra mullets,open,65164,33,600
#LPJY02YG,[FFG],inviteOnly,43841,17,0
#QJ22JLYJ,aaron fc,open,36933,11,0
#Q9CL80RG,AbfulsCrew,open,63545,23,3000
#L8V0U0RG,Africa FC,open,67552,50,0
#GRYCP8Q0,Ahamdulila peak,open,89102,44,7000
#R8LCPPYR,Al Horford Ford,open,49087,19,0
#Q22RCR9C,ALBELDENSES,inviteOnly,86415,42,0
#Y00Y00L9,ASD,open,46168,40,0
#G9PY9YJY,Beans,open,17077,8,0
#G00JUJ9J,BIG SHOTS,open,8958,3,0
#G2CRC88P,boozy spunkhead,open,43132,11,0
#QJ0G9Q0C,bud bandits,open,26384,7,0
#GGJP89Q0,cachorriza V135,inviteOnly,29962,11,0
#QGCYCQLG,callearenal,open,31234,11,0
#LVRQVRLQ,cangreburger,open,95336,44,7000
#QUYQJ88R,Casa de la Risa,open,9883,7,0
#G8VVCVJ0,champa sv,open,4145,6,0
#R9R8CV29,chubaca malla,open,59606,48,0
#QYGV8JLR,Clan  #QYGV8JLR,open,47110,17,6000
#GR9LY2RJ,Clan #GR9LY2RJ,open,35230,10,0
#PCRVL0PV,Clan:  #PCRVL0PV,open,78456,50,0
#GL0YG2VQ,clashintosh,open,46805,13,0
#LVPRCGV8,Claudio Bisio,open,87488,47,0
#88VUUPL,CMC,open,98009,50,5000
#LULPYLQC,cuando lo ves,open,50364,28,0
#R098RPLQ,DIDDY’S ANGELS,open,34756,10,0
#Q999VCYJ,DUBS ONLY,inviteOnly,91013,43,6000
#QVG2Q09V,EFA,inviteOnly,73213,38,0
#LLCYRP8L,EL BETIS,inviteOnly,55876,17,0
#QC2C8CQC,elpepe2481,inviteOnly,8609,3,8000
#GPLJJ8C8,gang dos favela,closed,50425,20,4000
#QVCRLJ9Y,guiso de pastel,inviteOnly,42776,15,0
#GG8VVG88,haticevekoleler,open,55461,31,0
#GQVY8YQC,huuullliuuuu,open,40291,23,0
#QL0VJ8JG,i hate billy,open,53729,17,0
#L9UUQR90,i topuri,inviteOnly,38268,16,0
#RP8C0P9G,KAMYONSART,inviteOnly,54320,14,0
#QLJVQGY8,King scimmia,open,51396,24,0
#R20JJ888,L.A.D.J.G,open,34534,11,0
#GQPQQJVC,lecheros,closed,5643,4,0
#G8J0RQ0Q,lesgosky 3B,inviteOnly,46044,15,1000
#RR0CU2Q0,leszguegdu40D,open,28915,9,0
#QRLVPGY2,Los jorjitos,open,31510,8,8000
#QVCQJLR0,Los obesoides,open,49706,18,5000
#RR2CVC80,los pibess,open,81911,42,4000
#Y00GGYRU,Los Sandel,open,53764,22,0
#Q8UJUPQP,LOSLARRY13,open,53345,18,300
#G9VRU9GU,Manifamlarr,open,8237,4,2000
#L9VJJQV8,Max Chee,open,83501,43,0
#RQRUGPGC,Mestolo,open,68753,31,6500
#LV82VJ88,METAL TOSTITOS,inviteOnly,53343,19,0
#GLL0GPJV,migueleshetero,inviteOnly,78370,29,0
#LGUUYL0,Milan Zoo2,open,19610,5,300
#G22JPJV9,mumbai slums,open,23573,17,0
#QVGY0Y9Y,N!g Royale,inviteOnly,68234,26,5000
#GLYCPUR0,Neymar come xt,inviteOnly,7474,4,5000
#82LCUG99,Nova I Argenta,open,29177,17,0
#GRRUUL0P,nsjs,open,15917,10,0
#LQ80RV8R,OFIS,open,82283,49,0
#LY0J22V0,our clan,open,88755,50,0
#G9R8U88Q,PAG North east,open,16732,9,0
#GVPV90QU,PICK N ROYALE,inviteOnly,39942,11,0
#GVJPU8VC,Poporitze,inviteOnly,63220,24,4000
#GU2Y9CQJ,rhinos,inviteOnly,52308,24,6000
#GGQRPULJ,RS,inviteOnly,15200,8,0
#LCV2CV29,san nicolas,inviteOnly,72159,30,0
#9U2PR02,seba y mena,open,54901,40,2000
#QPVGYR9Y,Sexy Skeletons,open,65700,31,0
#G0J0GL2R,Shalika Fanclub,inviteOnly,48306,21,0
#RCJU0PLV,size71/2feetluv,open,31712,8,0
#8C8GP0Q,Spies Like Us,inviteOnly,14316,7,0
#Y9CVRV0Y,SUB,open,72794,38,3000
#L992PJ2P,Sussy Pickle,inviteOnly,92286,48,6500
#LQG9PLU8,TEAM Bäse 187,open,65657,30,0
#QCRQGGCV,TECESM,open,42381,21,1000
#QLGC9G20,Texas Drums,inviteOnly,55029,23,0
#PL990PV2,TROTE SALMONATE,open,70571,40,3000
#LLR2JQ2L,UW PEEDRINKERS,open,85807,50,0
#RLR9PVYR,Walis,open,24189,10,0
#QLJ8YL2C,wetlettuces,inviteOnly,34461,14,5500
