tag,name,type,clanScore,members,requiredTrophies
#QUJLPUL0,CLAN DE CN,open,94481,49,4600
#RVLGVYR9,Kuttenkrieger,open,48266,13,0
#GPU82PCL,Log and Loaded,open,63479,21,7500
#GY9P09U0,นงของ,open,55769,16,0
#LYRU0RYR,Big Unicorn,inviteOnly,57179,22,4300
#LGC2JG92,Cjow Ping,open,44429,17,0
#RJC2RCCL,cracking,inviteOnly,12615,4,0
#GYU0GPRU,Crimmy Chungus,inviteOnly,60350,23,0
#QPUCC82P,Cuquase,inviteOnly,48867,16,1000
#Q9RYYLGP,damienfc,open,61739,22,0
#YVQQ0CPV,die pommes,open,55915,23,6500
#Q089RLJ9,el bozo mafia,open,32675,14,3000
#G0UP0JCR,falcon munchers,open,44313,26,0
#G2QLQLUY,FarmHouse,inviteOnly,41091,13,0
#G0UR8C8Q,Fat Loids 2.0,open,52631,20,1000
#GUVVL880,FCA-BASE24,open,56814,17,0
#GG9P8J92,fiut,open,18667,6,0
#R02PGQQQ,Flause,inviteOnly,17313,5,0
#LJJJRCPC,FUEGO HACKER,open,55440,49,0
#L020VPVU,Full English,open,89312,39,8500
#8V2L0RUC,goblin clan,open,74078,32,4600
#RLYYLLJL,Israel jødegang,open,51013,20,1300
#QURLYGJR,Le Slide,inviteOnly,61488,23,0
#QUQ2JRPY,Lobotomites,open,76845,48,0
#QV0UR02L,m.emin,open,7463,5,0
#QJ28PP2Q,mabppéprime56,open,60835,33,0
#YCYVRCVC,Magic Warriors,open,65440,28,4000
#GL0VGV2G,MOCRO,open,39649,13,0
#Q9C9PP8P,Negras,open,38105,18,0
#G0L8G8RJ,Nova 6,open,31805,9,0
#G29VV8GY,PGB,inviteOnly,24165,7,0
#YYGRVQ8L,POI UNITED,open,53764,32,0
#QQGYLU2G,prestižškolagjp,open,36132,14,0
#QJQUGQ2P,PyramidE,open,28513,11,0
#QV9QQYLJ,R.N.G,open,32515,11,0
#GLV20P99,Real Bask Army,open,55395,20,0
#GLQG029V,Sahara Gaming,open,4206,3,0
#R0GPY9JP,Slungi,open,31100,12,0
#YP2R9UVP,Smoke and Clash,inviteOnly,98804,49,9000
#GV8QJYU9,Stupar Derpe,inviteOnly,29841,9,4000
#G9QV0YR9,The Glomp Squad,inviteOnly,5000,1,300
#G282U98J,Tobie did it,open,37447,14,0
#RJQ9898G,uncle,open,42110,17,10000
#G92JG2LP,United Vikings,open,55628,19,0
#RUCYLUPG,william saliba,open,45376,12,0
#GVQ2CCQY,wong klan,open,93529,50,0
#LLVQ8U2P,WORD_N,open,14156,3,1000
#QQVGG2RR,xyzsandblasters,inviteOnly,50712,31,0
#QCQJ08GJ,you ere for uni,inviteOnly,66234,27,0
#G99L82PG,You Waffle,inviteOnly,80728,49,1000
#RPQUPR0Y,аутиzты,open,53345,37,300
#QQPJVG9L,бати бераш,open,63809,50,0
#RYPVJLL0,влад пыхтелкин3,inviteOnly,54981,21,6500
#GQGG8RJR,ПЕЛЬМЕНИ,inviteOnly,26316,9,9000
#RG2VGRLQ,семечки,inviteOnly,84359,47,0
#8LCLYCR9,славные ребята,inviteOnly,11098,3,0
#GYRYVRLJ,عمك صلح,inviteOnly,1756,4,0
#LJ92UYRY,広島県,open,57430,25,4000
#GVCGC9C0,Arkans Minions,inviteOnly,67789,27,300
#L8YGCGCR,Burgir,open,29741,31,1000
#QVRGU2RP,Luke Yang,open,70707,24,1000
#L9YP88VY,Mercury Marine,inviteOnly,39997,21,300
#G88Y0Q8U,Pipels karva,inviteOnly,31353,16,2000
#LGGLPY2J,supercry,inviteOnly,33141,12,2300
#QP2Q20RL,партия Яблоко,open,42701,13,3000
